segundo,estado_experimento,coches_crucero,coches_frenando,coches_atasco,coches_recuperando,vel_media_sistema,vel_min
1,ESTABILIZANDO,38,0,0,0,20.0,20.0
2,ESTABILIZANDO,38,0,0,0,20.0,20.0
3,ESTABILIZANDO,38,0,0,0,20.0,20.0
4,ESTABILIZANDO,38,0,0,0,20.0,20.0
5,ESTABILIZANDO,38,0,0,0,20.0,20.0
6,ESTABILIZANDO,38,0,0,0,20.0,20.0
7,ESTABILIZANDO,38,0,0,0,20.0,20.0
8,ESTABILIZANDO,38,0,0,0,20.0,20.0
9,ESTABILIZANDO,38,0,0,0,20.0,20.0
10,ESTABILIZANDO,38,0,0,0,20.0,20.0
11,FRENANDO,36,1,1,0,19.31,8.0
12,FRENANDO,35,2,1,0,18.71,0
13,FRENANDO,35,2,1,0,18.38,0
14,FRENANDO,33,3,2,0,18.11,0
15,FRENANDO,0,36,2,0,17.86,0
16,FRENANDO,0,36,2,0,17.63,0
17,FRENANDO,0,35,3,0,17.41,0
18,FRENANDO,0,35,3,0,17.2,0
19,FRENANDO,0,35,3,0,17.0,0
20,FRENANDO,0,34,4,0,16.81,0
21,RECUPERANDO,0,34,4,0,16.65,0
22,RECUPERANDO,0,34,4,0,16.51,0.25
23,RECUPERANDO,0,33,5,0,16.38,0.2
24,RECUPERANDO,0,33,5,0,16.27,0.3
25,RECUPERANDO,0,33,5,0,16.18,0.74
26,RECUPERANDO,0,32,6,0,16.1,0.6
27,RECUPERANDO,0,32,6,0,16.03,0.78
28,RECUPERANDO,0,32,6,0,15.98,1.25
29,RECUPERANDO,0,31,6,1,15.94,1.12
30,RECUPERANDO,0,31,6,1,15.9,1.31
31,RECUPERANDO,0,31,6,1,15.88,1.78
32,RECUPERANDO,0,31,5,2,15.87,1.71
33,RECUPERANDO,0,30,6,2,15.87,1.89
34,RECUPERANDO,0,30,6,2,15.88,2.34
35,RECUPERANDO,0,30,5,3,15.89,2.35
36,RECUPERANDO,0,29,6,3,15.92,2.51
37,RECUPERANDO,0,29,6,3,15.94,2.94
38,RECUPERANDO,0,29,5,4,15.97,3.06
39,RECUPERANDO,0,28,6,4,16.01,3.18
40,RECUPERANDO,0,28,6,4,16.04,3.57
41,RECUPERANDO,0,28,5,5,16.08,3.84
42,RECUPERANDO,1,28,5,4,16.12,3.91
43,RECUPERANDO,1,27,5,5,16.17,4.24
44,RECUPERANDO,1,27,5,5,16.21,4.68
45,RECUPERANDO,1,27,5,5,16.26,4.69
46,RECUPERANDO,1,27,4,6,16.3,4.96
47,RECUPERANDO,1,26,5,6,16.35,5.42
48,RECUPERANDO,1,26,4,7,16.4,5.54
49,RECUPERANDO,1,26,4,7,16.44,5.73
50,RECUPERANDO,1,26,4,7,16.49,6.12
51,RECUPERANDO,1,25,4,8,16.54,6.47
52,RECUPERANDO,2,25,4,7,16.59,6.57
53,RECUPERANDO,2,25,4,7,16.63,6.88
54,RECUPERANDO,2,25,3,8,16.68,7.34
55,RECUPERANDO,2,24,4,8,16.73,7.5
56,RECUPERANDO,2,24,3,9,16.77,7.7
57,RECUPERANDO,2,24,3,9,16.82,8.07
58,RECUPERANDO,2,24,3,9,16.86,8.51
59,RECUPERANDO,2,24,2,10,16.91,8.61
60,RECUPERANDO,2,23,3,10,16.95,8.86
61,RECUPERANDO,2,23,2,11,16.99,9.24
62,RECUPERANDO,2,23,2,11,17.04,9.61
63,RECUPERANDO,2,23,1,12,17.08,9.74
64,RECUPERANDO,2,23,1,12,17.12,9.99
65,RECUPERANDO,2,23,0,13,17.15,10.35
66,RECUPERANDO,2,22,0,14,17.19,10.72
67,RECUPERANDO,2,22,0,14,17.23,10.84
68,RECUPERANDO,2,22,0,14,17.26,11.06
69,RECUPERANDO,2,22,0,14,17.29,11.36
70,RECUPERANDO,2,21,0,15,17.32,11.71
71,RECUPERANDO,2,21,0,15,17.35,11.88
72,RECUPERANDO,2,21,0,15,17.38,12.05
73,RECUPERANDO,2,21,0,15,17.41,12.27
74,RECUPERANDO,2,21,0,15,17.43,12.54
75,RECUPERANDO,2,20,0,16,17.46,12.83
76,RECUPERANDO,2,20,0,16,17.48,12.95
77,RECUPERANDO,2,20,0,16,17.5,13.09
78,RECUPERANDO,2,20,0,16,17.52,13.27
79,RECUPERANDO,3,20,0,15,17.54,13.47
80,RECUPERANDO,3,19,0,16,17.56,13.69
