scenario,phase,density,flow,velocity,num_cars,type
HighSpeed_N30_V30_D12,Before,11.94,1196.7,27.847999999999995,30,High Speed
HighSpeed_N30_V30_D12,During,11.94,1122.6363636363637,26.124545454545455,30,High Speed
HighSpeed_N30_V30_D12,After,11.94,1202.7272727272727,27.984545454545454,30,High Speed
Safe_N30_V20_S4_T15,Before,11.94,799.6,18.607,30,Conservative
Safe_N30_V20_S4_T15,During,11.94,785.6363636363636,18.283636363636365,30,Conservative
Safe_N30_V20_S4_T15,After,11.94,812.5454545454545,18.908181818181824,30,Conservative
Base_N35_V25_D10,Before,13.930000000000001,1170.3,23.340999999999998,35,Baseline
Base_N35_V25_D10,During,13.930000000000001,1124.3636363636363,22.429999999999996,35,Baseline
Base_N35_V25_D10,After,13.930000000000001,1182.909090909091,23.593636363636367,35,Baseline
Extreme_Dense_N40_V25_D15,Before,15.919999999999998,1322.1,23.076,40,Extreme
Extreme_Dense_N40_V25_D15,During,15.919999999999998,1240.0,21.64,40,Extreme
Extreme_Dense_N40_V25_D15,After,15.919999999999998,1317.2727272727273,22.99,40,Extreme
Base_N30_V25_D10,Before,11.94,1012.7,23.567,30,Baseline
Base_N30_V25_D10,During,11.94,978.5454545454545,22.774545454545457,30,Baseline
Base_N30_V25_D10,After,11.94,1029.4545454545455,23.955454545454543,30,Baseline
HighSpeed_N25_V30_D12,Before,9.95,1007.6,28.139,25,High Speed
HighSpeed_N25_V30_D12,During,9.950000000000001,959.1818181818181,26.783636363636365,25,High Speed
HighSpeed_N25_V30_D12,After,9.950000000000001,1025.6363636363637,28.639999999999997,25,High Speed
Base_N25_V25_D10,Before,9.95,850.6,23.753999999999998,25,Baseline
Base_N25_V25_D10,During,9.950000000000001,825.3636363636364,23.046363636363637,25,Baseline
Base_N25_V25_D10,After,9.950000000000001,868.6363636363636,24.26,25,Baseline
Extreme_HardBrake_N30_V25_D18,Before,11.94,1012.7,23.567,30,Extreme
Extreme_HardBrake_N30_V25_D18,During,11.94,997.1818181818181,23.206363636363633,30,Extreme
Extreme_HardBrake_N30_V25_D18,After,11.94,1033.2727272727273,24.042727272727276,30,Extreme
Safe_N25_V20_S4_T15,Before,9.95,674.4,18.834,25,Conservative
Safe_N25_V20_S4_T15,During,9.950000000000001,665.5454545454545,18.584545454545456,25,Conservative
Safe_N25_V20_S4_T15,After,9.950000000000001,688.7142857142857,19.232857142857142,25,Conservative
VISUAL_Demo_N27_V25,Before,10.739999999999998,915.9,23.685,27,Demo
VISUAL_Demo_N27_V25,During,10.739999999999998,885.6363636363636,22.9,27,Demo
VISUAL_Demo_N27_V25,After,10.739999999999998,933.4545454545455,24.135454545454547,27,Demo
