Scenario,Type,Density (N),Max Speed,Max Stopped,Max in Jam,Recovery Time (s),Avg Velocity During Jam,Total Energy Lost (J),Total Time Lost (s)
HighSpeed_N30_V30_D12,High Speed,30,30,1,5,1,26.124545454545455,338.4,0
Safe_N30_V20_S4_T15,Conservative,30,20,1,3,1,18.283636363636365,53.0,0
Base_N35_V25_D10,Baseline,35,25,1,4,1,22.429999999999996,167.7,0
Extreme_Dense_N40_V25_D15,Extreme,40,25,2,6,1,21.64,305.5,0
Base_N30_V25_D10,Baseline,30,25,1,3,1,22.774545454545457,119.1,0
HighSpeed_N25_V30_D12,High Speed,25,30,1,3,1,26.783636363636365,193.8,0
Base_N25_V25_D10,Baseline,25,25,1,2,1,23.046363636363637,86.0,0
Extreme_HardBrake_N30_V25_D18,Extreme,30,25,1,3,1,23.206363636363633,82.3,0
Safe_N25_V20_S4_T15,Conservative,25,20,1,2,1,18.584545454545456,38.4,0
VISUAL_Demo_N27_V25,Demo,27,25,1,2,1,22.9,1207.3,0
