segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,22.17,22.17,22.17,0.0,9.95,794.0,104.3,0,0,0,25,95.53,95.53,95.53,24.67,0.26,0.0,0,0,0,0,0
2,EQUILIBRIO,22.86,22.86,22.86,0.0,9.95,819.0,107.6,0,0,0,25,95.53,95.53,95.53,25.36,0.27,0.0,0,0,0,0,0
3,EQUILIBRIO,23.36,23.36,23.36,0.0,9.95,836.0,109.9,0,0,0,25,95.53,95.53,95.53,25.86,0.27,0.0,0,0,0,0,0
4,EQUILIBRIO,23.71,23.71,23.71,0.0,9.95,849.0,111.6,0,0,0,25,95.53,95.53,95.53,26.21,0.27,0.0,0,0,0,0,0.0
5,EQUILIBRIO,23.96,23.96,23.96,0.0,9.95,858.0,112.7,0,0,0,25,95.53,95.53,95.53,26.46,0.28,0.0,0,0,0,0,0.0
6,EQUILIBRIO,24.13,24.13,24.13,0.0,9.95,864.0,113.5,0,0,0,25,95.53,95.53,95.53,26.63,0.28,0.0,0,0,0,0,0.0
7,EQUILIBRIO,24.24,24.24,24.24,0.0,9.95,868.0,114.1,0,0,0,25,95.53,95.53,95.53,26.74,0.28,0.0,0,0,0,0,0.0
8,EQUILIBRIO,24.32,24.32,24.32,0.0,9.95,871.0,114.5,0,0,0,25,95.53,95.53,95.53,26.82,0.28,0.0,0,0,0,0,0.0
9,EQUILIBRIO,24.38,24.38,24.38,0.0,9.95,873.0,114.7,0,0,0,25,95.53,95.53,95.53,26.88,0.28,0.0,0,0,0,0,0.0
10,EQUILIBRIO,24.41,24.41,24.41,0.0,9.95,874.0,114.9,0,0,0,25,95.53,95.53,95.53,26.91,0.28,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,24.02,14.41,24.44,10.02,9.95,860.0,113.0,0,0,0,25,90.13,95.53,101.05,26.52,0.28,16.1,0,0,0,0,10.02
12,FRENADA_ORIGEN,23.58,4.41,24.45,20.04,9.95,844.0,110.9,0,0,0,25,75.62,95.53,116.58,26.08,0.27,25.8,0,-0.0,0,0,20.04
13,FRENADA_ORIGEN,23.27,0.0,24.46,24.46,9.95,833.0,109.5,1,0,0,24,55.39,95.53,140.31,25.77,0.27,33.0,0,-0.0,1,0,24.46
14,FRENADA_ORIGEN,23.13,0.0,24.47,24.47,9.95,828.0,108.8,1,0,1,23,37.84,95.53,164.78,25.63,0.27,40.0,0,-0.0,1,0,24.47
15,FRENADA_ORIGEN,22.95,0.0,24.48,24.48,9.95,822.0,108.0,1,0,1,23,23.83,95.53,189.25,25.45,0.27,47.1,0,-0.0,1,0,24.48
16,DISOLVIENDO,22.87,2.5,24.48,21.98,9.95,819.0,107.6,0,1,0,24,14.75,95.53,212.36,25.37,0.27,53.1,0,-11.9,1,1,24.48
17,DISOLVIENDO,22.82,5.0,24.48,19.48,9.95,817.0,107.4,0,1,1,23,10.6,95.53,232.96,25.32,0.27,58.5,0,-8.0,1,1,24.48
18,DISOLVIENDO,22.81,7.03,24.48,17.45,9.95,817.0,107.3,0,1,1,23,9.91,95.53,251.08,25.31,0.26,63.2,0,-6.7,1,1,24.48
19,DISOLVIENDO,22.84,7.86,24.48,16.62,9.95,818.0,107.5,0,1,1,23,11.34,95.53,266.71,25.34,0.27,67.6,0,-6.5,1,1,24.48
20,DISOLVIENDO,22.91,9.35,24.48,15.14,9.95,820.0,107.8,0,2,0,23,13.98,95.53,279.92,25.41,0.27,71.3,0,-6.8,1,2,24.48
21,DISOLVIENDO,23.0,11.15,24.48,13.34,9.95,824.0,108.2,0,2,1,22,17.28,95.53,290.78,25.5,0.27,74.0,0,0,1,2,24.48
22,DISOLVIENDO,23.12,13.06,24.48,11.43,9.95,828.0,108.8,0,2,1,22,18.67,95.53,299.44,25.62,0.27,76.2,0,0,1,2,24.48
23,DISOLVIENDO,23.26,13.96,24.49,10.53,9.95,833.0,109.4,0,2,1,22,19.11,95.53,306.11,25.76,0.27,78.2,0,0,1,2,24.48
24,DISOLVIENDO,23.4,14.93,24.49,9.55,9.95,838.0,110.1,0,2,1,22,20.57,95.53,311.05,25.9,0.27,79.8,0,0,1,2,24.48
25,DISOLVIENDO,23.53,16.09,24.49,8.39,9.95,843.0,110.7,0,1,2,22,22.59,95.53,314.57,26.03,0.27,80.9,0,0,1,2,24.48
26,DISOLVIENDO,23.66,17.28,24.49,7.21,9.95,847.0,111.3,0,1,2,22,24.85,95.53,316.97,26.16,0.27,81.4,0,0,1,2,24.48
27,DISOLVIENDO,23.77,18.38,24.49,6.1,9.95,851.0,111.8,0,2,1,22,27.15,95.53,318.51,26.27,0.27,82.0,0,0,1,2,24.48
