segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,21.93,21.93,21.93,0.0,15.92,1256.0,103.2,0,0,40,0,57.83,57.83,57.83,24.43,0.42,0.0,0,0,0,0,0.0
2,EQUILIBRIO,22.43,22.43,22.43,0.0,15.92,1285.0,105.5,0,0,40,0,57.83,57.83,57.83,24.93,0.43,0.0,0,0,0,0,0.0
3,EQUILIBRIO,22.79,22.79,22.79,0.0,15.92,1306.0,107.2,0,0,40,0,57.83,57.83,57.83,25.29,0.44,0.0,0,0,0,0,0.0
4,EQUILIBRIO,23.04,23.04,23.04,0.0,15.92,1320.0,108.4,0,0,40,0,57.83,57.83,57.83,25.54,0.44,0.0,0,0,0,0,0.0
5,EQUILIBRIO,23.22,23.22,23.22,0.0,15.92,1330.0,109.3,0,0,40,0,57.83,57.83,57.83,25.72,0.44,0.0,0,0,0,0,0.0
6,EQUILIBRIO,23.34,23.34,23.34,0.0,15.92,1338.0,109.9,0,0,40,0,57.83,57.83,57.83,25.84,0.45,0.0,0,0,0,0,0.0
7,EQUILIBRIO,23.43,23.43,23.43,0.0,15.92,1342.0,110.3,0,0,40,0,57.83,57.83,57.83,25.93,0.45,0.0,0,0,0,0,0.0
8,EQUILIBRIO,23.49,23.49,23.49,0.0,15.92,1346.0,110.5,0,0,40,0,57.83,57.83,57.83,25.99,0.45,0.0,0,0,0,0,0.0
9,EQUILIBRIO,23.53,23.53,23.53,0.0,15.92,1348.0,110.7,0,0,40,0,57.83,57.83,57.83,26.03,0.45,0.0,0,0,0,0,0.0
10,EQUILIBRIO,23.56,23.56,23.56,0.0,15.92,1350.0,110.8,0,0,40,0,57.83,57.83,57.83,26.06,0.45,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,23.16,8.56,23.57,15.02,15.92,1327.0,109.0,0,0,39,1,50.07,57.83,66.09,25.66,0.44,20.5,0,-0.0,0,0,15.02
12,FRENADA_ORIGEN,22.84,0.0,23.59,23.59,15.92,1308.0,107.5,1,0,39,0,32.37,57.83,87.65,25.34,0.44,30.5,0,-0.0,1,0,23.59
13,FRENADA_ORIGEN,22.69,0.0,23.6,23.6,15.92,1300.0,106.8,1,1,38,0,17.15,57.83,111.24,25.19,0.44,41.0,0,-0.0,1,1,23.6
14,FRENADA_ORIGEN,22.51,0.0,23.6,23.6,15.92,1290.0,105.9,1,1,38,0,6.42,57.83,134.84,25.01,0.43,52.2,0,-10.3,1,1,23.6
15,FRENADA_ORIGEN,22.28,0.0,23.61,23.61,15.92,1277.0,104.9,1,2,37,0,0.2,57.83,158.44,24.78,0.43,64.3,0,-3.7,1,2,23.61
16,FRENADA_ORIGEN,22.01,0.0,23.61,23.61,15.92,1261.0,103.6,2,1,37,0,-1.54,57.83,182.05,24.51,0.42,75.2,0,-2.1,2,2,23.61
17,ONDA_ACTIVA,21.86,0.0,23.61,23.61,15.92,1252.0,102.9,1,1,37,1,-0.16,57.83,204.28,24.36,0.42,87.1,0,-2.5,2,2,23.61
18,ONDA_ACTIVA,21.66,0.14,23.61,23.47,15.92,1241.0,101.9,1,2,36,1,2.87,57.83,224.02,24.16,0.42,98.6,0,-3.9,2,2,23.61
19,ONDA_ACTIVA,21.54,0.23,23.61,23.38,15.92,1234.0,101.3,1,1,37,1,3.43,57.83,241.27,24.04,0.42,110.2,0,-5.6,2,2,23.61
20,DISOLVIENDO,21.44,1.56,23.61,22.06,15.92,1229.0,100.9,0,3,36,1,4.89,57.83,256.03,23.94,0.41,121.9,0,-7.0,2,3,23.61
21,DISOLVIENDO,21.4,2.41,23.61,21.21,15.92,1226.0,100.7,0,2,37,1,4.73,57.83,268.37,23.9,0.41,133.1,0,-8.2,2,3,23.61
22,DISOLVIENDO,21.39,3.14,23.61,20.47,15.92,1226.0,100.7,0,3,36,1,6.49,57.83,278.36,23.89,0.41,143.5,0,-9.2,2,3,23.61
23,DISOLVIENDO,21.42,4.63,23.61,18.98,15.92,1228.0,100.8,0,3,36,1,7.22,57.83,286.15,23.92,0.41,153.2,0,-15.9,2,3,23.61
24,DISOLVIENDO,21.48,5.15,23.61,18.46,15.92,1231.0,101.1,0,3,36,1,7.84,57.83,291.94,23.98,0.41,162.4,0,-17.1,2,3,23.61
25,DISOLVIENDO,21.56,6.17,23.61,17.44,15.92,1235.0,101.4,0,4,35,1,9.72,57.83,296.02,24.06,0.42,171.1,0,-23.0,2,4,23.61
26,DISOLVIENDO,21.65,7.29,23.61,16.32,15.92,1240.0,101.9,0,4,35,1,9.81,57.83,298.67,24.15,0.42,179.1,0,-24.1,2,4,23.61
27,DISOLVIENDO,21.75,7.87,23.61,15.75,15.92,1246.0,102.4,0,4,35,1,10.91,57.83,300.2,24.25,0.42,186.8,0,-29.2,2,4,23.61
28,DISOLVIENDO,21.86,9.03,23.61,14.58,15.92,1252.0,102.9,0,4,35,1,12.53,57.83,300.88,24.36,0.42,193.7,0,-33.7,2,4,23.61
29,DISOLVIENDO,21.97,9.76,23.78,14.01,15.92,1259.0,103.4,0,4,35,1,12.71,57.83,300.95,24.47,0.42,200.2,0,-34.5,2,4,23.61
30,DISOLVIENDO,22.08,10.52,24.15,13.63,15.92,1265.0,103.9,0,5,34,1,13.97,57.83,300.57,24.58,0.43,206.1,0,-38.4,2,5,23.61
31,DISOLVIENDO,22.19,11.68,24.4,12.73,15.92,1271.0,104.4,0,5,34,1,15.47,57.83,299.89,24.69,0.43,211.3,0,0,2,5,23.61
32,DISOLVIENDO,22.29,12.25,24.58,12.32,15.92,1277.0,104.9,0,5,34,1,15.8,57.83,299.0,24.79,0.43,216.2,0,0,2,5,23.61
33,DISOLVIENDO,22.39,12.99,24.69,11.7,15.92,1283.0,105.4,0,5,34,1,16.95,57.83,297.97,24.89,0.43,220.5,0,0,2,5,23.61
34,DISOLVIENDO,22.48,13.98,24.77,10.79,15.92,1288.0,105.8,0,6,33,1,18.59,57.83,296.85,24.98,0.43,224.2,0,0,2,6,23.61
