segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,26.29,26.29,26.29,0.0,11.94,1130.0,103.1,0,0,0,30,78.78,78.78,78.78,28.79,0.37,0.0,0,0,0,0,0
2,EQUILIBRIO,26.91,26.91,26.91,0.0,11.94,1156.0,105.5,0,0,0,30,78.78,78.78,78.78,29.41,0.37,0.0,0,0,0,0,0.0
3,EQUILIBRIO,27.38,27.38,27.38,0.0,11.94,1177.0,107.4,0,0,0,30,78.78,78.78,78.78,29.88,0.38,0.0,0,0,0,0,0.0
4,EQUILIBRIO,27.74,27.74,27.74,0.0,11.94,1192.0,108.8,0,0,0,30,78.78,78.78,78.78,30.24,0.38,0.0,0,0,0,0,0.0
5,EQUILIBRIO,28.01,28.01,28.01,0.0,11.94,1204.0,109.8,0,0,0,30,78.78,78.78,78.78,30.51,0.39,0.0,0,0,0,0,0.0
6,EQUILIBRIO,28.21,28.21,28.21,0.0,11.94,1212.0,110.6,0,0,0,30,78.78,78.78,78.78,30.71,0.39,0.0,0,0,0,0,0.0
7,EQUILIBRIO,28.35,28.35,28.35,0.0,11.94,1218.0,111.2,0,0,0,30,78.78,78.78,78.78,30.85,0.39,0.0,0,0,0,0,0.0
8,EQUILIBRIO,28.46,28.46,28.46,0.0,11.94,1223.0,111.6,0,0,0,30,78.78,78.78,78.78,30.96,0.39,0.0,0,0,0,0,0.0
9,EQUILIBRIO,28.54,28.54,28.54,0.0,11.94,1226.0,111.9,0,0,0,30,78.78,78.78,78.78,31.04,0.39,0.0,0,0,0,0,0.0
10,EQUILIBRIO,28.59,28.59,28.59,0.0,11.94,1229.0,112.1,0,0,0,30,78.78,78.78,78.78,31.09,0.39,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,28.2,16.59,28.63,12.04,11.94,1212.0,110.6,0,0,1,29,72.44,78.78,85.4,30.7,0.39,25.1,0,0,0,0,12.04
12,FRENADA_ORIGEN,27.7,4.59,28.66,24.07,11.94,1191.0,108.6,0,0,2,28,56.36,78.78,104.06,30.2,0.38,42.9,0,-0.0,0,0,24.07
13,FRENADA_ORIGEN,27.39,0.0,28.69,28.69,11.94,1177.0,107.4,1,0,2,27,35.25,78.78,132.08,29.89,0.38,55.2,0,-0.0,1,0,28.69
14,FRENADA_ORIGEN,27.19,0.0,28.7,28.7,11.94,1169.0,106.6,1,1,2,26,17.99,78.78,160.77,29.69,0.38,68.2,0,-0.0,1,1,28.7
