segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,22.15,22.15,22.15,0.0,10.74,857.0,104.2,0,0,0,27,88.08,88.08,88.08,24.65,0.28,0.0,0,0,0,0,0
2,EQUILIBRIO,22.82,22.82,22.82,0.0,10.74,882.0,107.4,0,0,0,27,88.08,88.08,88.08,25.32,0.29,0.0,0,0,0,0,0
3,EQUILIBRIO,23.3,23.3,23.3,0.0,10.74,901.0,109.6,0,0,0,27,88.08,88.08,88.08,25.8,0.29,0.0,0,0,0,0,0.0
4,EQUILIBRIO,23.64,23.64,23.64,0.0,10.74,914.0,111.3,0,0,0,27,88.08,88.08,88.08,26.14,0.3,0.0,0,0,0,0,0.0
5,EQUILIBRIO,23.88,23.88,23.88,0.0,10.74,924.0,112.4,0,0,0,27,88.08,88.08,88.08,26.38,0.3,0.0,0,0,0,0,0.0
6,EQUILIBRIO,24.05,24.05,24.05,0.0,10.74,930.0,113.2,0,0,0,27,88.08,88.08,88.08,26.55,0.3,0.0,0,0,0,0,0.0
7,EQUILIBRIO,24.16,24.16,24.16,0.0,10.74,934.0,113.7,0,0,0,27,88.08,88.08,88.08,26.66,0.3,0.0,0,0,0,0,0.0
8,EQUILIBRIO,24.24,24.24,24.24,0.0,10.74,937.0,114.1,0,0,0,27,88.08,88.08,88.08,26.74,0.3,0.0,0,0,0,0,0.0
9,EQUILIBRIO,24.29,24.29,24.29,0.0,10.74,939.0,114.3,0,0,0,27,88.08,88.08,88.08,26.79,0.3,0.0,0,0,0,0,0.0
10,EQUILIBRIO,24.32,24.32,24.32,0.0,10.74,941.0,114.5,0,0,0,27,88.08,88.08,88.08,26.82,0.3,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,23.88,12.32,24.35,12.02,10.74,924.0,112.4,0,0,0,27,81.64,88.08,94.7,26.38,0.3,224.0,0,0,0,0,12.02
12,FRENADA_ORIGEN,23.35,0.0,24.36,24.36,10.74,903.0,109.9,1,0,0,26,64.55,88.08,113.36,25.85,0.29,364.0,0,-0.0,1,0,24.36
13,FRENADA_ORIGEN,23.21,0.0,24.37,24.37,10.74,898.0,109.2,1,0,1,25,45.15,88.08,137.73,25.71,0.29,453.6,0,-0.0,1,0,24.37
14,FRENADA_ORIGEN,23.05,0.0,24.38,24.38,10.74,892.0,108.5,1,0,1,25,29.45,88.08,162.11,25.55,0.29,535.8,0,-0.0,1,0,24.38
15,FRENADA_ORIGEN,22.86,0.0,24.39,24.39,10.74,884.0,107.6,1,1,0,25,17.55,88.08,186.49,25.36,0.29,618.5,0,-16.2,1,1,24.39
16,DISOLVIENDO,22.77,2.5,24.39,21.89,10.74,880.0,107.1,0,1,1,25,10.62,88.08,209.51,25.27,0.29,697.6,0,-9.4,1,1,24.39
17,DISOLVIENDO,22.7,5.0,24.39,19.39,10.74,878.0,106.8,0,1,1,25,8.3,88.08,230.02,25.2,0.29,769.5,0,-6.8,1,1,24.39
18,DISOLVIENDO,22.68,5.99,24.39,18.41,10.74,877.0,106.7,0,1,1,25,8.89,88.08,248.05,25.18,0.29,834.5,0,-6.2,1,1,24.39
19,DISOLVIENDO,22.7,7.21,24.39,17.18,10.74,878.0,106.8,0,2,1,24,11.13,88.08,263.59,25.2,0.29,893.5,0,-6.5,1,2,24.39
20,DISOLVIENDO,22.76,8.93,24.39,15.46,10.74,880.0,107.1,0,2,1,24,14.28,88.08,276.71,25.26,0.29,944.2,0,-6.9,1,2,24.39
21,DISOLVIENDO,22.84,10.88,24.39,13.52,10.74,883.0,107.5,0,2,1,24,15.17,88.08,287.48,25.34,0.29,985.8,0,0,1,2,24.39
22,DISOLVIENDO,22.95,11.72,24.4,12.67,10.74,888.0,108.0,0,2,1,24,15.73,88.08,296.05,25.45,0.29,1022.3,0,0,1,2,24.39
23,DISOLVIENDO,23.08,12.79,24.4,11.6,10.74,893.0,108.6,0,2,1,24,17.42,88.08,302.63,25.58,0.29,1054.3,0,0,1,2,24.39
24,DISOLVIENDO,23.21,14.14,24.4,10.26,10.74,898.0,109.2,0,2,2,23,19.74,88.08,307.48,25.71,0.29,1079.2,0,0,1,2,24.39
25,DISOLVIENDO,23.35,15.57,24.4,8.83,10.74,903.0,109.9,0,2,2,23,22.36,88.08,310.91,25.85,0.29,1096.5,0,0,1,2,24.39
26,DISOLVIENDO,23.48,16.86,24.4,7.54,10.74,908.0,110.5,0,2,2,23,24.48,88.08,313.22,25.98,0.29,1110.8,0,0,1,2,24.39
27,DISOLVIENDO,23.59,17.41,24.4,6.99,10.74,912.0,111.0,0,2,2,23,24.99,88.08,314.68,26.09,0.3,1123.2,0,0,1,2,24.39
28,DISOLVIENDO,23.69,18.08,24.4,6.31,10.74,916.0,111.5,0,2,2,23,26.02,88.08,315.51,26.19,0.3,1133.0,0,0,1,2,24.39
29,DISOLVIENDO,23.78,18.78,24.4,5.62,10.74,920.0,111.9,0,2,2,23,27.32,88.08,315.91,26.28,0.3,1140.2,0,0,1,2,24.39
30,DISOLVIENDO,23.85,19.43,24.42,4.98,10.74,922.0,112.2,0,2,2,23,28.71,88.08,315.99,26.35,0.3,1144.9,0,0,1,2,24.39
31,DISOLVIENDO,23.9,20.01,24.59,4.58,10.74,924.0,112.5,0,2,2,23,30.09,88.08,315.87,26.4,0.3,1148.5,0,0,1,2,24.39
32,DISOLVIENDO,23.95,20.5,24.71,4.2,10.74,926.0,112.7,0,1,4,22,31.4,88.08,315.61,26.45,0.3,1151.9,0,0,1,2,24.39
33,DISOLVIENDO,23.99,20.91,24.79,3.88,10.74,928.0,112.9,0,1,4,22,32.62,88.08,315.25,26.49,0.3,1155.0,0,0,1,2,24.39
34,DISOLVIENDO,24.01,21.24,24.84,3.6,10.74,929.0,113.0,0,1,4,22,33.75,88.08,314.83,26.51,0.3,1157.7,0,0,1,2,24.39
35,DISOLVIENDO,24.04,21.4,24.88,3.47,10.74,930.0,113.1,0,1,4,22,34.8,88.08,314.36,26.54,0.3,1160.3,0,0,1,2,24.39
36,DISOLVIENDO,24.06,21.53,24.9,3.37,10.74,930.0,113.2,0,1,4,22,35.77,88.08,313.87,26.56,0.3,1162.6,0,0,1,2,24.39
37,DISOLVIENDO,24.07,21.65,24.91,3.27,10.74,931.0,113.3,0,0,5,22,36.67,88.08,313.35,26.57,0.3,1164.7,0,0,1,2,24.39
38,DISOLVIENDO,24.09,21.76,24.92,3.17,10.74,931.0,113.3,0,0,5,22,37.47,88.08,312.83,26.59,0.3,1166.7,0,0,1,2,24.39
