segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,coches_parados,coches_atasco,coches_frenando,coches_normal,coches_acelerando,coches_crucero,gap_min,gap_medio,gap_max,accel_media,coches_acelerando_count,coches_frenando_count,max_stopped_acumulado,max_v_diff_acumulado
1,ESTABILIZANDO,1.25,1.25,1.25,0.0,0,35,0,0,0,0,66.81,66.81,66.81,1.25,35,0,0,0
2,ESTABILIZANDO,2.5,2.5,2.5,0.0,0,35,0,0,0,0,66.81,66.81,66.81,1.25,35,0,0,0
3,ESTABILIZANDO,3.75,3.75,3.75,0.0,0,35,0,0,0,0,66.81,66.81,66.81,1.25,35,0,0,0
4,ESTABILIZANDO,5.0,5.0,5.0,0.0,0,35,0,0,0,0,66.81,66.81,66.81,1.25,35,0,0,0
5,ESTABILIZANDO,6.25,6.25,6.25,0.0,0,35,0,0,0,0,66.81,66.81,66.81,1.25,35,0,0,0
6,ESTABILIZANDO,7.5,7.5,7.5,0.0,0,35,0,0,0,0,66.81,66.81,66.81,1.25,35,0,0,0
7,FLUJO_SINCRO,9.91,9.91,9.91,0.0,0,0,0,0,35,0,66.81,66.81,66.81,2.39,35,0,0,0.0
8,FLUJO_SINCRO,12.27,12.27,12.27,0.0,0,0,0,0,35,0,66.81,66.81,66.81,2.32,35,0,0,0.0
9,FLUJO_SINCRO,14.53,14.53,14.53,0.0,0,0,0,0,35,0,66.81,66.81,66.81,2.21,35,0,0,0.0
10,FLUJO_SINCRO,16.67,16.67,16.67,0.0,0,0,0,0,35,0,66.81,66.81,66.81,2.07,35,0,0,0.0
11,FRENADA_ORIGEN,18.29,6.67,18.64,11.98,0,1,0,1,33,0,60.38,66.81,73.41,1.52,34,1,0,11.98
12,FRENADA_ORIGEN,19.74,0.0,20.43,20.43,1,0,1,0,33,0,44.54,66.81,91.15,1.51,33,1,1,20.43
13,FRENADA_ORIGEN,21.11,0.0,22.0,22.0,1,0,1,1,32,0,29.23,66.81,112.46,1.25,33,1,1,22.0
14,FRENADA_ORIGEN,22.21,0.0,23.33,23.33,1,0,1,2,31,0,17.41,66.81,135.21,0.98,32,2,1,23.33
15,FRENADA_ORIGEN,23.04,0.0,24.44,24.44,1,1,1,2,30,0,9.43,66.81,159.18,0.71,32,2,1,24.44
16,DISOLVIENDO,23.72,2.5,25.34,22.84,0,2,1,32,0,0,6.03,66.81,182.76,0.6,32,3,1,24.44
17,DISOLVIENDO,24.25,3.66,26.06,22.39,0,2,2,31,0,0,6.28,66.81,204.63,0.46,33,2,1,24.44
18,DISOLVIENDO,24.65,4.75,26.61,21.86,0,3,1,31,0,0,8.47,66.81,224.64,0.35,32,3,1,24.44
19,DISOLVIENDO,24.96,6.47,27.03,20.56,0,2,1,31,1,0,9.77,66.81,242.63,0.27,31,4,1,24.44
20,DISOLVIENDO,25.2,7.34,27.35,20.01,0,2,2,30,1,0,10.14,66.81,258.52,0.22,32,3,1,24.44
21,DISOLVIENDO,25.4,8.37,27.59,19.23,0,1,1,31,2,0,11.95,66.81,272.26,0.18,31,4,1,24.44
22,DISOLVIENDO,25.57,9.9,27.77,17.87,0,0,1,31,3,0,13.17,66.81,283.86,0.16,31,4,1,24.44
23,DISOLVIENDO,25.73,10.55,27.9,17.35,0,0,1,31,3,0,13.73,66.81,293.38,0.15,31,4,1,24.44
24,DISOLVIENDO,25.87,11.57,28.0,16.43,0,0,1,30,4,0,15.4,66.81,300.94,0.15,31,4,1,24.44
25,DISOLVIENDO,26.02,12.98,28.07,15.09,0,0,0,31,4,0,16.57,66.81,306.72,0.14,31,4,1,24.44
26,DISOLVIENDO,26.16,13.48,28.12,14.64,0,0,0,31,4,0,17.21,66.81,310.93,0.14,31,4,1,24.44
27,DISOLVIENDO,26.3,14.45,28.16,13.71,0,0,0,30,5,0,18.72,66.81,313.82,0.14,30,5,1,24.44
28,DISOLVIENDO,26.44,15.66,28.19,12.53,0,0,0,31,4,0,20.12,66.81,315.61,0.13,31,4,1,24.44
29,DISOLVIENDO,26.57,16.15,28.21,12.06,0,0,0,31,4,0,20.67,66.81,316.53,0.13,30,5,1,24.44
30,DISOLVIENDO,26.7,16.98,28.23,11.25,0,0,0,32,3,0,21.91,66.81,316.79,0.12,30,5,1,24.44
31,DISOLVIENDO,26.81,17.99,28.68,10.69,0,0,0,32,3,0,23.57,66.81,316.53,0.11,31,4,1,24.44
32,DISOLVIENDO,26.92,18.52,29.02,10.5,0,0,0,32,2,1,24.21,66.81,315.9,0.1,30,5,1,24.44
33,DISOLVIENDO,27.01,19.12,29.26,10.14,0,0,0,32,2,1,25.04,66.81,314.99,0.09,30,5,1,24.44
34,DISOLVIENDO,27.1,19.86,29.44,9.58,0,0,0,34,0,1,26.23,66.81,313.88,0.08,30,5,1,24.44
35,DISOLVIENDO,27.18,20.57,29.57,9.0,0,0,0,34,0,1,27.6,66.81,312.62,0.07,30,5,1,24.44
36,DISOLVIENDO,27.25,20.92,29.66,8.74,0,0,0,34,0,1,28.35,66.81,311.26,0.07,29,6,1,24.44
37,DISOLVIENDO,27.31,21.37,29.72,8.35,0,0,0,34,0,1,28.99,66.81,309.83,0.06,29,6,1,24.44
38,DISOLVIENDO,27.36,21.86,29.77,7.9,0,0,0,34,0,1,29.83,66.81,308.34,0.05,29,6,1,24.44
39,DISOLVIENDO,27.41,22.36,29.8,7.44,0,0,0,34,0,1,30.76,66.81,306.82,0.04,29,6,1,24.44
40,DISOLVIENDO,27.45,22.67,29.82,7.15,0,0,0,34,0,1,31.72,66.81,305.27,0.04,28,7,1,24.44
41,DISOLVIENDO,27.49,22.91,29.84,6.92,0,0,0,34,0,1,32.53,66.81,303.71,0.03,28,7,1,24.44
42,DISOLVIENDO,27.52,23.18,29.85,6.66,0,0,0,34,0,1,32.95,66.81,302.13,0.03,28,7,1,24.44
43,DISOLVIENDO,27.55,23.45,29.85,6.4,0,0,0,34,0,1,33.45,66.81,300.54,0.03,28,7,1,24.44
44,DISOLVIENDO,27.57,23.71,29.86,6.14,0,0,0,34,0,1,33.99,66.81,298.95,0.02,28,7,1,24.44
45,DISOLVIENDO,27.59,23.96,29.86,5.9,0,0,0,34,0,1,34.56,66.81,297.36,0.02,27,8,1,24.44
46,DISOLVIENDO,27.61,24.12,29.86,5.74,0,0,0,34,0,1,35.12,66.81,295.76,0.02,27,8,1,24.44
47,DISOLVIENDO,27.63,24.24,29.86,5.63,0,0,0,34,0,1,35.68,66.81,294.16,0.02,26,9,1,24.44
48,DISOLVIENDO,27.64,24.36,29.86,5.5,0,0,0,34,0,1,36.22,66.81,292.56,0.01,25,10,1,24.44
49,DISOLVIENDO,27.65,24.48,29.86,5.38,0,0,0,34,0,1,36.56,66.81,290.97,0.01,25,10,1,24.44
50,DISOLVIENDO,27.67,24.6,29.86,5.26,0,0,0,34,0,1,36.84,66.81,289.37,0.01,25,10,1,24.44
51,DISOLVIENDO,27.68,24.72,29.86,5.14,0,0,0,34,0,1,37.13,66.81,287.77,0.01,25,10,1,24.44
52,DISOLVIENDO,27.69,24.83,29.86,5.03,0,0,0,34,0,1,37.45,66.81,286.17,0.01,24,11,1,24.44
53,DISOLVIENDO,27.7,24.94,29.86,4.92,0,0,0,33,0,2,37.78,66.81,284.58,0.01,24,11,1,24.44
54,DISOLVIENDO,27.71,25.03,29.86,4.83,0,0,0,33,0,2,38.11,66.81,282.99,0.01,23,12,1,24.44
55,DISOLVIENDO,27.72,25.07,29.86,4.78,0,0,0,33,0,2,38.45,66.81,281.4,0.01,23,12,1,24.44
56,DISOLVIENDO,27.72,25.13,29.85,4.73,0,0,0,33,0,2,38.79,66.81,279.8,0.01,23,12,1,24.44
57,DISOLVIENDO,27.73,25.18,29.85,4.67,0,0,0,33,0,2,39.14,66.81,278.22,0.01,22,13,1,24.44
58,DISOLVIENDO,27.74,25.24,29.85,4.61,0,0,0,33,0,2,39.37,66.81,276.63,0.01,22,13,1,24.44
59,DISOLVIENDO,27.74,25.3,29.85,4.55,0,0,0,33,0,2,39.53,66.81,275.04,0.01,21,14,1,24.44
60,DISOLVIENDO,27.75,25.36,29.85,4.49,0,0,0,33,0,2,39.72,66.81,273.46,0.01,22,13,1,24.44
61,DISOLVIENDO,27.76,25.42,29.85,4.43,0,0,0,33,0,2,39.93,66.81,271.88,0.01,21,14,1,24.44
