segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
1,EQUILIBRIO,26.29,26.29,26.29,0.0,11.94,1130.0,103.1,0,30,0,0,78.78,78.78,78.78,0.0,0,0,0,0
2,EQUILIBRIO,26.91,26.91,26.91,0.0,11.94,1156.0,105.5,0,30,0,0,78.78,78.78,78.78,0.0,0,0,0,0.0
3,EQUILIBRIO,27.38,27.38,27.38,0.0,11.94,1177.0,107.4,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
4,EQUILIBRIO,27.74,27.74,27.74,0.0,11.94,1192.0,108.8,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
5,EQUILIBRIO,28.01,28.01,28.01,0.0,11.94,1204.0,109.8,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
6,EQUILIBRIO,28.21,28.21,28.21,0.0,11.94,1212.0,110.6,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
7,EQUILIBRIO,28.35,28.35,28.35,0.0,11.94,1218.0,111.2,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
8,EQUILIBRIO,28.46,28.46,28.46,0.0,11.94,1223.0,111.6,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
9,EQUILIBRIO,28.54,28.54,28.54,0.0,11.94,1226.0,111.9,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
10,EQUILIBRIO,28.59,28.59,28.59,0.0,11.94,1229.0,112.1,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
11,FRENADA_ORIGEN,28.2,16.59,28.63,12.04,11.94,1212.0,110.6,0,0,2,28,72.44,78.78,85.4,25.1,0,0,0,12.04
12,FRENADA_ORIGEN,27.7,4.59,28.66,24.07,11.94,1191.0,108.6,0,0,2,28,56.36,78.78,104.06,42.9,0,-0.0,0,24.07
13,FRENADA_ORIGEN,27.39,0.0,28.69,28.69,11.94,1177.0,107.4,1,0,2,27,35.25,78.78,132.08,55.2,0,-0.0,1,28.69
14,FRENADA_ORIGEN,27.19,0.0,28.7,28.7,11.94,1169.0,106.6,1,0,2,27,17.99,78.78,160.77,68.2,0,-0.0,1,28.7
15,FRENADA_ORIGEN,26.95,0.0,28.71,28.71,11.94,1158.0,105.7,1,0,3,26,5.22,78.78,189.48,82.4,0,-7.4,1,28.71
16,DISOLVIENDO,26.72,2.5,28.72,26.22,11.94,1148.0,104.8,0,1,3,26,-1.67,78.78,216.82,97.6,0,-2.0,1,28.71
17,DISOLVIENDO,26.44,1.74,28.73,26.99,11.94,1136.0,103.7,0,1,3,26,-1.56,78.78,241.68,111.7,0,-1.8,1,28.71
18,ONDA_ACTIVA,26.21,0.23,28.73,28.5,11.94,1126.0,102.8,1,1,3,25,4.57,78.78,264.03,126.3,0,-4.3,1,28.71
19,DISOLVIENDO,26.04,2.42,28.74,26.32,11.94,1119.0,102.1,0,2,3,25,4.44,78.78,283.91,141.5,0,-6.8,1,28.71
20,DISOLVIENDO,25.88,2.72,28.74,26.01,11.94,1112.0,101.5,0,2,2,26,4.57,78.78,301.32,155.2,0,-8.9,1,28.71
21,DISOLVIENDO,25.8,3.8,28.74,24.94,11.94,1109.0,101.2,0,3,3,24,7.58,78.78,316.3,169.9,0,-10.5,1,28.71
22,DISOLVIENDO,25.76,5.69,28.74,23.05,11.94,1107.0,101.0,0,3,3,24,9.24,78.78,328.94,182.6,0,-11.9,1,28.71
23,DISOLVIENDO,25.78,6.79,28.74,21.95,11.94,1108.0,101.1,0,3,2,25,9.36,78.78,339.36,194.1,0,-13.0,1,28.71
24,DISOLVIENDO,25.85,7.75,28.74,20.99,11.94,1111.0,101.4,0,4,3,23,11.18,78.78,347.7,204.9,0,-20.3,1,28.71
