segundo,estado_experimento,coches_crucero,coches_frenando,coches_atasco,coches_recuperando,vel_media_sistema,vel_min
1,ESTABILIZANDO,38,0,0,0,20.0,20.0
2,ESTABILIZANDO,38,0,0,0,20.0,20.0
3,ESTABILIZANDO,38,0,0,0,20.0,20.0
4,ESTABILIZANDO,38,0,0,0,20.0,20.0
5,ESTABILIZANDO,38,0,0,0,20.0,20.0
6,ESTABILIZANDO,38,0,0,0,20.0,20.0
7,ESTABILIZANDO,38,0,0,0,20.0,20.0
8,ESTABILIZANDO,38,0,0,0,20.0,20.0
9,ESTABILIZANDO,38,0,0,0,20.0,20.0
10,ESTABILIZANDO,38,0,0,0,20.0,20.0
11,FRENANDO,36,1,1,0,19.31,8.0
12,FRENANDO,35,2,1,0,18.71,0
13,FRENANDO,35,2,1,0,18.38,0
14,FRENANDO,33,3,2,0,18.11,0
15,FRENANDO,0,36,2,0,17.86,0
16,RECUPERANDO,0,36,2,0,17.66,1.08
17,RECUPERANDO,0,35,3,0,17.5,2.28
18,RECUPERANDO,0,35,3,0,17.36,2.8
19,RECUPERANDO,0,35,3,0,17.24,3.03
20,RECUPERANDO,0,35,3,0,17.14,3.59
21,RECUPERANDO,0,34,4,0,17.07,4.37
22,RECUPERANDO,0,34,4,0,17.0,4.43
23,RECUPERANDO,0,34,4,0,16.96,4.75
24,RECUPERANDO,0,33,4,1,16.93,5.31
25,RECUPERANDO,0,33,4,1,16.91,5.65
26,RECUPERANDO,0,33,4,1,16.9,5.83
27,RECUPERANDO,0,33,3,2,16.9,6.25
28,RECUPERANDO,0,32,4,2,16.91,6.83
29,RECUPERANDO,0,32,4,2,16.93,6.91
30,RECUPERANDO,0,32,3,3,16.95,7.2
31,RECUPERANDO,0,32,3,3,16.98,7.66
32,RECUPERANDO,0,32,3,3,17.02,8.03
33,RECUPERANDO,0,31,3,4,17.05,8.19
34,RECUPERANDO,0,31,3,4,17.09,8.52
35,RECUPERANDO,0,31,2,5,17.13,8.99
36,RECUPERANDO,0,31,2,5,17.17,9.25
37,RECUPERANDO,1,31,1,5,17.22,9.45
38,RECUPERANDO,1,31,1,5,17.26,9.79
39,RECUPERANDO,1,31,0,6,17.3,10.22
40,RECUPERANDO,1,30,0,7,17.34,10.46
41,RECUPERANDO,1,30,0,7,17.38,10.66
42,RECUPERANDO,1,30,0,7,17.42,10.95
43,RECUPERANDO,1,30,0,7,17.45,11.32
44,RECUPERANDO,1,29,0,8,17.49,11.62
45,RECUPERANDO,1,29,0,8,17.52,11.77
46,RECUPERANDO,1,29,0,8,17.55,12.0
47,RECUPERANDO,1,29,0,8,17.58,12.29
48,RECUPERANDO,1,28,0,9,17.61,12.62
49,RECUPERANDO,1,28,0,9,17.64,12.8
50,RECUPERANDO,2,28,0,8,17.66,12.95
51,RECUPERANDO,2,28,0,8,17.69,13.14
52,RECUPERANDO,2,28,0,8,17.71,13.37
53,RECUPERANDO,2,27,0,9,17.73,13.62
54,RECUPERANDO,2,27,0,9,17.75,13.8
55,RECUPERANDO,2,27,0,9,17.77,13.9
56,RECUPERANDO,2,27,0,9,17.78,14.04
57,RECUPERANDO,2,27,0,9,17.8,14.2
58,RECUPERANDO,2,26,0,10,17.82,14.36
59,RECUPERANDO,2,26,0,10,17.83,14.54
60,RECUPERANDO,2,26,0,10,17.84,14.67
61,RECUPERANDO,2,26,0,10,17.85,14.74
62,RECUPERANDO,2,26,0,10,17.86,14.83
63,RECUPERANDO,2,26,0,10,17.88,14.93
64,RECUPERANDO,2,26,0,10,17.88,15.03
65,RECUPERANDO,2,25,0,11,17.89,15.14
66,RECUPERANDO,2,25,0,11,17.9,15.25
67,RECUPERANDO,2,25,0,11,17.91,15.35
68,RECUPERANDO,2,25,0,11,17.92,15.39
69,RECUPERANDO,2,25,0,11,17.92,15.44
70,RECUPERANDO,2,25,0,11,17.93,15.5
71,RECUPERANDO,2,25,0,11,17.94,15.56
72,RECUPERANDO,2,25,0,11,17.94,15.62
73,RECUPERANDO,2,24,0,12,17.95,15.68
74,RECUPERANDO,2,24,0,12,17.95,15.74
75,RECUPERANDO,2,24,0,12,17.96,15.8
76,RECUPERANDO,2,24,0,12,17.97,15.86
77,RECUPERANDO,2,24,0,12,17.97,15.89
78,RECUPERANDO,2,24,0,12,17.97,15.92
79,RECUPERANDO,2,24,0,12,17.98,15.95
