second,avg_speed,speed_variance,min_speed,max_speed,throughput_per_min,total_throughput,near_collisions,hard_brakes,min_gap,num_cars,num_trucks
0,1.34,0.09,0.8,1.5,60,1,0,0,59.42,27,8
2,2.67,0.34,1.6,2.99,0,1,0,0,58.35,27,8
3,3.98,0.75,2.39,4.47,0,1,0,0,56.59,27,8
4,5.28,1.3,3.18,5.94,0,1,0,0,54.17,27,8
4,6.55,1.95,3.97,7.39,0,1,0,0,51.13,27,8
5,7.78,2.68,4.76,8.81,0,1,0,0,47.56,27,8
6,8.96,3.45,5.54,10.22,0,1,0,0,43.56,27,8
7,10.07,4.24,6.32,11.59,0,1,0,0,39.3,27,8
8,11.11,5.08,7.09,12.93,0,1,0,0,35.01,27,8
9,12.06,6.0,7.86,14.23,0,1,0,0,30.94,27,8
10,12.92,7.08,8.61,15.48,0,1,0,0,27.36,27,8
11,13.7,8.31,9.36,16.68,0,1,0,0,24.46,27,8
12,14.42,9.59,10.11,17.82,0,1,0,0,22.31,27,8
13,15.07,10.81,10.84,18.88,60,2,0,0,20.91,27,8
14,15.67,11.87,11.56,19.84,0,2,0,0,20.17,27,8
15,16.21,12.7,12.13,20.69,0,2,0,0,19.97,27,8
16,16.71,13.27,12.5,21.54,60,3,0,0,19.97,27,8
17,17.16,13.56,12.93,22.3,0,3,0,0,19.97,27,8
19,17.56,13.56,13.41,22.93,0,3,0,0,19.97,27,8
20,17.93,13.28,13.92,23.4,60,4,0,0,19.97,27,8
21,18.25,12.75,14.44,23.79,0,4,0,0,19.97,27,8
22,18.55,12.02,14.88,24.17,0,4,0,0,19.97,27,8
23,18.81,11.14,15.1,24.42,0,4,0,0,19.97,27,8
24,19.05,10.18,15.4,24.65,0,4,0,0,19.97,27,8
25,19.27,9.2,15.74,24.99,0,4,0,0,19.97,27,8
26,19.48,8.23,16.13,25.26,0,4,0,0,19.97,27,8
27,19.67,7.32,16.54,25.46,0,4,0,0,19.97,27,8
28,19.86,6.48,16.93,25.59,60,5,0,0,19.97,27,8
29,20.03,5.72,17.23,25.71,0,5,0,0,19.97,27,8
30,20.21,5.02,17.59,25.83,60,6,0,0,19.97,27,8
31,20.38,4.39,17.78,25.89,0,6,0,0,19.97,27,8
32,20.54,3.82,17.98,25.89,0,6,0,0,19.97,27,8
33,20.71,3.31,18.24,25.81,0,6,0,0,19.97,27,8
34,20.86,2.86,18.56,25.66,0,6,0,0,19.97,27,8
35,21.02,2.47,18.67,25.43,60,7,0,0,19.97,27,8
36,21.18,2.14,18.84,25.12,0,7,0,0,19.97,27,8
37,21.33,1.88,19.07,24.75,60,8,0,0,19.97,27,8
38,21.48,1.69,19.26,24.33,0,8,0,0,19.97,27,8
39,21.62,1.55,19.33,23.88,60,9,0,0,19.97,27,8
40,21.77,1.45,19.47,23.41,0,9,0,0,19.97,27,8
41,21.91,1.39,19.65,23.48,0,9,0,0,19.97,27,8
42,22.05,1.36,19.87,23.61,60,10,0,0,19.97,27,8
43,22.19,1.33,20.0,23.72,0,10,0,0,19.97,27,8
44,22.32,1.31,20.07,23.82,60,11,0,0,19.97,27,8
45,22.45,1.28,20.18,23.9,0,11,0,0,19.97,27,8
46,22.58,1.24,20.33,23.97,60,12,0,0,19.97,27,8
47,22.7,1.19,20.39,24.04,0,12,0,0,19.97,27,8
48,22.81,1.13,20.45,24.09,60,13,0,0,19.97,27,8
49,22.92,1.06,20.54,24.14,0,13,0,0,19.97,27,8
50,23.02,0.98,20.66,24.17,0,13,0,0,19.97,27,8
51,23.11,0.9,20.81,24.23,60,14,0,0,19.97,27,8
52,23.2,0.81,20.98,24.28,0,14,0,0,19.97,27,8
53,23.29,0.73,21.1,24.33,60,15,0,0,19.97,27,8
54,23.36,0.65,21.24,24.38,0,15,0,0,19.97,27,8
55,23.43,0.57,21.4,24.42,60,16,0,0,19.97,27,8
56,23.49,0.5,21.57,24.46,0,16,0,0,19.97,27,8
57,23.55,0.44,21.76,24.5,0,16,0,0,19.97,27,8
58,23.6,0.38,21.94,24.53,0,16,0,0,19.97,27,8
59,23.65,0.33,22.13,24.56,0,16,0,0,19.97,27,8
60,23.69,0.29,22.31,24.58,0,16,0,0,19.97,27,8
61,23.55,1.09,18.24,24.6,0,16,0,10,19.97,27,8
62,23.39,3.93,12.24,24.62,0,16,0,20,19.97,27,8
63,23.19,8.89,6.24,24.64,0,16,0,30,19.97,27,8
64,22.95,16.1,0.24,24.65,0,16,0,40,19.97,27,8
65,22.85,17.14,0.0,24.66,0,16,0,50,19.97,27,8
66,22.74,18.27,0.0,24.67,60,17,0,60,19.97,27,8
67,22.59,19.9,0.0,24.68,0,17,0,70,19.97,27,8
68,22.42,22.12,0.0,24.68,60,18,0,80,19.97,27,8
69,22.26,23.16,1.5,24.69,0,18,0,80,11.87,27,8
70,22.08,25.12,3.0,24.69,60,19,0,80,6.31,27,8
71,21.86,28.11,4.5,24.69,0,19,0,80,4.24,27,8
72,21.63,31.6,3.56,24.69,0,19,0,80,4.23,27,8
73,21.45,33.49,3.89,24.69,60,20,0,80,4.23,27,8
74,21.28,34.75,4.58,24.69,0,20,0,80,4.23,27,8
75,21.13,35.77,4.65,24.69,60,21,0,80,4.23,27,8
75,20.96,36.87,4.96,24.69,0,21,0,80,4.23,27,8
76,20.79,38.13,5.19,24.68,60,22,0,80,4.23,27,8
77,20.64,38.89,5.31,24.68,0,22,0,80,4.23,27,8
78,20.5,39.34,5.5,24.68,0,22,0,80,4.23,27,8
79,20.36,39.79,5.51,24.67,60,23,0,80,4.23,27,8
80,20.21,40.37,5.73,24.67,0,23,0,80,4.23,27,8
81,20.07,40.84,5.72,24.66,0,23,0,80,4.23,27,8
82,19.95,41.24,5.93,24.65,60,24,0,80,4.23,27,8
83,19.84,41.61,6.27,24.65,0,24,0,80,4.23,27,8
84,19.73,41.93,6.3,24.64,60,25,0,80,4.23,27,8
85,19.63,42.22,6.52,25.41,0,25,0,80,4.23,27,8
86,19.55,42.47,6.61,26.46,0,25,0,80,4.23,27,8
87,19.47,42.67,6.71,27.43,0,25,0,80,4.23,27,8
88,19.41,42.83,6.74,28.32,0,25,0,80,4.23,27,8
89,19.35,42.95,6.82,29.12,0,25,0,80,4.23,27,8
90,19.31,43.02,6.93,29.84,0,25,0,80,4.23,27,8
91,19.27,43.06,6.97,30.48,0,25,0,80,4.23,27,8
92,19.26,43.07,7.1,31.04,60,26,0,80,4.23,27,8
93,19.26,43.06,7.1,31.52,0,26,0,80,4.23,27,8
94,19.27,43.01,7.26,31.94,0,26,0,80,4.23,27,8
95,19.31,42.89,7.28,32.29,60,27,0,80,4.23,27,8
96,19.36,42.66,7.37,32.58,0,27,0,80,4.23,27,8
97,19.43,42.25,7.39,32.82,60,28,0,80,4.23,27,8
98,19.52,41.61,7.46,33.01,0,28,0,80,4.23,27,8
99,19.62,40.71,7.67,33.16,60,29,0,80,4.23,27,8
100,19.74,39.54,7.66,33.28,0,29,0,80,4.23,27,8
101,19.86,38.09,7.76,33.36,60,30,0,80,4.23,27,8
102,19.99,36.4,7.79,33.41,0,30,0,80,4.23,27,8
103,20.11,34.53,7.85,33.44,60,31,0,80,4.23,27,8
104,20.24,32.54,8.03,33.44,0,31,0,80,4.23,27,8
105,20.36,30.5,8.0,33.42,60,32,0,80,4.23,27,8
106,20.47,28.47,8.11,33.38,0,32,0,80,4.23,27,8
107,20.58,26.52,8.34,33.33,0,32,0,80,4.23,27,8
108,20.67,24.7,8.66,33.26,0,32,0,80,4.23,27,8
109,20.76,23.05,9.07,33.17,0,32,0,80,4.23,27,8
110,20.83,21.59,9.54,33.07,60,33,0,80,4.23,27,8
111,20.89,20.35,10.06,32.96,0,33,0,80,4.23,27,8
112,20.95,19.3,10.63,32.83,0,33,0,80,4.23,27,8
113,21.0,18.44,11.23,32.69,60,34,0,80,4.23,27,8
114,21.04,17.75,11.85,32.53,0,34,0,80,4.23,27,8
115,21.07,17.19,12.5,32.36,0,34,0,80,4.23,27,8
116,21.11,16.76,13.15,32.18,0,34,0,80,4.23,27,8
117,21.14,16.42,13.77,31.98,60,35,0,80,4.23,27,8
118,21.17,16.15,13.76,31.77,0,35,0,80,4.23,27,8
119,21.2,15.94,13.81,31.54,0,35,0,80,4.23,27,8
120,21.23,15.76,13.8,31.3,0,35,0,80,4.23,27,8
121,21.26,15.6,13.88,31.05,0,35,0,80,4.23,27,8
122,21.29,15.46,13.9,30.79,0,35,0,80,4.23,27,8
123,21.33,15.3,13.93,30.51,60,36,0,80,4.23,27,8
124,21.37,15.13,13.98,30.22,0,36,0,80,4.23,27,8
125,21.41,14.94,13.98,29.93,0,36,0,80,4.23,27,8
126,21.45,14.7,14.06,29.63,0,36,0,80,4.23,27,8
127,21.5,14.41,14.06,29.32,0,36,0,80,4.23,27,8
128,21.56,14.07,14.1,29.01,0,36,0,80,4.23,27,8
129,21.61,13.67,14.14,28.69,0,36,0,80,4.23,27,8
130,21.67,13.2,14.15,28.38,0,36,0,80,4.23,27,8
131,21.73,12.67,14.23,28.08,0,36,0,80,4.23,27,8
132,21.78,12.09,14.38,27.78,0,36,0,80,4.23,27,8
133,21.84,11.47,14.36,27.48,0,36,0,80,4.23,27,8
134,21.9,10.81,14.42,27.2,0,36,0,80,4.23,27,8
135,21.95,10.15,14.5,26.94,0,36,0,80,4.23,27,8
136,22.0,9.48,14.5,26.68,0,36,0,80,4.23,27,8
137,22.04,8.83,14.57,26.45,0,36,0,80,4.23,27,8
138,22.09,8.22,14.7,26.23,0,36,0,80,4.23,27,8
139,22.12,7.65,14.89,26.02,0,36,0,80,4.23,27,8
140,22.16,7.12,15.12,25.83,0,36,0,80,4.23,27,8
141,22.18,6.66,15.4,25.66,0,36,0,80,4.23,27,8
142,22.21,6.25,15.71,25.5,0,36,0,80,4.23,27,8
143,22.23,5.9,16.04,25.36,0,36,0,80,4.23,27,8
144,22.25,5.61,16.39,25.23,60,37,0,80,4.23,27,8
145,22.26,5.37,16.76,25.11,0,37,0,80,4.23,27,8
146,22.28,5.17,17.13,25.0,60,38,0,80,4.23,27,8
147,22.29,5.02,17.51,24.9,0,38,0,80,4.23,27,8
148,22.3,4.89,17.88,24.81,0,38,0,80,4.23,27,8
149,22.31,4.79,18.19,24.73,60,39,0,80,4.23,27,8
150,22.33,4.71,18.32,24.65,0,39,0,80,4.23,27,8
151,22.34,4.63,18.31,24.57,60,40,0,80,4.23,27,8
152,22.35,4.57,18.33,24.5,0,40,0,80,4.23,27,8
153,22.36,4.5,18.39,24.42,60,41,0,80,4.23,27,8
154,22.38,4.42,18.42,24.35,0,41,0,80,4.23,27,8
155,22.4,4.34,18.43,24.27,0,41,0,80,4.23,27,8
156,22.41,4.25,18.44,24.18,60,42,0,80,4.23,27,8
157,22.43,4.15,18.44,24.18,0,42,0,80,4.23,27,8
158,22.45,4.04,18.46,24.18,0,42,0,80,4.23,27,8
159,22.47,3.93,18.45,24.18,60,43,0,80,4.23,27,8
160,22.49,3.81,18.49,24.18,0,43,0,80,4.23,27,8
161,22.51,3.68,18.48,24.18,60,44,0,80,4.23,27,8
162,22.53,3.55,18.5,24.18,0,44,0,80,4.23,27,8
163,22.55,3.42,18.55,24.18,60,45,0,80,4.23,27,8
164,22.57,3.29,18.62,24.18,0,45,0,80,4.23,27,8
165,22.6,3.16,18.72,24.18,60,46,0,80,4.23,27,8
166,22.62,3.03,18.84,24.18,0,46,0,80,4.23,27,8
167,22.64,2.9,18.98,24.18,0,46,0,80,4.23,27,8
168,22.67,2.78,19.12,24.18,60,47,0,80,4.23,27,8
169,22.69,2.66,19.28,24.18,0,47,0,80,4.23,27,8
170,22.72,2.55,19.45,24.18,60,48,0,80,4.23,27,8
171,22.74,2.44,19.62,24.18,0,48,0,80,4.23,27,8
172,22.77,2.34,19.64,24.18,60,49,0,80,4.23,27,8
173,22.8,2.24,19.67,24.18,0,49,0,80,4.23,27,8
174,22.82,2.14,19.73,24.18,0,49,0,80,4.23,27,8
175,22.85,2.05,19.8,24.18,60,50,0,80,4.23,27,8
176,22.87,1.96,19.88,24.18,0,50,0,80,4.23,27,8
177,22.9,1.87,19.98,24.18,60,51,0,80,4.23,27,8
178,22.93,1.79,20.08,24.18,0,51,0,80,4.23,27,8
179,22.95,1.71,20.19,24.18,0,51,0,80,4.23,27,8
180,22.98,1.63,20.3,24.18,0,51,0,80,4.23,27,8
181,23.0,1.56,20.41,24.18,0,51,0,80,4.23,27,8
182,23.03,1.48,20.52,24.17,0,51,0,80,4.23,27,8
183,23.05,1.41,20.63,24.17,60,52,0,80,4.23,27,8
184,23.07,1.34,20.69,24.17,0,52,0,80,4.23,27,8
185,23.09,1.28,20.72,24.17,60,53,0,80,4.23,27,8
186,23.11,1.21,20.76,24.17,0,53,0,80,4.23,27,8
187,23.13,1.15,20.8,24.17,60,54,0,80,4.23,27,8
188,23.15,1.1,20.85,24.17,0,54,0,80,4.23,27,8
189,23.17,1.04,20.91,24.16,0,54,0,80,4.23,27,8
190,23.19,0.99,20.97,24.16,60,55,0,80,4.23,27,8
191,23.21,0.95,21.03,24.16,0,55,0,80,4.23,27,8
192,23.22,0.9,21.09,24.16,60,56,0,80,4.23,27,8
193,23.24,0.86,21.15,24.16,0,56,0,80,4.23,27,8
194,23.26,0.82,21.22,24.15,60,57,0,80,4.23,27,8
195,23.27,0.78,21.28,24.15,0,57,0,80,4.23,27,8
196,23.28,0.75,21.34,24.15,0,57,0,80,4.23,27,8
197,23.3,0.72,21.4,24.15,60,58,0,80,4.23,27,8
198,23.31,0.69,21.46,24.15,0,58,0,80,4.23,27,8
199,23.32,0.66,21.51,24.14,0,58,0,80,4.23,27,8
200,23.33,0.63,21.57,24.14,60,59,0,80,4.23,27,8
201,23.34,0.61,21.62,24.14,0,59,0,80,4.23,27,8
202,23.35,0.59,21.67,24.14,60,60,0,80,4.23,27,8
203,23.36,0.57,21.72,24.14,0,60,0,80,4.23,27,8
204,23.37,0.55,21.76,24.13,0,60,0,80,4.23,27,8
205,23.38,0.53,21.81,24.13,0,60,0,80,4.23,27,8
206,23.39,0.51,21.85,24.13,60,61,0,80,4.23,27,8
207,23.4,0.49,21.89,24.13,0,61,0,80,4.23,27,8
208,23.41,0.48,21.92,24.12,0,61,0,80,4.23,27,8
209,23.41,0.46,21.96,24.12,60,62,0,80,4.23,27,8
210,23.42,0.45,22.0,24.12,0,62,0,80,4.23,27,8
211,23.43,0.43,22.03,24.12,60,63,0,80,4.23,27,8
212,23.43,0.42,22.06,24.11,0,63,0,80,4.23,27,8
213,23.44,0.41,22.09,24.11,0,63,0,80,4.23,27,8
214,23.45,0.4,22.12,24.11,60,64,0,80,4.23,27,8
215,23.45,0.38,22.15,24.11,0,64,0,80,4.23,27,8
216,23.46,0.37,22.18,24.1,60,65,0,80,4.23,27,8
217,23.47,0.36,22.2,24.1,0,65,0,80,4.23,27,8
218,23.47,0.35,22.23,24.1,60,66,0,80,4.23,27,8
219,23.48,0.34,22.25,24.1,0,66,0,80,4.23,27,8
220,23.48,0.34,22.27,24.09,60,67,0,80,4.23,27,8
221,23.49,0.33,22.3,24.09,0,67,0,80,4.23,27,8
222,23.49,0.32,22.32,24.09,0,67,0,80,4.23,27,8
223,23.5,0.31,22.34,24.08,60,68,0,80,4.23,27,8
224,23.5,0.3,22.36,24.08,0,68,0,80,4.23,27,8
225,23.51,0.3,22.38,24.08,60,69,0,80,4.23,27,8
226,23.51,0.29,22.4,24.08,0,69,0,80,4.23,27,8
227,23.52,0.28,22.42,24.07,0,69,0,80,4.23,27,8
228,23.52,0.27,22.44,24.07,60,70,0,80,4.23,27,8
229,23.53,0.27,22.46,24.07,0,70,0,80,4.23,27,8
230,23.53,0.26,22.48,24.07,60,71,0,80,4.23,27,8
231,23.53,0.26,22.49,24.06,0,71,0,80,4.23,27,8
232,23.54,0.25,22.51,24.06,0,71,0,80,4.23,27,8
233,23.54,0.24,22.53,24.06,0,71,0,80,4.23,27,8
234,23.55,0.24,22.54,24.06,0,71,0,80,4.23,27,8
235,23.55,0.23,22.56,24.05,0,71,0,80,4.23,27,8
236,23.55,0.23,22.57,24.05,0,71,0,80,4.23,27,8
237,23.56,0.22,22.59,24.05,0,71,0,80,4.23,27,8
238,23.56,0.22,22.61,24.05,0,71,0,80,4.23,27,8
239,23.56,0.21,22.62,24.04,0,71,0,80,4.23,27,8
240,23.57,0.21,22.63,24.04,0,71,0,80,4.23,27,8
241,23.57,0.21,22.65,24.04,0,71,0,80,4.23,27,8
242,23.57,0.2,22.66,24.04,0,71,0,80,4.23,27,8
243,23.58,0.2,22.68,24.04,0,71,0,80,4.23,27,8
244,23.58,0.19,22.69,24.04,0,71,0,80,4.23,27,8
245,23.58,0.19,22.7,24.03,0,71,0,80,4.23,27,8
246,23.59,0.19,22.72,24.03,0,71,0,80,4.23,27,8
247,23.59,0.18,22.73,24.03,0,71,0,80,4.23,27,8
248,23.59,0.18,22.74,24.03,60,72,0,80,4.23,27,8
249,23.6,0.18,22.75,24.03,0,72,0,80,4.23,27,8
250,23.6,0.17,22.76,24.03,0,72,0,80,4.23,27,8
251,23.6,0.17,22.78,24.02,60,73,0,80,4.23,27,8
252,23.61,0.17,22.79,24.02,0,73,0,80,4.23,27,8
253,23.61,0.16,22.8,24.02,60,74,0,80,4.23,27,8
254,23.61,0.16,22.81,24.02,0,74,0,80,4.23,27,8
255,23.61,0.16,22.82,24.02,0,74,0,80,4.23,27,8
256,23.62,0.15,22.83,24.02,60,75,0,80,4.23,27,8
257,23.62,0.15,22.84,24.02,0,75,0,80,4.23,27,8
258,23.62,0.15,22.85,24.02,60,76,0,80,4.23,27,8
259,23.62,0.15,22.86,24.02,0,76,0,80,4.23,27,8
260,23.63,0.14,22.87,24.02,0,76,0,80,4.23,27,8
261,23.63,0.14,22.88,24.01,60,77,0,80,4.23,27,8
262,23.63,0.14,22.89,24.01,0,77,0,80,4.23,27,8
263,23.63,0.14,22.9,24.01,60,78,0,80,4.23,27,8
264,23.64,0.13,22.91,24.01,0,78,0,80,4.23,27,8
265,23.64,0.13,22.92,24.01,60,79,0,80,4.23,27,8
266,23.64,0.13,22.93,24.01,0,79,0,80,4.23,27,8
267,23.64,0.13,22.94,24.01,60,80,0,80,4.23,27,8
268,23.65,0.13,22.95,24.01,0,80,0,80,4.23,27,8
269,23.65,0.12,22.96,24.01,0,80,0,80,4.23,27,8
270,23.65,0.12,22.97,24.01,60,81,0,80,4.23,27,8
271,23.65,0.12,22.97,24.01,0,81,0,80,4.23,27,8
272,23.65,0.12,22.98,24.01,60,82,0,80,4.23,27,8
273,23.66,0.12,22.99,24.01,0,82,0,80,4.23,27,8
274,23.66,0.11,23.0,24.01,60,83,0,80,4.23,27,8
275,23.66,0.11,23.01,24.01,0,83,0,80,4.23,27,8
276,23.66,0.11,23.02,24.0,0,83,0,80,4.23,27,8
277,23.66,0.11,23.02,24.0,60,84,0,80,4.23,27,8
278,23.67,0.11,23.03,24.0,0,84,0,80,4.23,27,8
279,23.67,0.11,23.04,24.0,60,85,0,80,4.23,27,8
280,23.67,0.1,23.05,24.0,0,85,0,80,4.23,27,8
281,23.67,0.1,23.05,24.0,0,85,0,80,4.23,27,8
282,23.67,0.1,23.06,24.0,60,86,0,80,4.23,27,8
283,23.68,0.1,23.07,24.0,0,86,0,80,4.23,27,8
284,23.68,0.1,23.07,24.0,0,86,0,80,4.23,27,8
285,23.68,0.1,23.08,24.0,0,86,0,80,4.23,27,8
286,23.68,0.1,23.09,24.0,0,86,0,80,4.23,27,8
287,23.68,0.09,23.09,24.0,0,86,0,80,4.23,27,8
288,23.68,0.09,23.1,24.0,0,86,0,80,4.23,27,8
289,23.69,0.09,23.11,24.0,60,87,0,80,4.23,27,8
290,23.69,0.09,23.11,24.0,0,87,0,80,4.23,27,8
291,23.69,0.09,23.12,24.0,0,87,0,80,4.23,27,8
292,23.69,0.09,23.13,24.0,60,88,0,80,4.23,27,8
293,23.69,0.09,23.13,24.0,0,88,0,80,4.23,27,8
294,23.69,0.08,23.14,24.0,60,89,0,80,4.23,27,8
295,23.7,0.08,23.15,24.0,0,89,0,80,4.23,27,8
296,23.7,0.08,23.15,24.0,60,90,0,80,4.23,27,8
297,23.7,0.08,23.16,24.0,0,90,0,80,4.23,27,8
298,23.7,0.08,23.16,23.99,0,90,0,80,4.23,27,8
