second,avg_speed,speed_variance,min_speed,max_speed,throughput_per_min,total_throughput,near_collisions,hard_brakes,min_gap,num_cars,num_trucks
0,1.16,0.12,0.8,1.5,60,1,0,0,59.42,18,17
2,2.31,0.48,1.59,2.99,0,1,0,0,58.35,18,17
3,3.45,1.05,2.38,4.48,0,1,0,0,56.58,18,17
4,4.57,1.81,3.17,5.96,0,1,0,0,54.16,18,17
4,5.66,2.7,3.95,7.42,0,1,0,0,51.12,18,17
5,6.71,3.64,4.72,8.88,0,1,0,0,47.53,18,17
6,7.72,4.57,5.48,10.32,0,1,0,0,43.51,18,17
7,8.65,5.42,6.23,11.73,0,1,0,0,39.23,18,17
8,9.51,6.19,6.96,13.12,0,1,0,0,34.91,18,17
9,10.3,6.91,7.69,14.47,0,1,0,0,30.8,18,17
10,11.01,7.61,8.39,15.76,0,1,0,0,27.17,18,17
11,11.67,8.28,9.09,16.98,0,1,0,0,24.22,18,17
12,12.27,8.84,9.76,18.08,0,1,0,0,22.02,18,17
13,12.82,9.24,10.42,19.0,60,2,0,0,20.56,18,17
14,13.34,9.42,11.04,19.92,0,2,0,0,19.76,18,17
15,13.82,9.4,11.26,20.74,0,2,0,0,19.48,18,17
16,14.27,9.19,11.57,21.45,0,2,0,0,19.47,18,17
17,14.7,8.79,11.93,22.21,0,2,0,0,19.47,18,17
19,15.11,8.24,12.34,22.91,0,2,0,0,19.47,18,17
20,15.51,7.55,12.79,23.54,60,3,0,0,19.47,18,17
21,15.89,6.77,13.26,24.08,0,3,0,0,19.47,18,17
22,16.25,5.94,13.75,24.5,0,3,0,0,19.47,18,17
23,16.61,5.09,14.23,24.77,60,4,0,0,19.47,18,17
24,16.95,4.28,14.72,24.87,0,4,0,0,19.47,18,17
25,17.29,3.52,15.17,24.78,0,4,0,0,19.47,18,17
26,17.61,2.85,15.57,24.49,0,4,0,0,19.47,18,17
27,17.92,2.28,15.99,24.03,0,4,0,0,19.47,18,17
28,18.22,1.82,16.43,23.42,60,5,0,0,19.47,18,17
29,18.52,1.48,16.86,22.72,0,5,0,0,19.47,18,17
30,18.8,1.25,17.29,21.99,0,5,0,0,19.47,18,17
31,19.07,1.11,17.56,21.35,0,5,0,0,19.47,18,17
32,19.34,1.04,17.73,21.71,0,5,0,0,19.47,18,17
33,19.59,1.02,17.95,22.06,60,6,0,0,19.47,18,17
34,19.83,1.03,18.21,22.39,0,6,0,0,19.47,18,17
35,20.05,1.04,18.38,22.68,0,6,0,0,19.47,18,17
36,20.26,1.05,18.49,22.94,0,6,0,0,19.47,18,17
37,20.46,1.06,18.66,23.17,60,7,0,0,19.47,18,17
38,20.64,1.06,18.86,23.38,0,7,0,0,19.47,18,17
39,20.81,1.05,18.96,23.56,0,7,0,0,19.47,18,17
40,20.97,1.03,19.05,23.72,60,8,0,0,19.47,18,17
41,21.11,1.0,19.19,23.86,0,8,0,0,19.47,18,17
42,21.25,0.97,19.36,23.98,60,9,0,0,19.47,18,17
43,21.36,0.95,19.55,24.08,0,9,0,0,19.47,18,17
44,21.47,0.92,19.76,24.17,0,9,0,0,19.47,18,17
45,21.57,0.89,19.96,24.25,0,9,0,0,19.47,18,17
46,21.65,0.87,20.17,24.32,60,10,0,0,19.47,18,17
47,21.73,0.84,20.36,24.38,0,10,0,0,19.47,18,17
48,21.8,0.83,20.55,24.43,60,11,0,0,19.47,18,17
49,21.86,0.81,20.71,24.47,0,11,0,0,19.47,18,17
50,21.91,0.79,20.87,24.5,60,12,0,0,19.47,18,17
51,21.96,0.78,20.97,24.53,0,12,0,0,19.47,18,17
52,22.0,0.76,21.01,24.55,60,13,0,0,19.47,18,17
53,22.03,0.75,21.05,24.57,0,13,0,0,19.47,18,17
54,22.06,0.74,21.09,24.59,60,14,0,0,19.47,18,17
55,22.09,0.73,21.13,24.59,0,14,0,0,19.47,18,17
56,22.11,0.72,21.16,24.6,60,15,0,0,19.47,18,17
57,22.13,0.7,21.2,24.6,0,15,0,0,19.47,18,17
58,22.15,0.69,21.23,24.59,0,15,0,0,19.47,18,17
59,22.16,0.68,21.25,24.59,60,16,0,0,19.47,18,17
60,22.18,0.67,21.28,24.58,0,16,0,0,19.47,18,17
61,22.0,1.02,17.94,24.56,0,16,0,10,19.47,18,17
62,21.79,3.34,11.94,24.54,0,16,0,20,19.47,18,17
63,21.56,7.81,5.94,24.52,0,16,0,30,19.47,18,17
64,21.33,14.37,0.0,24.5,0,16,0,40,19.47,18,17
65,21.26,14.86,0.0,24.47,0,16,0,50,17.7,18,17
66,21.18,15.58,0.0,24.44,60,17,0,60,3.1,18,17
67,21.08,16.54,0.0,24.4,0,17,10,70,-9.5,18,17
68,21.03,16.62,0.0,24.37,0,17,12,80,-11.78,18,17
69,21.03,15.36,0.8,24.33,0,17,12,80,-11.78,18,17
70,21.02,14.2,1.6,24.29,60,18,12,80,-11.78,18,17
71,21.02,13.12,2.4,24.24,0,18,12,80,-11.78,18,17
72,21.02,12.11,3.2,24.19,0,18,12,80,-11.78,18,17
73,21.03,11.17,4.0,24.15,0,18,12,80,-11.78,18,17
74,21.04,10.28,4.8,24.09,0,18,12,80,-11.78,18,17
75,21.05,9.43,5.6,24.04,0,18,12,80,-11.78,18,17
75,21.07,8.62,6.39,23.99,60,19,12,80,-11.78,18,17
76,21.1,7.85,7.19,23.93,0,19,12,80,-11.78,18,17
77,21.12,7.11,7.98,23.87,0,19,12,80,-11.78,18,17
78,21.15,6.41,8.77,23.81,60,20,12,80,-11.78,18,17
79,21.19,5.74,9.56,23.76,0,20,12,80,-11.78,18,17
80,21.22,5.11,10.34,23.69,0,20,12,80,-11.78,18,17
81,21.26,4.53,11.11,23.63,60,21,12,80,-11.78,18,17
82,21.3,3.98,11.88,23.57,0,21,12,80,-11.78,18,17
83,21.33,3.49,12.63,23.51,0,21,12,80,-11.78,18,17
84,21.37,3.04,13.37,23.45,60,22,12,80,-11.78,18,17
85,21.41,2.64,14.1,23.39,0,22,12,80,-11.78,18,17
86,21.44,2.29,14.81,23.33,0,22,12,80,-11.78,18,17
87,21.48,1.98,15.5,23.27,60,23,12,80,-11.78,18,17
88,21.51,1.72,16.17,23.21,0,23,12,80,-11.78,18,17
89,21.54,1.5,16.82,23.44,60,24,12,80,-11.78,18,17
90,21.57,1.32,17.44,23.67,0,24,12,80,-11.78,18,17
91,21.6,1.17,18.04,23.88,0,24,12,80,-11.78,18,17
92,21.62,1.05,18.61,24.07,0,24,12,80,-11.78,18,17
93,21.65,0.97,19.15,24.24,0,24,12,80,-11.78,18,17
94,21.67,0.91,19.65,24.4,0,24,12,80,-11.78,18,17
95,21.69,0.87,19.95,24.54,60,25,12,80,-11.78,18,17
96,21.71,0.84,19.99,24.66,0,25,12,80,-11.78,18,17
97,21.72,0.84,20.03,24.78,0,25,12,80,-11.78,18,17
98,21.74,0.84,20.07,24.88,0,25,12,80,-11.78,18,17
99,21.75,0.86,20.12,24.96,60,26,12,80,-11.78,18,17
100,21.76,0.87,20.12,25.0,0,26,12,80,-11.78,18,17
101,21.77,0.89,20.13,25.0,60,27,12,80,-11.78,18,17
102,21.78,0.9,20.14,25.0,0,27,12,80,-11.78,18,17
103,21.78,0.93,20.16,25.0,60,28,12,80,-11.78,18,17
104,21.79,0.95,20.19,25.0,0,28,12,80,-11.78,18,17
105,21.8,0.97,20.23,25.0,60,29,12,80,-11.78,18,17
106,21.8,1.0,20.27,25.0,0,29,12,80,-11.78,18,17
107,21.81,1.02,20.32,25.0,0,29,12,80,-11.78,18,17
108,21.82,1.04,20.33,25.0,60,30,12,80,-11.78,18,17
109,21.82,1.06,20.33,25.0,0,30,12,80,-11.78,18,17
110,21.83,1.07,20.32,25.0,60,31,12,80,-11.78,18,17
111,21.84,1.08,20.32,25.0,0,31,12,80,-11.78,18,17
112,21.84,1.09,20.33,25.0,60,32,12,80,-11.78,18,17
113,21.85,1.1,20.34,25.0,0,32,12,80,-11.78,18,17
114,21.86,1.1,20.34,25.0,0,32,12,80,-11.78,18,17
115,21.87,1.1,20.34,25.0,60,33,12,80,-11.78,18,17
116,21.87,1.1,20.34,25.0,0,33,12,80,-11.78,18,17
117,21.88,1.09,20.34,25.0,60,34,12,80,-11.78,18,17
118,21.89,1.08,20.34,25.0,0,34,12,80,-11.78,18,17
119,21.9,1.07,20.35,25.0,60,35,12,80,-11.78,18,17
120,21.91,1.06,20.35,25.0,0,35,12,80,-11.78,18,17
121,21.92,1.05,20.35,25.0,0,35,12,80,-11.78,18,17
122,21.93,1.03,20.36,25.0,0,35,12,80,-11.78,18,17
123,21.94,1.02,20.37,25.0,0,35,12,80,-11.78,18,17
