segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,37,1,19,19,0.36,0.36,0.36,0.0,1,1,60,0,0,38,0,54.14,60.95,0,0,0.36,0.36,0.36
2,ESTABILIZANDO,37,1,19,19,0.72,0.72,0.72,0.0,0,1,0,0,0,38,0,54.14,60.95,0,0,0.36,0.36,0.36
3,ESTABILIZANDO,37,1,19,19,1.08,1.08,1.08,0.0,0,1,0,0,0,0,0,54.14,60.95,0,0,0.36,0.36,0.36
4,ESTABILIZANDO,37,1,19,19,1.44,1.44,1.44,0.0,0,1,0,0,0,0,0,54.14,60.95,0,0,0.36,0.36,0.36
5,ESTABILIZANDO,37,1,19,19,1.8,1.8,1.8,0.0,0,1,0,0,0,0,0,54.14,60.95,0,0,0.36,0.36,0.36
6,ESTABILIZANDO,37,1,19,19,2.16,2.16,2.16,0.0,0,1,0,0,0,0,0,54.14,60.95,0,0,0.36,0.36,0.36
7,ESTABILIZANDO,37,1,19,19,2.52,2.52,2.52,0.0,0,1,0,0,0,0,0,54.14,60.95,0,0,0.36,0.36,0.36
8,FRENANDO,37,1,19,19,3.592,0.0,3.699,0.349,0,1,0,0,1,1,37,54.14,60.95,0,10,0.817,1.176,-12.0
9,FRENANDO,37,1,19,19,4.717,0.0,4.871,0.602,0,1,0,0,1,1,37,53.89,60.95,0,20,0.802,1.169,-12.0
10,FRENANDO,37,1,19,19,5.824,0.0,6.035,0.921,0,1,0,0,1,1,37,48.64,60.95,0,30,0.782,1.16,-12.0
11,FRENANDO,37,1,19,19,6.909,0.0,7.189,1.309,0,1,0,0,1,1,37,42.56,60.95,0,40,0.758,1.149,-12.0
12,FRENANDO,37,1,19,19,7.966,0.0,8.332,1.78,0,1,0,0,1,1,36,35.93,60.95,0,50,0.727,1.137,-12.0
13,RECUPERANDO,37,1,19,19,9.023,1.196,9.462,1.836,0,1,0,0,0,0,37,29.78,60.95,0,50,1.043,1.197,-0.08
14,RECUPERANDO,37,1,19,19,10.048,2.393,10.575,1.977,0,1,0,0,0,0,37,24.91,60.95,0,50,1.01,1.197,-0.241
15,RECUPERANDO,37,1,19,19,11.04,3.591,11.67,2.204,0,1,0,0,0,0,37,21.47,60.95,0,50,0.977,1.197,-0.246
16,RECUPERANDO,37,1,19,19,11.997,4.788,12.743,2.487,0,1,0,0,0,0,36,19.46,60.95,0,50,0.941,1.197,-0.113
17,RECUPERANDO,37,1,19,19,12.917,5.984,13.79,2.788,1,2,60,0,0,0,36,18.73,60.95,0,50,0.902,1.195,0.048
18,RECUPERANDO,37,1,19,19,13.796,6.402,14.809,3.093,0,2,0,0,0,0,36,19.08,60.95,0,50,0.861,1.193,-0.242
19,RECUPERANDO,37,1,19,19,14.633,6.821,15.796,3.41,0,2,0,0,0,0,36,20.3,60.95,0,50,0.817,1.188,-0.407
20,RECUPERANDO,37,1,19,19,15.424,7.41,16.745,3.744,0,2,0,0,0,0,36,22.19,60.95,0,50,0.771,1.18,-0.414
21,RECUPERANDO,37,1,19,19,16.17,8.129,17.654,4.079,1,3,60,0,0,0,36,21.64,60.95,0,50,0.724,1.168,-0.289
22,RECUPERANDO,37,1,19,19,16.868,8.942,18.518,4.391,0,3,0,0,0,0,35,19.77,60.95,0,50,0.677,1.151,-0.253
23,RECUPERANDO,37,1,19,19,17.518,9.822,19.333,4.658,0,3,0,0,0,0,35,18.82,60.95,0,50,0.628,1.129,-0.334
24,RECUPERANDO,37,1,19,19,18.119,10.662,20.095,4.87,0,3,0,0,0,0,34,18.62,60.95,0,50,0.579,1.101,-0.322
25,RECUPERANDO,37,1,19,19,18.672,11.102,20.801,5.032,1,4,60,0,0,0,29,18.99,60.95,0,50,0.531,1.066,-0.423
26,RECUPERANDO,37,1,19,19,19.177,11.69,21.448,5.152,0,4,0,0,0,0,22,19.81,60.95,0,50,0.484,1.024,-0.524
27,RECUPERANDO,37,1,19,19,19.637,12.387,22.034,5.232,0,4,0,0,0,0,11,20.93,60.95,0,50,0.44,0.975,-0.521
28,RECUPERANDO,37,1,19,19,20.053,13.099,22.558,5.269,1,5,60,0,0,0,5,22.28,60.95,0,50,0.397,0.948,-0.435
29,RECUPERANDO,37,1,19,19,20.428,13.351,23.018,5.261,0,5,0,0,0,0,3,23.78,60.95,0,50,0.358,0.924,-0.339
30,RECUPERANDO,37,1,19,19,20.765,13.721,23.416,5.209,0,5,0,0,0,0,3,25.08,60.95,0,50,0.321,0.892,-0.375
31,RECUPERANDO,37,1,19,19,21.067,14.187,23.754,5.118,0,5,0,0,0,0,4,24.19,60.95,0,50,0.287,0.854,-0.42
32,RECUPERANDO,37,1,19,19,21.336,14.726,24.032,4.997,1,6,60,0,0,0,4,23.77,60.95,0,50,0.256,0.843,-0.481
33,RECUPERANDO,37,1,19,19,21.576,15.196,24.256,4.852,0,6,0,0,0,0,4,23.74,60.95,0,50,0.227,0.82,-0.484
34,RECUPERANDO,37,1,19,19,21.789,15.544,24.428,4.689,1,7,60,0,0,0,4,24.02,60.95,0,50,0.202,0.788,-0.438
35,RECUPERANDO,37,1,19,19,21.978,15.977,24.554,4.513,0,7,0,0,0,0,3,24.54,60.95,0,50,0.179,0.747,-0.357
36,RECUPERANDO,37,1,19,19,22.146,16.472,24.668,4.328,0,7,0,0,0,0,4,25.24,60.95,0,50,0.159,0.699,-0.333
37,RECUPERANDO,37,1,19,19,22.295,16.707,24.762,4.137,1,8,60,0,0,0,4,26.07,60.95,0,50,0.14,0.647,-0.356
38,RECUPERANDO,37,1,19,19,22.426,16.928,24.828,3.946,0,8,0,0,0,0,3,26.67,60.95,0,50,0.124,0.613,-0.386
39,RECUPERANDO,37,1,19,19,22.542,17.213,24.874,3.757,1,9,60,0,0,0,3,26.29,60.95,0,50,0.11,0.585,-0.388
40,RECUPERANDO,37,1,19,19,22.646,17.549,24.959,3.573,0,9,0,0,0,0,2,26.16,60.95,0,50,0.098,0.561,-0.363
41,RECUPERANDO,37,1,19,19,22.737,17.762,25.027,3.396,0,9,0,0,0,0,2,26.24,60.95,0,50,0.087,0.543,-0.318
42,RECUPERANDO,37,1,19,19,22.818,18.008,25.078,3.226,0,9,0,0,0,0,1,26.48,60.95,0,50,0.077,0.517,-0.261
43,RECUPERANDO,37,1,19,19,22.89,18.301,25.114,3.064,1,10,60,0,0,0,0,26.86,60.95,0,50,0.069,0.486,-0.269
44,RECUPERANDO,37,1,19,19,22.955,18.629,25.177,2.912,0,10,0,0,0,0,0,27.33,60.95,0,50,0.061,0.451,-0.286
45,RECUPERANDO,37,1,19,19,23.013,18.774,25.266,2.767,1,11,60,0,0,0,0,27.87,60.95,0,50,0.055,0.414,-0.288
46,RECUPERANDO,37,1,19,19,23.064,18.916,25.338,2.632,0,11,0,0,0,0,0,28.03,60.95,0,50,0.049,0.386,-0.278
47,RECUPERANDO,37,1,19,19,23.111,19.095,25.397,2.504,0,11,0,0,0,0,0,27.89,60.95,0,50,0.045,0.367,-0.257
48,RECUPERANDO,37,1,19,19,23.153,19.254,25.444,2.383,1,12,60,0,0,0,0,27.89,60.95,0,50,0.04,0.353,-0.226
49,RECUPERANDO,37,1,19,19,23.191,19.383,25.481,2.27,0,12,0,0,0,0,0,27.99,60.95,0,50,0.037,0.34,-0.194
50,RECUPERANDO,37,1,19,19,23.226,19.546,25.509,2.162,0,12,0,0,0,0,0,28.19,60.95,0,50,0.033,0.323,-0.191
51,RECUPERANDO,37,1,19,19,23.258,19.734,25.531,2.06,0,12,0,0,0,0,0,28.45,60.95,0,50,0.03,0.303,-0.182
52,RECUPERANDO,37,1,19,19,23.286,19.939,25.547,1.963,1,13,60,0,0,0,0,28.77,60.95,0,50,0.028,0.281,-0.168
53,RECUPERANDO,37,1,19,19,23.313,20.082,25.558,1.872,0,13,0,0,0,0,0,29.12,60.95,0,50,0.025,0.259,-0.149
54,RECUPERANDO,37,1,19,19,23.336,20.163,25.565,1.785,0,13,0,0,0,0,0,29.35,60.95,0,50,0.023,0.237,-0.131
55,RECUPERANDO,37,1,19,19,23.358,20.266,25.568,1.704,1,14,60,0,0,0,0,29.29,60.95,0,50,0.021,0.226,-0.128
56,RECUPERANDO,37,1,19,19,23.377,20.347,25.568,1.628,0,14,0,0,0,0,0,29.29,60.95,0,50,0.019,0.218,-0.121
57,RECUPERANDO,37,1,19,19,23.395,20.422,25.566,1.558,1,15,60,0,0,0,0,29.37,60.95,0,50,0.017,0.21,-0.112
58,RECUPERANDO,37,1,19,19,23.411,20.517,25.562,1.493,0,15,0,0,0,0,0,29.49,60.95,0,50,0.015,0.201,-0.101
59,RECUPERANDO,37,1,19,19,23.425,20.627,25.555,1.434,0,15,0,0,0,0,0,29.65,60.95,0,50,0.014,0.19,-0.089
60,RECUPERANDO,37,1,19,19,23.438,20.748,25.547,1.38,0,15,0,0,0,0,0,29.84,60.95,0,50,0.012,0.179,-0.09
61,RECUPERANDO,37,1,19,19,23.45,20.876,25.538,1.332,1,16,60,0,0,0,0,30.06,60.95,0,50,0.011,0.167,-0.09
62,RECUPERANDO,37,1,19,19,23.46,20.979,25.527,1.288,1,17,60,0,0,0,0,30.3,60.95,0,50,0.01,0.156,-0.088
63,RECUPERANDO,37,1,19,19,23.469,21.029,25.516,1.249,0,17,0,0,0,0,0,30.54,60.95,0,50,0.009,0.144,-0.084
64,RECUPERANDO,37,1,19,19,23.478,21.09,25.503,1.215,1,18,60,0,0,0,0,30.79,60.95,0,50,0.008,0.135,-0.079
65,RECUPERANDO,37,1,19,19,23.485,21.159,25.49,1.184,0,18,0,0,0,0,0,31.04,60.95,0,50,0.007,0.131,-0.073
66,RECUPERANDO,37,1,19,19,23.492,21.236,25.476,1.157,0,18,0,0,0,0,0,31.29,60.95,0,50,0.006,0.127,-0.066
67,RECUPERANDO,37,1,19,19,23.498,21.317,25.461,1.133,0,18,0,0,0,0,0,31.54,60.95,0,50,0.006,0.123,-0.068
68,RECUPERANDO,37,1,19,19,23.503,21.368,25.446,1.112,1,19,60,0,0,0,0,31.74,60.95,0,50,0.005,0.117,-0.069
69,RECUPERANDO,37,1,19,19,23.508,21.401,25.43,1.093,0,19,0,0,0,0,0,31.62,60.95,0,50,0.005,0.112,-0.07
70,RECUPERANDO,37,1,19,19,23.512,21.44,25.413,1.076,0,19,0,0,0,0,0,31.51,60.95,0,50,0.004,0.106,-0.069
71,RECUPERANDO,37,1,19,19,23.516,21.486,25.396,1.061,1,20,60,0,0,0,0,31.43,60.95,0,50,0.004,0.101,-0.068
72,RECUPERANDO,37,1,19,19,23.52,21.536,25.379,1.047,0,20,0,0,0,0,0,31.38,60.95,0,50,0.004,0.095,-0.066
