segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,car_mean_velocity,car_velocity_variance,truck_mean_velocity,truck_velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,max_gap,avg_gap,std_gap,median_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,23,7,30,0,0.668,0.4,0.75,0.022,0.75,0.0,0.4,0.0,1,1,60,0,0,30,23,71.58,78.97,77.14,3.04,78.78,0,0,0.668,0.75,0.4
2,ESTABILIZANDO,23,7,30,0,1.337,0.8,1.5,0.088,1.5,0.0,0.8,0.0,0,1,0,0,0,7,23,71.04,79.51,77.14,3.27,78.78,0,0,0.668,0.75,0.4
3,ESTABILIZANDO,23,7,30,0,2.005,1.2,2.25,0.197,2.25,0.0,1.2,0.0,0,1,0,0,0,0,23,70.15,80.4,77.14,3.67,78.78,0,0,0.668,0.75,0.4
4,ESTABILIZANDO,23,7,30,0,2.673,1.6,3.0,0.351,3.0,0.0,1.6,0.0,0,1,0,0,0,0,23,68.91,81.65,77.14,4.27,78.78,0,0,0.668,0.75,0.4
5,ESTABILIZANDO,23,7,30,0,3.342,2.0,3.75,0.548,3.75,0.0,2.0,0.0,0,1,0,0,0,0,23,67.31,83.24,77.14,5.08,78.78,0,0,0.668,0.75,0.4
6,ESTABILIZANDO,23,7,30,0,4.01,2.4,4.5,0.789,4.5,0.0,2.4,0.0,0,1,0,0,0,0,23,65.37,85.18,77.14,6.11,78.78,0,0,0.668,0.75,0.4
7,ESTABILIZANDO,23,7,30,0,4.678,2.8,5.25,1.074,5.25,0.0,2.8,0.0,0,1,0,0,0,0,23,63.08,87.47,77.14,7.37,78.78,0,0,0.668,0.75,0.4
8,ESTABILIZANDO,23,7,30,0,5.347,3.2,6.0,1.402,6.0,0.0,3.2,0.0,0,1,0,0,0,0,23,60.44,90.12,77.14,8.84,78.78,0,0,0.668,0.75,0.4
9,ESTABILIZANDO,23,7,30,0,6.015,3.6,6.75,1.775,6.75,0.0,3.6,0.0,0,1,0,0,0,0,23,57.44,93.11,77.14,10.52,78.78,0,0,0.668,0.75,0.4
10,ESTABILIZANDO,23,7,30,0,6.683,4.0,7.5,2.191,7.5,0.0,4.0,0.0,0,1,0,0,0,0,23,54.1,96.45,77.14,12.42,78.78,0,0,0.668,0.75,0.4
11,FRENANDO,23,7,30,0,7.632,0.0,8.928,4.973,8.496,3.288,4.793,0.0,0,1,0,0,1,1,29,50.36,100.3,77.14,14.3,78.78,0,10,0.911,1.418,-8.0
12,FRENANDO,23,7,30,0,8.783,0.0,10.331,6.471,9.756,4.381,5.585,0.0,0,1,0,0,1,1,29,46.29,104.76,77.14,16.46,78.77,0,20,0.86,1.39,-8.0
13,RECUPERANDO,23,7,30,0,9.879,0.149,11.703,7.967,10.945,5.517,6.374,0.001,0,1,0,0,0,1,29,42.06,109.82,77.14,19.06,78.77,0,29,1.109,1.494,0.452
14,RECUPERANDO,23,7,30,0,10.948,1.644,13.038,8.665,12.1,5.609,7.161,0.002,0,1,0,0,0,0,25,37.92,115.43,77.14,21.94,78.74,0,29,1.035,1.495,0.081
15,RECUPERANDO,23,7,30,0,11.939,3.138,14.33,9.493,13.155,6.047,7.944,0.003,1,2,60,0,0,0,25,34.08,121.56,77.14,24.91,78.66,0,29,0.955,1.493,-0.242
16,RECUPERANDO,23,7,30,0,12.851,4.63,15.571,10.522,14.108,6.956,8.722,0.005,0,2,0,0,0,0,25,29.53,128.17,77.14,27.85,78.75,0,29,0.878,1.49,-0.415
17,RECUPERANDO,23,7,30,0,13.689,6.118,16.754,11.726,14.966,8.309,9.495,0.008,0,2,0,0,0,0,25,24.91,135.19,77.14,30.7,78.72,0,29,0.807,1.484,-0.379
18,RECUPERANDO,23,7,30,0,14.46,7.597,17.873,12.961,15.738,9.904,10.261,0.012,0,2,0,0,0,0,21,22.12,142.59,77.14,33.47,78.63,0,29,0.741,1.474,-0.167
19,RECUPERANDO,23,7,30,0,15.167,9.063,18.922,14.049,16.43,11.486,11.018,0.017,0,2,0,0,0,0,21,20.93,150.28,77.14,36.15,78.43,0,29,0.68,1.458,-0.172
20,RECUPERANDO,23,7,30,0,15.814,9.906,19.897,14.877,17.046,12.89,11.765,0.024,1,3,60,0,0,0,21,21.04,158.22,77.14,38.74,78.06,0,29,0.621,1.434,-0.399
21,RECUPERANDO,23,7,30,0,16.403,10.467,20.795,15.419,17.591,14.054,12.5,0.031,0,3,0,0,0,0,19,22.14,166.34,77.14,41.24,77.39,0,29,0.565,1.399,-0.472
22,RECUPERANDO,23,7,30,0,16.94,11.232,21.614,15.694,18.072,14.968,13.221,0.04,0,3,0,0,0,0,19,23.95,174.56,77.14,43.61,76.3,0,29,0.514,1.352,-0.401
23,RECUPERANDO,23,7,30,0,17.429,12.138,22.354,15.725,18.495,15.625,13.926,0.051,0,3,0,0,0,0,18,25.47,182.82,77.14,45.85,74.97,0,29,0.469,1.292,-0.35
24,RECUPERANDO,23,7,30,0,17.876,13.134,23.017,15.533,18.869,16.018,14.614,0.062,1,4,60,0,0,0,19,26.36,191.06,77.14,47.93,74.8,0,29,0.43,1.216,-0.427
25,RECUPERANDO,23,7,30,0,18.287,13.783,23.605,15.148,19.202,16.15,15.281,0.075,0,4,0,0,0,0,19,27.38,199.22,77.14,49.84,75.3,0,29,0.396,1.126,-0.486
26,RECUPERANDO,23,7,30,0,18.667,14.328,24.124,14.603,19.501,16.039,15.927,0.088,0,4,0,0,0,0,13,28.49,207.25,77.14,51.59,75.42,0,29,0.368,1.058,-0.487
27,RECUPERANDO,23,7,30,0,19.022,14.888,24.578,13.932,19.774,15.711,16.548,0.102,0,4,0,0,0,0,14,29.64,215.1,77.14,53.17,74.48,0,29,0.344,1.036,-0.513
28,RECUPERANDO,23,7,30,0,19.354,15.453,24.973,13.165,20.026,15.197,17.143,0.116,1,5,60,0,0,0,14,30.72,222.74,77.14,54.6,72.5,0,29,0.323,0.994,-0.477
29,RECUPERANDO,23,7,30,0,19.666,15.777,25.313,12.33,20.26,14.526,17.711,0.129,0,5,0,0,0,0,14,30.8,230.13,77.14,55.9,70.08,0,29,0.304,0.933,-0.463
30,RECUPERANDO,23,7,30,0,19.96,16.06,25.606,11.447,20.48,13.728,18.25,0.141,0,5,0,0,0,0,14,31.19,237.25,77.14,57.07,67.27,0,29,0.286,0.858,-0.533
31,RECUPERANDO,23,7,30,0,20.236,16.402,25.855,10.538,20.686,12.834,18.759,0.152,1,6,60,0,0,0,8,31.8,244.09,77.14,58.14,64.19,0,29,0.269,0.773,-0.551
32,RECUPERANDO,23,7,30,0,20.497,16.784,26.066,9.622,20.88,11.873,19.238,0.161,0,6,0,0,0,0,5,32.56,250.63,77.14,59.13,60.98,0,29,0.253,0.731,-0.523
33,RECUPERANDO,23,7,30,0,20.741,17.193,26.243,8.716,21.062,10.876,19.687,0.17,0,6,0,0,0,0,2,33.42,256.86,77.14,60.05,57.77,0,29,0.237,0.696,-0.462
34,RECUPERANDO,23,7,30,0,20.97,17.604,26.39,7.837,21.233,9.872,20.106,0.177,1,7,60,0,0,0,1,34.15,262.8,77.14,60.91,54.72,0,29,0.222,0.647,-0.51
35,RECUPERANDO,23,7,30,0,21.183,17.771,26.51,7.0,21.393,8.887,20.495,0.183,0,7,0,0,0,0,1,34.31,268.44,77.14,61.71,52.26,0,29,0.207,0.588,-0.523
36,RECUPERANDO,23,7,30,0,21.382,17.997,26.604,6.216,21.542,7.94,20.856,0.188,0,7,0,0,0,0,1,34.68,273.78,77.14,62.46,51.1,0,29,0.192,0.523,-0.504
37,RECUPERANDO,23,7,30,0,21.567,18.265,26.676,5.492,21.682,7.048,21.188,0.193,1,8,60,0,0,0,0,35.21,278.83,77.14,63.16,50.07,0,29,0.179,0.483,-0.459
38,RECUPERANDO,23,7,30,0,21.738,18.561,26.725,4.834,21.812,6.222,21.495,0.197,0,8,0,0,0,0,0,35.85,283.6,77.14,63.81,50.72,0,29,0.166,0.455,-0.452
39,RECUPERANDO,23,7,30,0,21.897,18.872,26.753,4.244,21.934,5.469,21.776,0.201,0,8,0,0,0,0,0,36.56,288.09,77.14,64.39,51.27,0,29,0.153,0.42,-0.465
40,RECUPERANDO,23,7,30,0,22.044,19.051,26.76,3.722,22.048,4.793,22.033,0.204,1,9,60,0,0,0,0,36.93,292.32,77.14,64.92,51.63,0,29,0.142,0.38,-0.457
41,RECUPERANDO,23,7,30,0,22.181,19.204,26.747,3.266,22.155,4.194,22.267,0.207,0,9,0,0,0,0,0,37.16,296.28,77.14,65.38,50.71,0,29,0.132,0.338,-0.429
42,RECUPERANDO,23,7,30,0,22.308,19.393,26.713,2.872,22.256,3.671,22.48,0.209,0,9,0,0,0,0,0,37.53,299.97,77.14,65.78,49.65,0,29,0.123,0.321,-0.385
43,RECUPERANDO,23,7,30,0,22.426,19.607,26.659,2.535,22.351,3.219,22.674,0.21,1,10,60,0,0,0,0,38.01,303.41,77.14,66.09,49.02,0,29,0.115,0.308,-0.398
44,RECUPERANDO,23,7,30,0,22.537,19.836,26.586,2.25,22.442,2.832,22.848,0.209,0,10,0,0,0,0,0,38.54,306.6,77.14,66.34,48.98,0,29,0.107,0.292,-0.398
45,RECUPERANDO,23,7,30,0,22.64,20.035,26.495,2.009,22.529,2.504,23.006,0.208,0,10,0,0,0,0,0,39.12,309.53,77.14,66.51,49.0,0,29,0.101,0.275,-0.385
46,RECUPERANDO,23,7,30,0,22.738,20.134,26.387,1.806,22.613,2.227,23.148,0.206,0,10,0,0,0,0,0,39.35,312.2,77.14,66.61,49.08,0,29,0.095,0.257,-0.36
47,RECUPERANDO,23,7,30,0,22.829,20.262,26.264,1.635,22.694,1.992,23.275,0.203,0,10,0,0,0,0,0,39.58,314.62,77.14,66.64,49.19,0,29,0.089,0.239,-0.324
48,RECUPERANDO,23,7,30,0,22.916,20.412,26.129,1.489,22.772,1.793,23.389,0.198,0,10,0,1,0,0,0,39.91,316.78,77.14,66.6,48.65,0,29,0.084,0.222,-0.282
49,RECUPERANDO,23,7,30,0,22.998,20.576,25.984,1.363,22.847,1.622,23.491,0.194,0,10,0,2,0,0,0,40.29,318.7,77.14,66.5,48.72,0,29,0.08,0.211,-0.237
50,RECUPERANDO,23,7,30,0,23.075,20.748,25.832,1.252,22.921,1.474,23.582,0.188,0,10,0,2,0,0,0,40.72,320.37,77.14,66.36,49.12,0,29,0.076,0.199,-0.189
51,RECUPERANDO,23,7,30,0,23.148,20.87,25.675,1.153,22.992,1.343,23.663,0.182,0,10,0,2,0,0,0,41.17,321.8,77.14,66.16,49.49,0,29,0.072,0.187,-0.157
52,RECUPERANDO,23,7,30,0,23.218,20.949,25.518,1.063,23.06,1.227,23.735,0.176,0,10,0,2,0,0,0,41.42,323.0,77.14,65.93,49.84,0,29,0.068,0.174,-0.157
53,RECUPERANDO,23,7,30,0,23.283,21.047,25.363,0.981,23.126,1.122,23.8,0.17,0,10,0,2,0,0,0,41.61,323.98,77.14,65.66,49.97,0,29,0.064,0.168,-0.154
54,RECUPERANDO,23,7,30,0,23.345,21.159,25.211,0.905,23.19,1.027,23.857,0.164,0,10,0,2,0,0,0,41.86,324.75,77.14,65.37,50.02,0,29,0.06,0.161,-0.149
55,RECUPERANDO,23,7,30,0,23.404,21.279,25.066,0.835,23.251,0.94,23.908,0.158,0,10,0,2,0,0,0,42.15,325.32,77.14,65.05,50.11,0,29,0.057,0.153,-0.141
56,RECUPERANDO,23,7,30,0,23.459,21.403,24.93,0.77,23.309,0.861,23.954,0.152,1,11,60,2,0,0,0,42.47,325.71,77.14,64.71,50.29,0,29,0.054,0.145,-0.133
57,RECUPERANDO,23,7,30,0,23.512,21.51,24.803,0.71,23.365,0.788,23.994,0.147,0,11,0,2,0,0,0,42.81,325.93,77.14,64.36,50.55,0,29,0.051,0.136,-0.123
58,RECUPERANDO,23,7,30,0,23.561,21.566,24.686,0.654,23.418,0.722,24.031,0.142,0,11,0,2,0,0,0,43.17,326.0,77.14,64.01,50.79,0,29,0.048,0.127,-0.112
59,RECUPERANDO,23,7,30,0,23.607,21.634,24.709,0.603,23.468,0.662,24.063,0.137,0,11,0,3,0,0,0,43.3,325.93,77.14,63.64,51.02,0,29,0.045,0.121,-0.101
60,RECUPERANDO,23,7,30,0,23.65,21.711,24.73,0.556,23.516,0.608,24.092,0.132,0,11,0,5,0,0,0,43.47,325.74,77.14,63.27,51.24,0,29,0.042,0.117,-0.089
61,RECUPERANDO,23,7,30,0,23.691,21.795,24.748,0.514,23.561,0.559,24.118,0.128,1,12,60,5,0,0,0,43.67,325.44,77.14,62.9,51.45,0,29,0.04,0.112,-0.078
62,RECUPERANDO,23,7,30,0,23.729,21.883,24.764,0.475,23.604,0.515,24.141,0.124,0,12,0,5,0,0,0,43.9,325.04,77.14,62.53,51.65,0,29,0.037,0.107,-0.068
