v_crucero,t_frenada,num_cars,t_reaccion,a_brake,t_dissolve,max_en_atasco
12.0,3.0,25,1.0,-6.0,24.7,1
12.0,3.0,25,1.0,-10.0,25.5,1
12.0,3.0,25,1.0,-14.0,25.8,1
12.0,3.0,25,1.5,-6.0,27.9,1
12.0,3.0,25,1.5,-10.0,28.7,1
12.0,3.0,25,1.5,-14.0,29.0,1
12.0,3.0,25,2.5,-6.0,36.6,1
12.0,3.0,25,2.5,-10.0,37.1,1
12.0,3.0,25,2.5,-14.0,40.1,1
12.0,3.0,38,1.0,-6.0,34.3,1
12.0,3.0,38,1.0,-10.0,35.8,1
12.0,3.0,38,1.0,-14.0,36.3,1
12.0,3.0,38,1.5,-6.0,55.2,1
12.0,3.0,38,1.5,-10.0,59.1,1
12.0,3.0,38,1.5,-14.0,60.3,2
12.0,3.0,38,2.5,-6.0,NaN,2
12.0,3.0,38,2.5,-10.0,NaN,2
12.0,3.0,38,2.5,-14.0,NaN,2
12.0,3.0,55,1.0,-6.0,95.8,2
12.0,3.0,55,1.0,-10.0,103.4,2
12.0,3.0,55,1.0,-14.0,108.8,2
12.0,3.0,55,1.5,-6.0,NaN,2
12.0,3.0,55,1.5,-10.0,NaN,2
12.0,3.0,55,1.5,-14.0,NaN,3
12.0,3.0,55,2.5,-6.0,NaN,3
12.0,3.0,55,2.5,-10.0,NaN,3
12.0,3.0,55,2.5,-14.0,NaN,3
12.0,6.0,25,1.0,-6.0,30.8,1
12.0,6.0,25,1.0,-10.0,30.8,1
12.0,6.0,25,1.0,-14.0,30.7,1
12.0,6.0,25,1.5,-6.0,33.6,1
12.0,6.0,25,1.5,-10.0,33.6,1
12.0,6.0,25,1.5,-14.0,35.5,1
12.0,6.0,25,2.5,-6.0,64.5,1
12.0,6.0,25,2.5,-10.0,65.5,2
12.0,6.0,25,2.5,-14.0,65.8,2
12.0,6.0,38,1.0,-6.0,50.7,2
12.0,6.0,38,1.0,-10.0,51.2,2
12.0,6.0,38,1.0,-14.0,51.2,2
12.0,6.0,38,1.5,-6.0,94.5,2
12.0,6.0,38,1.5,-10.0,98.4,2
12.0,6.0,38,1.5,-14.0,99.4,2
12.0,6.0,38,2.5,-6.0,NaN,2
12.0,6.0,38,2.5,-10.0,NaN,2
12.0,6.0,38,2.5,-14.0,NaN,2
12.0,6.0,55,1.0,-6.0,176.6,4
12.0,6.0,55,1.0,-10.0,188.7,4
12.0,6.0,55,1.0,-14.0,192.6,4
12.0,6.0,55,1.5,-6.0,NaN,4
12.0,6.0,55,1.5,-10.0,NaN,4
12.0,6.0,55,1.5,-14.0,NaN,4
12.0,6.0,55,2.5,-6.0,NaN,4
12.0,6.0,55,2.5,-10.0,NaN,4
12.0,6.0,55,2.5,-14.0,NaN,4
12.0,10.0,25,1.0,-6.0,42.2,2
12.0,10.0,25,1.0,-10.0,42.2,2
12.0,10.0,25,1.0,-14.0,42.2,2
12.0,10.0,25,1.5,-6.0,51.8,2
12.0,10.0,25,1.5,-10.0,51.6,2
12.0,10.0,25,1.5,-14.0,51.5,2
12.0,10.0,25,2.5,-6.0,114.5,2
12.0,10.0,25,2.5,-10.0,118.2,2
12.0,10.0,25,2.5,-14.0,119.4,2
12.0,10.0,38,1.0,-6.0,73.6,3
12.0,10.0,38,1.0,-10.0,73.7,3
12.0,10.0,38,1.0,-14.0,73.5,3
12.0,10.0,38,1.5,-6.0,154.1,3
12.0,10.0,38,1.5,-10.0,156.4,3
12.0,10.0,38,1.5,-14.0,163.6,3
12.0,10.0,38,2.5,-6.0,NaN,3
12.0,10.0,38,2.5,-10.0,NaN,3
12.0,10.0,38,2.5,-14.0,NaN,3
12.0,10.0,55,1.0,-6.0,278.1,5
12.0,10.0,55,1.0,-10.0,286.2,5
12.0,10.0,55,1.0,-14.0,289.5,5
12.0,10.0,55,1.5,-6.0,NaN,5
12.0,10.0,55,1.5,-10.0,NaN,5
12.0,10.0,55,1.5,-14.0,NaN,5
12.0,10.0,55,2.5,-6.0,NaN,5
12.0,10.0,55,2.5,-10.0,NaN,5
12.0,10.0,55,2.5,-14.0,NaN,5
20.0,3.0,25,1.0,-6.0,79.0,1
20.0,3.0,25,1.0,-10.0,109.4,2
20.0,3.0,25,1.0,-14.0,111.1,2
20.0,3.0,25,1.5,-6.0,272.2,1
20.0,3.0,25,1.5,-10.0,NaN,2
20.0,3.0,25,1.5,-14.0,NaN,2
20.0,3.0,25,2.5,-6.0,NaN,1
20.0,3.0,25,2.5,-10.0,NaN,2
20.0,3.0,25,2.5,-14.0,NaN,2
20.0,3.0,38,1.0,-6.0,NaN,2
20.0,3.0,38,1.0,-10.0,NaN,3
