nombre,truck_pct,aggressive_pct,t_dissolve,max_stopped,final_throughput,near_collisions,hard_brakes,jam_perpetuo
Exp_T00_A000,0.0,0.0,NaN,38,108,0,50,1
Exp_T00_A025,0.0,0.25,NaN,38,114,0,50,1
Exp_T00_A050,0.0,0.5,NaN,38,120,0,50,1
Exp_T00_A075,0.0,0.75,NaN,38,128,0,50,1
Exp_T00_A100,0.0,1.0,NaN,38,138,0,50,1
Exp_T05_A000,0.05,0.0,NaN,38,107,0,50,1
Exp_T05_A025,0.05,0.25,NaN,38,111,0,50,1
Exp_T05_A050,0.05,0.5,NaN,38,120,0,50,1
Exp_T05_A075,0.05,0.75,NaN,38,124,0,50,1
Exp_T05_A100,0.05,1.0,NaN,38,137,0,50,1
Exp_T10_A000,0.1,0.0,NaN,38,105,0,50,1
Exp_T10_A025,0.1,0.25,NaN,38,111,0,50,1
Exp_T10_A050,0.1,0.5,NaN,38,115,0,50,1
Exp_T10_A075,0.1,0.75,NaN,38,118,0,50,1
Exp_T10_A100,0.1,1.0,NaN,38,126,0,50,1
Exp_T25_A000,0.25,0.0,NaN,38,103,0,50,1
Exp_T25_A025,0.25,0.25,NaN,38,107,0,50,1
Exp_T25_A050,0.25,0.5,NaN,38,108,0,50,1
Exp_T25_A075,0.25,0.75,NaN,38,120,0,50,1
Exp_T25_A100,0.25,1.0,NaN,38,125,0,50,1
Exp_T50_A000,0.5,0.0,NaN,38,98,0,50,1
Exp_T50_A025,0.5,0.25,NaN,38,104,0,50,1
Exp_T50_A050,0.5,0.5,NaN,38,106,0,50,1
Exp_T50_A075,0.5,0.75,NaN,38,110,0,50,1
Exp_T50_A100,0.5,1.0,NaN,38,122,0,50,1
Exp_T75_A000,0.75,0.0,NaN,38,95,0,50,1
Exp_T75_A025,0.75,0.25,NaN,38,99,0,50,1
Exp_T75_A050,0.75,0.5,NaN,38,105,0,50,1
Exp_T75_A075,0.75,0.75,NaN,38,109,0,50,1
Exp_T75_A100,0.75,1.0,NaN,38,120,0,50,1
