segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,ESTABILIZANDO,21,6,27,0,1.14,0.75,1.25,0.5,1.25,0.75,0,0,6,27,80.81,86.53,88.36
2,ESTABILIZANDO,21,6,27,0,2.28,1.5,2.5,1.0,2.5,1.5,0,0,0,27,80.03,86.53,89.13
3,ESTABILIZANDO,21,6,27,0,3.42,2.25,3.75,1.5,3.75,2.25,0,0,0,27,78.76,86.53,90.41
4,ESTABILIZANDO,21,6,27,0,4.56,3.0,5.0,2.0,5.0,3.0,0,0,0,27,76.98,86.53,92.18
5,ESTABILIZANDO,21,6,27,0,5.69,3.75,6.25,2.5,6.25,3.75,0,0,0,27,74.71,86.53,94.46
6,ESTABILIZANDO,21,6,27,0,6.83,4.5,7.5,3.0,7.5,4.5,0,0,0,27,71.93,86.53,97.23
7,ESTABILIZANDO,21,6,27,0,7.97,5.25,8.75,3.5,8.75,5.25,0,0,0,27,68.66,86.53,100.51
8,ESTABILIZANDO,21,6,27,0,9.11,6.0,10.0,4.0,10.0,6.0,0,0,0,27,64.88,86.53,104.28
9,ESTABILIZANDO,21,6,27,0,10.25,6.75,11.25,4.5,11.25,6.75,0,0,0,27,60.61,86.53,108.56
10,ESTABILIZANDO,21,6,27,0,11.39,7.5,12.5,5.0,12.5,7.5,0,0,0,27,55.83,86.53,113.33
11,ESTABILIZANDO,21,6,27,0,12.53,8.25,13.75,5.5,13.75,8.25,0,0,0,27,50.56,86.53,118.61
12,ESTABILIZANDO,21,6,27,0,13.67,9.0,15.0,6.0,15.0,9.0,0,0,0,27,44.78,86.53,124.38
13,ESTABILIZANDO,21,6,27,0,14.81,9.75,16.25,6.5,16.25,9.75,0,0,0,27,38.51,86.53,130.66
14,ESTABILIZANDO,21,6,27,0,15.94,10.5,17.5,7.0,17.5,10.5,0,0,0,27,31.73,86.53,137.43
15,ESTABILIZANDO,21,6,27,0,17.08,11.25,18.75,7.5,18.75,11.25,0,0,0,27,24.46,86.53,144.71
16,ESTABILIZANDO,21,6,27,0,18.22,12.0,20.0,8.0,20.0,12.0,0,0,0,27,16.68,86.53,152.48
17,ESTABILIZANDO,21,6,27,0,19.36,12.75,21.25,8.5,21.25,12.75,0,0,0,27,8.41,86.53,160.76
18,ESTABILIZANDO,21,6,27,0,20.5,13.5,22.5,9.0,22.5,13.5,0,0,0,27,-0.37,86.53,169.53
19,ESTABILIZANDO,21,6,27,0,21.64,14.25,23.75,9.5,23.75,14.25,0,0,0,27,-9.64,86.53,178.81
20,ESTABILIZANDO,21,6,27,0,22.78,15.0,25.0,10.0,25.0,15.0,0,0,0,27,81.08,365.78,2493.86
21,ESTABILIZANDO,21,6,27,0,23.92,15.75,26.25,10.5,26.25,15.75,0,0,0,27,81.08,365.78,2483.58
22,ESTABILIZANDO,21,6,27,0,25.06,16.5,27.5,11.0,27.5,16.5,0,0,0,27,81.08,365.78,2472.81
23,ESTABILIZANDO,21,6,27,0,26.19,17.25,28.75,11.5,28.75,17.25,0,0,0,27,81.08,365.78,2461.53
24,ESTABILIZANDO,21,6,27,0,27.33,18.0,30.0,12.0,30.0,18.0,21,0,0,27,81.08,365.78,2449.76
25,ESTABILIZANDO,21,6,27,0,27.5,18.75,30.0,11.25,30.0,18.75,21,0,0,6,81.08,365.78,2438.17
26,ESTABILIZANDO,21,6,27,0,27.67,19.5,30.0,10.5,30.0,19.5,21,0,0,6,81.08,365.78,2427.33
27,ESTABILIZANDO,21,6,27,0,27.83,20.25,30.0,9.75,30.0,20.25,21,0,0,6,81.08,365.78,2417.25
28,ESTABILIZANDO,21,6,27,0,28.0,21.0,30.0,9.0,30.0,21.0,21,0,0,6,81.08,365.78,2407.91
29,ESTABILIZANDO,21,6,27,0,28.17,21.75,30.0,8.25,30.0,21.75,21,0,0,6,81.08,365.78,2399.32
30,ESTABILIZANDO,21,6,27,0,28.33,22.5,30.0,7.5,30.0,22.5,21,0,0,6,81.08,365.78,2391.48
31,ESTABILIZANDO,21,6,27,0,28.5,23.25,30.0,6.75,30.0,23.25,21,0,0,6,81.08,365.78,2384.4
32,ESTABILIZANDO,21,6,27,0,28.67,24.0,30.0,6.0,30.0,24.0,21,0,0,6,81.08,365.78,2378.06
33,ESTABILIZANDO,21,6,27,0,28.83,24.75,30.0,5.25,30.0,24.75,27,0,0,6,81.08,365.78,2372.47
34,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2367.44
35,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2362.44
36,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2357.44
37,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2352.44
