nombre,truck_pct,aggressive_pct,t_dissolve,max_stopped,jam_perpetuo
Het_T00_A000,0.0,0.0,15,1,0
Het_T00_A025,0.0,0.25,15,1,0
Het_T00_A050,0.0,0.5,15,1,0
Het_T00_A075,0.0,0.75,15,1,0
Het_T00_A100,0.0,1.0,15,1,0
Het_T05_A000,0.05,0.0,15,1,0
Het_T05_A025,0.05,0.25,15,1,0
Het_T05_A050,0.05,0.5,15,1,0
Het_T05_A075,0.05,0.75,15,1,0
Het_T05_A100,0.05,1.0,15,1,0
Het_T10_A000,0.1,0.0,15,1,0
Het_T10_A025,0.1,0.25,15,1,0
Het_T10_A050,0.1,0.5,15,1,0
Het_T10_A075,0.1,0.75,16,1,0
Het_T10_A100,0.1,1.0,15,1,0
Het_T25_A000,0.25,0.0,16,1,0
Het_T25_A025,0.25,0.25,15,1,0
Het_T25_A050,0.25,0.5,16,1,0
Het_T25_A075,0.25,0.75,15,1,0
Het_T25_A100,0.25,1.0,15,1,0
Het_T50_A000,0.5,0.0,16,1,0
Het_T50_A025,0.5,0.25,16,1,0
Het_T50_A050,0.5,0.5,15,1,0
Het_T50_A075,0.5,0.75,16,1,0
Het_T50_A100,0.5,1.0,15,1,0
Het_T75_A000,0.75,0.0,16,1,0
Het_T75_A025,0.75,0.25,15,1,0
Het_T75_A050,0.75,0.5,16,1,0
Het_T75_A075,0.75,0.75,15,1,0
Het_T75_A100,0.75,1.0,15,1,0
