segundo,estado,num_cars,max_speed,avg_velocity,min_velocity,max_velocity,v_diff,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,ESTABILIZANDO,30,25.0,1.25,1.25,1.25,0.0,0,0,0,30,78.78,78.78,78.78
2,ESTABILIZANDO,30,25.0,2.5,2.5,2.5,0.0,0,0,0,30,78.78,78.78,78.78
3,ESTABILIZANDO,30,25.0,3.75,3.75,3.75,0.0,0,0,0,30,78.78,78.78,78.78
4,ESTABILIZANDO,30,25.0,5.0,5.0,5.0,0.0,0,0,0,30,78.78,78.78,78.78
5,ESTABILIZANDO,30,25.0,6.25,6.25,6.25,0.0,0,0,0,30,78.78,78.78,78.78
6,ESTABILIZANDO,30,25.0,7.5,7.5,7.5,0.0,0,0,0,30,78.78,78.78,78.78
7,FLUJO_SINCRO,30,25.0,9.66,9.66,9.66,0.0,0,0,0,30,78.78,78.78,78.78
8,FLUJO_SINCRO,30,25.0,11.64,11.64,11.64,0.0,0,0,0,30,78.78,78.78,78.78
9,FLUJO_SINCRO,30,25.0,13.43,13.43,13.43,0.0,0,0,0,30,78.78,78.78,78.78
10,FLUJO_SINCRO,30,25.0,15.02,15.02,15.02,0.0,0,0,0,30,78.78,78.78,78.78
11,FRENADA_ORIGEN,30,25.0,15.94,3.02,16.4,13.39,0,1,0,28,71.51,78.78,86.15
12,FRENADA_ORIGEN,30,25.0,16.95,0.0,17.6,17.6,0,0,1,28,55.82,78.78,102.99
13,FRENADA_ORIGEN,30,25.0,17.85,0.0,18.62,18.62,0,1,1,28,40.79,78.78,121.16
14,FRENADA_ORIGEN,30,25.0,18.58,0.0,19.49,19.49,0,1,1,27,27.51,78.78,140.27
15,FRENADA_ORIGEN,30,25.0,19.13,0.0,20.21,20.21,0,1,1,27,16.84,78.78,160.17
16,DISOLVIENDO,30,25.0,19.64,2.49,20.82,18.33,0,2,0,27,10.45,78.78,179.36
17,DISOLVIENDO,30,25.0,20.07,4.94,21.32,16.39,0,1,0,1,8.33,78.78,196.62
18,DISOLVIENDO,30,25.0,20.45,5.83,21.74,15.91,0,1,0,2,8.95,78.78,211.93
19,DISOLVIENDO,30,25.0,20.78,6.93,22.08,15.15,0,1,0,2,11.08,78.78,225.34
20,DISOLVIENDO,30,25.0,21.07,8.43,22.36,13.93,0,0,0,2,14.01,78.78,236.92
21,DISOLVIENDO,30,25.0,21.32,10.05,22.59,12.54,0,1,0,2,16.36,78.78,246.79
22,DISOLVIENDO,30,25.0,21.55,11.16,22.78,11.62,0,1,0,2,16.27,78.78,255.09
23,DISOLVIENDO,30,25.0,21.75,11.77,22.93,11.16,0,0,0,3,17.31,78.78,261.97
24,DISOLVIENDO,30,25.0,21.93,12.65,23.06,10.41,0,0,0,3,19.05,78.78,267.59
25,DISOLVIENDO,30,25.0,22.09,13.63,23.16,9.52,0,0,0,3,21.17,78.78,272.12
26,DISOLVIENDO,30,25.0,22.23,14.64,23.24,8.6,0,0,0,3,23.48,78.78,275.7
27,DISOLVIENDO,30,25.0,22.36,15.35,23.31,7.96,0,0,0,3,24.31,78.78,278.46
28,DISOLVIENDO,30,25.0,22.47,15.71,23.36,7.65,0,0,0,3,24.88,78.78,280.53
29,DISOLVIENDO,30,25.0,22.57,16.18,23.4,7.22,0,0,0,4,25.88,78.78,282.02
30,DISOLVIENDO,30,25.0,22.65,16.7,23.44,6.74,0,0,0,3,27.14,78.78,283.02
31,DISOLVIENDO,30,25.0,22.73,17.24,23.47,6.23,0,0,0,2,28.57,78.78,283.62
32,DISOLVIENDO,30,25.0,22.79,17.76,23.49,5.73,0,0,0,2,30.06,78.78,283.88
33,DISOLVIENDO,30,25.0,22.85,18.23,23.63,5.4,0,0,0,0,31.58,78.78,283.86
34,DISOLVIENDO,30,25.0,22.9,18.39,23.86,5.46,0,0,0,0,32.39,78.78,283.62
35,DISOLVIENDO,30,25.0,22.95,18.6,24.04,5.44,1,0,0,0,32.82,78.78,283.19
36,DISOLVIENDO,30,25.0,22.98,18.83,24.19,5.36,1,0,0,0,33.43,78.78,282.6
37,DISOLVIENDO,30,25.0,23.02,19.07,24.31,5.24,1,0,0,0,34.16,78.78,281.9
38,DISOLVIENDO,30,25.0,23.05,19.31,24.41,5.1,1,0,0,0,34.97,78.78,281.09
39,DISOLVIENDO,30,25.0,23.08,19.54,24.49,4.95,1,0,0,0,35.82,78.78,280.2
40,DISOLVIENDO,30,25.0,23.1,19.77,24.56,4.79,1,0,0,0,36.7,78.78,279.24
41,DISOLVIENDO,30,25.0,23.12,19.98,24.61,4.63,1,0,0,0,37.58,78.78,278.23
42,DISOLVIENDO,30,25.0,23.14,20.11,24.65,4.54,1,0,0,0,38.46,78.78,277.17
43,DISOLVIENDO,30,25.0,23.15,20.19,24.69,4.5,1,0,0,0,39.33,78.78,276.08
44,DISOLVIENDO,30,25.0,23.17,20.27,24.71,4.44,1,0,0,0,39.67,78.78,274.96
45,DISOLVIENDO,30,25.0,23.18,20.36,24.74,4.37,1,0,0,0,39.97,78.78,273.81
46,DISOLVIENDO,30,25.0,23.19,20.46,24.75,4.29,1,0,0,0,40.33,78.78,272.65
47,DISOLVIENDO,30,25.0,23.2,20.56,24.77,4.21,1,0,0,0,40.74,78.78,271.48
48,DISOLVIENDO,30,25.0,23.21,20.65,24.78,4.13,1,0,0,0,41.18,78.78,270.29
49,DISOLVIENDO,30,25.0,23.22,20.75,24.79,4.04,1,0,0,0,41.65,78.78,269.09
