scenario,max_in_jam,max_stopped,max_gap_pressure,max_v_diff,min_velocity,avg_velocity_before,avg_velocity_during,velocity_drop,total_energy,total_time_lost,min_efficiency,flow_before,flow_during,flow_drop_pct,recovery_time,study,param_value
Disturbance_D12,6,1,0.45,23.61,0.0,23.022222222222226,22.206666666666663,0.8155555555555623,252.8,0.0,102.3,1319.0,1272.3333333333333,3.5380338640384186,75.0,Disturbance,12
Density_N45,8,1,0.5,23.22,0.0,22.724444444444444,21.86,0.8644444444444446,372.6,0.0,99.9,1464.7777777777778,1409.111111111111,3.8003489342334875,122.0,Density,45
Density_N40,6,1,0.45,23.61,0.0,23.022222222222226,22.206666666666663,0.8155555555555623,252.8,0.0,102.3,1319.0,1272.3333333333333,3.5380338640384186,75.0,Density,40
Density_N25,2,1,0.28,24.48,0.0,23.68111111111111,22.95888888888889,0.7222222222222214,85.5,0.0,104.3,848.0,822.1111111111111,3.0529350104821833,32.0,Density,25
Disturbance_D10,5,1,0.45,23.61,0.0,23.022222222222226,22.263333333333335,0.7588888888888903,246.1,0.0,102.6,1319.0,1275.4444444444443,3.302164939769193,71.0,Disturbance,10
Density_N35,4,1,0.4,23.95,0.0,23.279999999999998,22.53333333333333,0.7466666666666661,169.7,0.0,103.6,1167.2222222222222,1129.6666666666667,3.2175154688243586,52.0,Density,35
Behavior_Aggressive,4,1,0.37,24.1,0.0,23.395555555555557,22.682222222222222,0.7133333333333347,233.5,0.0,103.8,1340.3333333333333,1299.5555555555557,3.042360938406685,51.0,Behavior,1
Disturbance_D08,5,1,0.45,23.61,0.0,23.022222222222226,22.348888888888887,0.6733333333333391,227.3,0.0,103.2,1319.0,1280.5555555555557,2.914665992755447,67.0,Disturbance,8
Density_N30,3,1,0.34,24.24,0.0,23.49888888888889,22.782222222222224,0.716666666666665,120.1,0.0,104.0,1009.7777777777778,979.1111111111111,3.036971830985923,37.0,Density,30
Disturbance_D15,6,1,0.45,23.61,0.0,23.022222222222226,22.164444444444445,0.8577777777777804,263.1,0.0,102.0,1319.0,1270.0,3.7149355572403335,76.0,Disturbance,15
Density_N50,8,1,0.56,22.76,0.0,22.387777777777778,21.64,0.7477777777777774,303.8,0.0,100.7,1603.4444444444443,1549.888888888889,3.3400318758228735,134.0,Density,50
Behavior_Conservative,19,1,0.64,21.93,0.0,21.763333333333332,20.64777777777778,1.1155555555555523,391.4,3.1,95.5,1246.888888888889,1183.0,5.1238638388879005,,Behavior,3
Behavior_Normal,6,1,0.45,23.61,0.0,23.022222222222226,22.206666666666663,0.8155555555555623,252.8,0.0,102.3,1319.0,1272.3333333333333,3.5380338640384186,75.0,Behavior,2
Disturbance_D18,6,1,0.45,23.61,0.0,23.022222222222226,22.136666666666667,0.885555555555559,269.5,0.0,101.8,1319.0,1268.3333333333333,3.8412939095274257,76.0,Disturbance,18
