,num_cars,max_speed,s0,t_reaction,max_stopped,max_in_jam,recovery_time,total_energy,time_lost,max_gap_pressure
num_cars,1.0,-0.2700308624336608,-0.05892556509887883,-0.058925565098878904,0.75,0.9061972758869112,0.9141195482638215,0.12594048192190618,0.7900365223497552,0.9669264238878097
max_speed,-0.2700308624336608,1.0,-0.7637626158259733,-0.7637626158259733,0.0,-0.08611187047839651,-0.24698374316169006,-0.003320675461368097,0.0,-0.3629601031350832
s0,-0.05892556509887883,-0.7637626158259733,1.0,1.0,-0.35355339059327384,-0.17287858644065068,-0.1550508844210461,-0.2311660600357727,-0.1837632178745228,0.060568061370452335
t_reaction,-0.058925565098878904,-0.7637626158259733,1.0,1.0,-0.3535533905932738,-0.17287858644065063,-0.1550508844210461,-0.23116606003577264,-0.18376321787452277,0.06056806137045236
max_stopped,0.75,0.0,-0.35355339059327384,-0.3535533905932738,1.0,0.6563950942641263,0.8877054945536955,0.623239717518202,0.519760869966944,0.751138755183716
max_in_jam,0.9061972758869112,-0.08611187047839651,-0.17287858644065068,-0.17287858644065063,0.6563950942641263,1.0,0.9829828864617985,0.06726998629187965,0.9701063721505412,0.9254683105628727
recovery_time,0.9141195482638215,-0.24698374316169006,-0.1550508844210461,-0.1550508844210461,0.8877054945536955,0.9829828864617985,1.0,0.3907473443861747,0.9017263766821674,0.8688691443837184
total_energy,0.12594048192190618,-0.003320675461368097,-0.2311660600357727,-0.23116606003577264,0.623239717518202,0.06726998629187965,0.3907473443861747,1.0,0.03703582863535591,0.20555346742093025
time_lost,0.7900365223497552,0.0,-0.1837632178745228,-0.18376321787452277,0.519760869966944,0.9701063721505412,0.9017263766821674,0.03703582863535591,1.0,0.8330170569553436
max_gap_pressure,0.9669264238878097,-0.3629601031350832,0.060568061370452335,0.06056806137045236,0.751138755183716,0.9254683105628727,0.8688691443837184,0.20555346742093025,0.8330170569553436,1.0
