,num_cars,max_speed,s0,t_reaction,max_stopped,max_in_jam,recovery_time,total_energy,time_lost,max_gap_pressure
num_cars,1.0,,,,,0.18416721470355057,0.8147637862633665,0.4732998895407608,-0.13285670602742178,0.470615991808318
max_speed,,,,,,,,,,
s0,,,,,,,,,,
t_reaction,,,,,,,,,,
max_stopped,,,,,,,,,,
max_in_jam,0.18416721470355057,,,,,1.0,0.7894892296066748,0.8004076460116935,0.9086364395503386,0.886377123009893
recovery_time,0.8147637862633665,,,,,0.7894892296066748,1.0,0.6414535330819564,,0.8378074282171907
total_energy,0.4732998895407608,,,,,0.8004076460116935,0.6414535330819564,1.0,0.5053034801395813,0.9104844963817327
time_lost,-0.13285670602742178,,,,,0.9086364395503386,,0.5053034801395813,1.0,0.63648764604472
max_gap_pressure,0.470615991808318,,,,,0.886377123009893,0.8378074282171907,0.9104844963817327,0.63648764604472,1.0
