scenario,phase,density,flow,velocity,num_cars,type
Disturbance_D12,Before,15.919999999999998,1322.1,23.076,0,Other
Disturbance_D12,During,15.919999999999998,1255.2727272727273,21.908181818181816,0,Other
Disturbance_D12,After,15.919999999999998,1325.1818181818182,23.12909090909091,0,Other
Density_N45,Before,17.9,1467.6,22.769,45,Other
Density_N45,During,17.900000000000002,1382.7272727272727,21.452727272727273,45,Other
Density_N45,After,17.900000000000002,1454.909090909091,22.572727272727267,45,Other
Density_N40,Before,15.919999999999998,1322.1,23.076,40,Other
Density_N40,During,15.919999999999998,1255.2727272727273,21.908181818181816,40,Other
Density_N40,After,15.919999999999998,1325.1818181818182,23.12909090909091,40,Other
Density_N25,Before,9.95,850.6,23.753999999999998,25,Other
Density_N25,During,9.950000000000001,823.5454545454545,23.00454545454545,25,Other
Density_N25,After,9.950000000000001,868.3636363636364,24.25,25,Other
Disturbance_D10,Before,15.919999999999998,1322.1,23.076,0,Other
Disturbance_D10,During,15.919999999999998,1258.909090909091,21.973636363636366,0,Other
Disturbance_D10,After,15.919999999999998,1326.1818181818182,23.150909090909092,0,Other
Density_N35,Before,13.930000000000001,1170.3,23.340999999999998,35,Other
Density_N35,During,13.930000000000001,1122.0,22.37909090909091,35,Other
Density_N35,After,13.930000000000001,1182.090909090909,23.58,35,Other
Behavior_Aggressive,Before,15.919999999999998,1344.0,23.46,0,Other
Behavior_Aggressive,During,15.919999999999998,1278.0,22.305454545454545,0,Other
Behavior_Aggressive,After,15.919999999999998,1358.8181818181818,23.715454545454545,0,Other
Disturbance_D08,Before,15.919999999999998,1322.1,23.076,0,Other
Disturbance_D08,During,15.919999999999998,1265.3636363636363,22.08636363636364,0,Other
Disturbance_D08,After,15.919999999999998,1328.4545454545455,23.185454545454544,0,Other
Density_N30,Before,11.94,1012.7,23.567,30,Other
Density_N30,During,11.94,976.6363636363636,22.728181818181817,30,Other
Density_N30,After,11.94,1029.0,23.94454545454545,30,Other
Disturbance_D15,Before,15.919999999999998,1322.1,23.076,0,Other
Disturbance_D15,During,15.919999999999998,1252.0,21.849090909090908,0,Other
Disturbance_D15,After,15.919999999999998,1323.909090909091,23.10636363636364,0,Other
Density_N50,Before,19.889999999999997,1605.9,22.422,50,Other
Density_N50,During,19.889999999999997,1541.2727272727273,21.520000000000003,50,Other
Density_N50,After,19.889999999999997,1608.0,22.44909090909091,50,Other
Behavior_Conservative,Before,15.919999999999998,1247.8,21.778999999999996,0,Other
Behavior_Conservative,During,15.919999999999998,1168.909090909091,20.400000000000002,0,Other
Behavior_Conservative,After,15.919999999999998,1216.6363636363637,21.234545454545454,0,Other
Behavior_Normal,Before,15.919999999999998,1322.1,23.076,0,Other
Behavior_Normal,During,15.919999999999998,1255.2727272727273,21.908181818181816,0,Other
Behavior_Normal,After,15.919999999999998,1325.1818181818182,23.12909090909091,0,Other
Disturbance_D18,Before,15.919999999999998,1322.1,23.076,0,Other
Disturbance_D18,During,15.919999999999998,1249.5454545454545,21.80727272727273,0,Other
Disturbance_D18,After,15.919999999999998,1323.0,23.08818181818182,0,Other
