segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,22.07,22.07,22.07,0.0,15.92,1264.0,103.8,0,0,0,30,57.83,57.83,57.83,19.65,0.34,0.0,0,0,0,0,0.0
2,EQUILIBRIO,22.67,22.67,22.67,0.0,15.92,1299.0,106.7,0,0,0,30,57.83,57.83,57.83,20.14,0.35,0.0,0,0,0,0,0.0
3,EQUILIBRIO,23.11,23.11,23.11,0.0,15.92,1324.0,108.8,0,0,0,30,57.83,57.83,57.83,20.49,0.35,0.0,0,0,0,0,0.0
4,EQUILIBRIO,23.42,23.42,23.42,0.0,15.92,1342.0,110.2,0,0,0,30,57.83,57.83,57.83,20.74,0.36,0.0,0,0,0,0,0.0
5,EQUILIBRIO,23.64,23.64,23.64,0.0,15.92,1354.0,111.2,0,0,0,30,57.83,57.83,57.83,20.91,0.36,0.0,0,0,0,0,0.0
6,EQUILIBRIO,23.79,23.79,23.79,0.0,15.92,1363.0,111.9,0,0,0,30,57.83,57.83,57.83,21.03,0.36,0.0,0,0,0,0,0.0
7,EQUILIBRIO,23.89,23.89,23.89,0.0,15.92,1369.0,112.4,0,0,0,30,57.83,57.83,57.83,21.11,0.37,0.0,0,0,0,0,0.0
8,EQUILIBRIO,23.96,23.96,23.96,0.0,15.92,1373.0,112.7,0,0,0,30,57.83,57.83,57.83,21.17,0.37,0.0,0,0,0,0,0.0
9,EQUILIBRIO,24.01,24.01,24.01,0.0,15.92,1375.0,113.0,0,0,0,30,57.83,57.83,57.83,21.2,0.37,0.0,0,0,0,0,0.0
10,EQUILIBRIO,24.04,24.04,24.04,0.0,15.92,1377.0,113.1,0,0,0,30,57.83,57.83,57.83,21.23,0.37,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,23.63,12.04,24.06,12.02,15.92,1354.0,111.2,0,0,0,30,51.55,57.83,64.44,20.9,0.36,19.7,0,0,0,0,12.02
12,FRENADA_ORIGEN,23.1,0.0,24.08,24.08,15.92,1323.0,108.7,1,0,1,28,35.86,57.83,83.08,20.48,0.35,29.7,0,-0.0,1,0,24.08
13,FRENADA_ORIGEN,22.92,0.0,24.09,24.09,15.92,1313.0,107.8,1,1,1,27,19.17,57.83,107.16,20.33,0.35,40.0,0,-0.0,1,1,24.09
14,FRENADA_ORIGEN,22.69,0.0,24.09,24.09,15.92,1300.0,106.8,1,1,1,27,6.98,57.83,131.25,20.16,0.35,51.0,0,-10.8,1,1,24.09
15,FRENADA_ORIGEN,22.41,0.0,24.1,24.1,15.92,1284.0,105.4,1,1,2,26,-0.72,57.83,155.34,19.93,0.34,63.3,0,-3.1,1,1,24.1
16,FRENADA_ORIGEN,22.05,0.0,24.1,24.1,15.92,1264.0,103.8,1,2,1,26,-3.91,57.83,179.44,19.64,0.34,74.5,0,-0.7,1,2,24.1
17,FRENADA_ORIGEN,21.76,0.0,24.1,24.1,15.92,1247.0,102.4,2,1,1,26,-3.98,57.83,203.55,19.4,0.34,86.3,0,-0.5,2,2,24.1
18,FRENADA_ORIGEN,21.43,0.0,24.1,24.1,15.92,1228.0,100.8,2,1,2,25,-3.98,57.83,227.65,19.14,0.33,98.3,0,-0.5,2,2,24.1
19,FRENADA_ORIGEN,21.07,0.0,24.1,24.1,15.92,1207.0,99.2,3,1,1,25,-3.98,57.83,251.75,18.86,0.33,109.6,0.0,-0.4,3,2,24.1
20,FRENADA_ORIGEN,20.77,0.0,24.11,24.11,15.92,1190.0,97.8,3,1,2,24,-3.98,57.83,275.86,18.62,0.32,122.2,0.1,-0.4,3,2,24.11
21,ONDA_ACTIVA,20.49,0.0,24.11,24.11,15.92,1174.0,96.4,2,2,1,25,-2.61,57.83,298.59,18.39,0.32,133.5,0.2,-0.8,3,2,24.11
22,ONDA_ACTIVA,20.27,0.0,24.11,24.11,15.92,1162.0,95.4,3,1,2,24,-0.34,57.83,318.82,18.22,0.32,145.6,0.3,-1.9,3,2,24.11
23,ONDA_ACTIVA,20.06,0.0,24.11,24.11,15.92,1149.0,94.4,2,2,2,24,-0.34,57.83,336.56,18.05,0.31,157.4,0.5,-3.3,3,2,24.11
24,ONDA_ACTIVA,19.89,0.0,24.11,24.11,15.92,1139.0,93.6,3,1,1,25,-0.36,57.83,351.82,17.91,0.31,169.0,0.7,-4.7,3,2,24.11
