segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,21.45,21.45,21.45,0.0,15.92,1229.0,100.9,0,0,30,0,57.83,57.83,57.83,36.18,0.63,0.0,0,0,0,0,0.0
2,EQUILIBRIO,21.59,21.59,21.59,0.0,15.92,1237.0,101.6,0,0,30,0,57.83,57.83,57.83,36.39,0.63,0.0,0,0,0,0,0.0
3,EQUILIBRIO,21.7,21.7,21.7,0.0,15.92,1243.0,102.1,0,0,30,0,57.83,57.83,57.83,36.54,0.63,0.0,0,0,0,0,0.0
4,EQUILIBRIO,21.77,21.77,21.77,0.0,15.92,1247.0,102.4,0,0,30,0,57.83,57.83,57.83,36.65,0.63,0.0,0,0,0,0,0.0
5,EQUILIBRIO,21.82,21.82,21.82,0.0,15.92,1250.0,102.7,0,0,30,0,57.83,57.83,57.83,36.73,0.64,0.0,0,0,0,0,0.0
6,EQUILIBRIO,21.85,21.85,21.85,0.0,15.92,1252.0,102.8,0,0,30,0,57.83,57.83,57.83,36.78,0.64,0.0,0,0,0,0,0.0
7,EQUILIBRIO,21.88,21.88,21.88,0.0,15.92,1254.0,103.0,0,0,30,0,57.83,57.83,57.83,36.82,0.64,0.0,0,0,0,0,0.0
8,EQUILIBRIO,21.9,21.9,21.9,0.0,15.92,1255.0,103.0,0,0,30,0,57.83,57.83,57.83,36.84,0.64,0.0,0,0,0,0,0.0
9,EQUILIBRIO,21.91,21.91,21.91,0.0,15.92,1255.0,103.1,0,0,30,0,57.83,57.83,57.83,36.86,0.64,0.0,0,0,0,0,0.0
10,EQUILIBRIO,21.92,21.92,21.92,0.0,15.92,1256.0,103.1,0,0,30,0,57.83,57.83,57.83,36.88,0.64,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,21.48,9.92,21.92,12.01,15.92,1231.0,101.1,0,1,28,1,51.67,57.83,64.44,36.22,0.63,17.8,0,-0.0,0,1,12.01
12,FRENADA_ORIGEN,20.99,0.0,21.93,21.93,15.92,1203.0,98.8,1,1,28,0,36.75,57.83,82.75,35.49,0.61,27.4,0.0,-0.0,1,1,21.93
13,FRENADA_ORIGEN,20.79,0.0,21.93,21.93,15.92,1191.0,97.8,1,2,27,0,22.69,57.83,104.68,35.19,0.61,37.4,0.1,-0.0,1,2,21.93
14,FRENADA_ORIGEN,20.54,0.0,21.93,21.93,15.92,1177.0,96.7,1,3,26,0,13.12,57.83,126.61,34.81,0.6,47.8,0.2,-16.3,1,3,21.93
15,FRENADA_ORIGEN,20.24,0.0,21.93,21.93,15.92,1160.0,95.3,1,3,26,0,7.91,57.83,148.54,34.37,0.59,57.9,0.3,-9.3,1,3,21.93
16,FRENADA_ORIGEN,19.97,0.0,21.93,21.93,15.92,1144.0,94.0,1,4,25,0,5.51,57.83,170.47,33.95,0.59,67.6,0.5,-6.3,1,4,21.93
17,FRENADA_ORIGEN,19.69,0.0,21.93,21.93,15.92,1128.0,92.7,1,4,25,0,4.49,57.83,192.41,33.53,0.58,77.3,0.7,-4.9,1,4,21.93
18,FRENADA_ORIGEN,19.4,0.0,21.94,21.94,15.92,1112.0,91.3,2,3,25,0,4.21,57.83,214.34,33.1,0.57,87.0,1.0,-4.1,2,4,21.94
19,FRENADA_ORIGEN,19.12,0.0,21.94,21.94,15.92,1095.0,90.0,2,4,24,0,4.14,57.83,236.28,32.68,0.57,96.7,1.3,-3.7,2,4,21.94
20,FRENADA_ORIGEN,18.83,0.0,21.94,21.94,15.92,1079.0,88.6,2,4,24,0,4.1,57.83,258.21,32.25,0.56,106.4,1.6,-3.3,2,4,21.94
21,ONDA_ACTIVA,18.64,0.3,21.94,21.64,15.92,1068.0,87.7,0,6,23,1,4.3,57.83,278.77,31.95,0.55,116.1,2.0,-3.4,2,6,21.94
22,ONDA_ACTIVA,18.47,0.36,21.94,21.57,15.92,1058.0,86.9,0,6,23,1,5.04,57.83,296.84,31.71,0.55,125.8,2.4,-4.0,2,6,21.94
23,ONDA_ACTIVA,18.35,0.84,21.94,21.1,15.92,1051.0,86.4,0,7,22,1,5.07,57.83,312.4,31.52,0.55,135.4,2.8,-4.8,2,7,21.94
24,ONDA_ACTIVA,18.26,0.97,21.94,20.96,15.92,1046.0,85.9,0,7,22,1,5.84,57.83,325.5,31.4,0.54,145.0,3.2,-5.7,2,7,21.94
25,DISOLVIENDO,18.21,1.63,21.94,20.3,15.92,1043.0,85.7,0,6,23,1,6.1,57.83,336.15,31.32,0.54,154.4,3.7,-6.6,2,7,21.94
26,DISOLVIENDO,18.19,1.65,21.94,20.29,15.92,1042.0,85.6,0,7,22,1,6.69,57.83,344.46,31.29,0.54,163.8,4.1,-7.4,2,7,21.94
27,DISOLVIENDO,18.2,2.21,21.94,19.73,15.92,1043.0,85.6,0,7,22,1,7.31,57.83,350.58,31.3,0.54,173.1,4.5,-13.4,2,7,21.94
28,DISOLVIENDO,18.23,2.4,21.94,19.54,15.92,1045.0,85.8,0,8,21,1,7.58,57.83,354.71,31.34,0.54,182.2,5.0,-14.6,2,8,21.94
29,DISOLVIENDO,18.28,2.8,21.94,19.13,15.92,1047.0,86.0,0,8,21,1,8.76,57.83,357.12,31.42,0.54,191.2,5.4,-20.3,2,8,21.94
30,DISOLVIENDO,18.34,3.26,21.94,18.68,15.92,1051.0,86.3,0,8,21,1,8.59,57.83,358.12,31.51,0.54,200.1,5.8,-21.6,2,8,21.94
31,DISOLVIENDO,18.41,3.45,22.47,19.02,15.92,1055.0,86.6,0,9,20,1,9.5,57.83,358.0,31.62,0.55,208.9,6.2,-22.6,2,9,21.94
32,DISOLVIENDO,18.49,4.13,23.2,19.08,15.92,1059.0,87.0,0,9,20,1,9.8,57.83,357.04,31.73,0.55,217.5,6.6,-28.0,2,9,21.94
33,DISOLVIENDO,18.57,4.19,23.73,19.53,15.92,1064.0,87.4,0,10,19,1,10.29,57.83,355.47,31.85,0.55,226.0,7.0,-28.9,2,10,21.94
