segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,21.45,21.45,21.45,0.0,15.92,1229.0,100.9,0,0,30,0,57.83,57.83,57.83,36.18,0.63,0.0,0,0,0,0,0.0
2,EQUILIBRIO,21.59,21.59,21.59,0.0,15.92,1237.0,101.6,0,0,30,0,57.83,57.83,57.83,36.39,0.63,0.0,0,0,0,0,0.0
3,EQUILIBRIO,21.7,21.7,21.7,0.0,15.92,1243.0,102.1,0,0,30,0,57.83,57.83,57.83,36.54,0.63,0.0,0,0,0,0,0.0
4,EQUILIBRIO,21.77,21.77,21.77,0.0,15.92,1247.0,102.4,0,0,30,0,57.83,57.83,57.83,36.65,0.63,0.0,0,0,0,0,0.0
5,EQUILIBRIO,21.82,21.82,21.82,0.0,15.92,1250.0,102.7,0,0,30,0,57.83,57.83,57.83,36.73,0.64,0.0,0,0,0,0,0.0
6,EQUILIBRIO,21.85,21.85,21.85,0.0,15.92,1252.0,102.8,0,0,30,0,57.83,57.83,57.83,36.78,0.64,0.0,0,0,0,0,0.0
7,EQUILIBRIO,21.88,21.88,21.88,0.0,15.92,1254.0,103.0,0,0,30,0,57.83,57.83,57.83,36.82,0.64,0.0,0,0,0,0,0.0
8,EQUILIBRIO,21.9,21.9,21.9,0.0,15.92,1255.0,103.0,0,0,30,0,57.83,57.83,57.83,36.84,0.64,0.0,0,0,0,0,0.0
9,EQUILIBRIO,21.91,21.91,21.91,0.0,15.92,1255.0,103.1,0,0,30,0,57.83,57.83,57.83,36.86,0.64,0.0,0,0,0,0,0.0
10,EQUILIBRIO,21.92,21.92,21.92,0.0,15.92,1256.0,103.1,0,0,30,0,57.83,57.83,57.83,36.88,0.64,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,21.48,9.92,21.92,12.01,15.92,1231.0,101.1,0,1,28,1,51.67,57.83,64.44,36.22,0.63,17.8,0,-0.0,0,1,12.01
12,FRENADA_ORIGEN,20.99,0.0,21.93,21.93,15.92,1203.0,98.8,1,1,28,0,36.72,57.83,82.78,35.49,0.61,27.4,0.0,-0.0,1,1,21.93
13,FRENADA_ORIGEN,20.79,0.0,21.93,21.93,15.92,1191.0,97.8,1,2,27,0,22.65,57.83,104.71,35.19,0.61,37.4,0.1,-0.0,1,2,21.93
14,FRENADA_ORIGEN,20.54,0.0,21.93,21.93,15.92,1177.0,96.7,1,3,26,0,13.09,57.83,126.64,34.81,0.6,47.8,0.2,-16.3,1,3,21.93
15,FRENADA_ORIGEN,20.24,0.0,21.93,21.93,15.92,1160.0,95.3,1,3,26,0,7.89,57.83,148.57,34.37,0.59,57.9,0.3,-9.3,1,3,21.93
16,FRENADA_ORIGEN,19.97,0.0,21.93,21.93,15.92,1144.0,94.0,1,4,25,0,5.49,57.83,170.5,33.95,0.59,67.6,0.5,-6.3,1,4,21.93
17,FRENADA_ORIGEN,19.67,0.0,21.93,21.93,15.92,1127.0,92.6,2,3,25,0,4.8,57.83,192.44,33.5,0.58,77.5,0.7,-5.0,2,4,21.93
18,FRENADA_ORIGEN,19.4,0.0,21.94,21.94,15.92,1111.0,91.3,2,3,25,0,4.55,57.83,214.37,33.09,0.57,87.2,1.0,-4.3,2,4,21.94
19,FRENADA_ORIGEN,19.11,0.0,21.94,21.94,15.92,1095.0,90.0,2,4,24,0,4.38,57.83,236.31,32.67,0.56,96.9,1.3,-3.8,2,4,21.94
20,FRENADA_ORIGEN,18.8,0.0,21.94,21.94,15.92,1077.0,88.5,3,3,24,0,4.25,57.83,258.24,32.21,0.56,106.7,1.7,-3.3,3,4,21.94
21,ONDA_ACTIVA,18.63,0.42,21.94,21.51,15.92,1068.0,87.7,2,4,23,1,4.75,57.83,278.81,31.95,0.55,116.4,2.0,-3.4,3,4,21.94
22,ONDA_ACTIVA,18.48,0.6,21.94,21.33,15.92,1059.0,87.0,1,5,23,1,5.2,57.83,296.87,31.72,0.55,126.0,2.4,-4.0,3,5,21.94
23,DISOLVIENDO,18.32,0.0,21.94,21.94,15.92,1050.0,86.2,1,6,22,1,5.4,57.83,312.44,31.49,0.54,135.6,2.8,-4.8,3,6,21.94
24,ONDA_ACTIVA,18.26,0.98,21.94,20.96,15.92,1046.0,85.9,1,6,22,1,6.5,57.83,325.53,31.38,0.54,145.2,3.3,-5.7,3,6,21.94
25,DISOLVIENDO,18.21,1.6,21.94,20.33,15.92,1043.0,85.7,0,6,23,1,6.14,57.83,336.18,31.32,0.54,154.6,3.7,-6.5,3,6,21.94
26,DISOLVIENDO,18.2,1.74,21.94,20.2,15.92,1043.0,85.6,0,7,22,1,6.95,57.83,344.5,31.29,0.54,164.0,4.1,-7.4,3,7,21.94
27,DISOLVIENDO,18.21,2.38,21.94,19.56,15.92,1043.0,85.7,0,7,22,1,7.4,57.83,350.61,31.31,0.54,173.2,4.5,-13.4,3,7,21.94
28,DISOLVIENDO,18.24,2.5,21.94,19.44,15.92,1045.0,85.8,0,8,21,1,7.78,57.83,354.74,31.36,0.54,182.3,5.0,-14.6,3,8,21.94
29,DISOLVIENDO,18.29,2.95,21.94,18.99,15.92,1048.0,86.1,0,8,21,1,8.86,57.83,357.15,31.44,0.54,191.3,5.4,-20.2,3,8,21.94
30,DISOLVIENDO,18.35,3.35,21.94,18.58,15.92,1052.0,86.4,0,8,21,1,8.76,57.83,358.15,31.53,0.55,200.1,5.8,-21.5,3,8,21.94
31,DISOLVIENDO,18.43,3.58,22.47,18.89,15.92,1056.0,86.7,0,9,20,1,9.72,57.83,358.03,31.64,0.55,208.9,6.2,-26.7,3,9,21.94
32,DISOLVIENDO,18.5,4.27,23.2,18.93,15.92,1060.0,87.1,0,9,20,1,9.96,57.83,357.07,31.76,0.55,217.4,6.6,-27.9,3,9,21.94
33,DISOLVIENDO,18.58,4.31,23.73,19.41,15.92,1065.0,87.5,0,10,19,1,10.49,57.83,355.5,31.88,0.55,225.9,7.0,-32.5,3,10,21.94
