segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,21.39,21.39,21.39,0.0,23.87,1838.0,100.6,0,0,45,0,36.89,36.89,36.89,23.89,0.65,0.0,0,0,0,0,0.0
2,EQUILIBRIO,21.48,21.48,21.48,0.0,23.87,1846.0,101.1,0,0,45,0,36.89,36.89,36.89,23.98,0.65,0.0,0,0,0,0,0.0
3,EQUILIBRIO,21.55,21.55,21.55,0.0,23.87,1852.0,101.4,0,0,45,0,36.89,36.89,36.89,24.05,0.65,0.0,0,0,0,0,0.0
4,EQUILIBRIO,21.6,21.6,21.6,0.0,23.87,1856.0,101.6,0,0,45,0,36.89,36.89,36.89,24.1,0.65,0.0,0,0,0,0,0.0
5,EQUILIBRIO,21.63,21.63,21.63,0.0,23.87,1859.0,101.8,0,0,45,0,36.89,36.89,36.89,24.13,0.65,0.0,0,0,0,0,0.0
6,EQUILIBRIO,21.66,21.66,21.66,0.0,23.87,1861.0,101.9,0,0,45,0,36.89,36.89,36.89,24.16,0.65,0.0,0,0,0,0,0.0
7,EQUILIBRIO,21.67,21.67,21.67,0.0,23.87,1863.0,102.0,0,0,45,0,36.89,36.89,36.89,24.17,0.66,0.0,0,0,0,0,0.0
8,EQUILIBRIO,21.69,21.69,21.69,0.0,23.87,1864.0,102.1,0,0,45,0,36.89,36.89,36.89,24.19,0.66,0.0,0,0,0,0,0.0
9,EQUILIBRIO,21.69,21.69,21.69,0.0,23.87,1865.0,102.1,0,0,45,0,36.89,36.89,36.89,24.19,0.66,0.0,0,0,0,0,0.0
10,EQUILIBRIO,21.7,21.7,21.7,0.0,23.87,1865.0,102.1,0,0,45,0,36.89,36.89,36.89,24.2,0.66,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,21.39,9.7,21.7,12.0,23.87,1838.0,100.6,0,1,43,1,31.04,36.89,43.49,23.89,0.65,21.6,0,-0.0,0,1,12.0
12,FRENADA_ORIGEN,21.04,0.0,21.71,21.71,23.87,1808.0,99.0,1,2,42,0,17.36,36.89,61.77,23.54,0.64,33.1,0.0,-0.0,1,2,21.71
13,FRENADA_ORIGEN,20.86,0.0,21.71,21.71,23.87,1793.0,98.2,1,3,41,0,4.76,36.89,83.47,23.36,0.63,46.4,0.1,-11.7,1,3,21.71
14,FRENADA_ORIGEN,20.63,0.0,21.71,21.71,23.87,1773.0,97.1,1,4,40,0,-3.34,36.89,105.18,23.13,0.63,61.2,0.3,-1.5,1,4,21.71
15,FRENADA_ORIGEN,20.44,0.0,21.71,21.71,23.87,1756.0,96.2,1,4,39,1,12.66,78.78,1876.54,22.94,0.29,73.1,0.4,-1354.7,1,4,21.71
16,DISOLVIENDO,20.39,2.5,21.71,19.21,23.87,1753.0,96.0,0,4,39,2,11.08,78.78,1870.77,22.89,0.29,83.2,0.6,-1125.5,1,4,21.71
17,DISOLVIENDO,20.38,5.0,21.71,16.72,23.87,1752.0,95.9,0,5,38,2,12.09,78.78,1865.03,22.88,0.29,92.4,0.8,-1.1,1,5,21.71
18,DISOLVIENDO,20.4,7.49,21.71,14.23,23.87,1753.0,96.0,0,6,37,2,13.23,78.78,1859.38,22.9,0.29,100.8,1.0,-847.7,1,6,21.71
19,DISOLVIENDO,20.45,9.95,21.71,11.76,23.87,1757.0,96.2,0,6,37,2,13.88,78.78,1853.89,22.95,0.29,108.6,1.1,-0.0,1,6,21.71
20,DISOLVIENDO,20.51,11.73,21.71,9.99,23.87,1763.0,96.5,0,7,36,2,14.9,78.78,1848.7,23.01,0.29,115.7,1.3,0,1,7,21.71
21,DISOLVIENDO,20.59,12.13,21.71,9.59,23.87,1770.0,96.9,0,7,36,2,15.39,78.78,1843.94,23.09,0.29,122.4,1.4,0,1,7,21.71
22,DISOLVIENDO,20.68,12.91,21.71,8.81,23.87,1777.0,97.3,0,8,35,2,16.41,78.78,1839.75,23.18,0.29,128.5,1.6,0,1,8,21.71
23,DISOLVIENDO,20.77,13.27,21.86,8.59,23.87,1785.0,97.7,0,8,35,2,16.75,78.78,1836.22,23.27,0.3,134.3,1.7,0,1,8,21.71
24,DISOLVIENDO,20.85,13.89,22.78,8.89,23.87,1792.0,98.1,0,8,35,2,17.8,78.78,1833.36,23.35,0.3,139.5,1.7,0,1,8,21.71
25,DISOLVIENDO,20.93,14.25,23.45,9.2,23.87,1799.0,98.5,0,8,35,2,18.03,78.78,1831.13,23.43,0.3,144.5,1.8,0,1,8,21.71
26,DISOLVIENDO,21.0,14.72,23.94,9.22,23.87,1805.0,98.8,0,9,34,2,18.82,78.78,1829.45,23.5,0.3,149.0,1.9,0,1,9,21.71
27,DISOLVIENDO,21.07,15.12,24.28,9.16,23.87,1811.0,99.1,0,9,34,2,19.27,78.78,1828.2,23.57,0.3,153.3,1.9,0,1,9,21.71
28,DISOLVIENDO,21.12,15.45,24.51,9.06,23.87,1815.0,99.4,0,10,33,2,19.81,78.78,1827.28,23.62,0.3,157.2,1.9,0,1,10,21.71
29,DISOLVIENDO,21.17,15.9,24.67,8.77,23.87,1819.0,99.6,0,10,33,2,20.5,78.78,1826.59,23.67,0.3,160.9,2.0,0,1,10,21.71
