segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,22.07,22.07,22.07,0.0,15.92,1264.0,103.8,0,0,0,40,57.83,57.83,57.83,19.65,0.34,0.0,0,0,0,0,0.0
2,EQUILIBRIO,22.67,22.67,22.67,0.0,15.92,1299.0,106.7,0,0,0,40,57.83,57.83,57.83,20.14,0.35,0.0,0,0,0,0,0.0
3,EQUILIBRIO,23.11,23.11,23.11,0.0,15.92,1324.0,108.8,0,0,0,40,57.83,57.83,57.83,20.49,0.35,0.0,0,0,0,0,0.0
4,EQUILIBRIO,23.42,23.42,23.42,0.0,15.92,1342.0,110.2,0,0,0,40,57.83,57.83,57.83,20.74,0.36,0.0,0,0,0,0,0.0
5,EQUILIBRIO,23.64,23.64,23.64,0.0,15.92,1354.0,111.2,0,0,0,40,57.83,57.83,57.83,20.91,0.36,0.0,0,0,0,0,0.0
6,EQUILIBRIO,23.79,23.79,23.79,0.0,15.92,1363.0,111.9,0,0,0,40,57.83,57.83,57.83,21.03,0.36,0.0,0,0,0,0,0.0
7,EQUILIBRIO,23.89,23.89,23.89,0.0,15.92,1369.0,112.4,0,0,0,40,57.83,57.83,57.83,21.11,0.37,0.0,0,0,0,0,0.0
8,EQUILIBRIO,23.96,23.96,23.96,0.0,15.92,1373.0,112.7,0,0,0,40,57.83,57.83,57.83,21.17,0.37,0.0,0,0,0,0,0.0
9,EQUILIBRIO,24.01,24.01,24.01,0.0,15.92,1375.0,113.0,0,0,0,40,57.83,57.83,57.83,21.2,0.37,0.0,0,0,0,0,0.0
10,EQUILIBRIO,24.04,24.04,24.04,0.0,15.92,1377.0,113.1,0,0,0,40,57.83,57.83,57.83,21.23,0.37,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,23.74,12.04,24.06,12.02,15.92,1360.0,111.7,0,0,0,40,51.55,57.83,64.44,20.99,0.36,19.7,0,0,0,0,12.02
12,FRENADA_ORIGEN,23.34,0.0,24.08,24.08,15.92,1337.0,109.8,1,0,1,38,35.86,57.83,83.08,20.67,0.36,29.7,0,-0.0,1,0,24.08
