segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,21.45,21.45,21.45,0.0,15.92,1229.0,100.9,0,0,40,0,57.83,57.83,57.83,36.18,0.63,0.0,0,0,0,0,0.0
2,EQUILIBRIO,21.59,21.59,21.59,0.0,15.92,1237.0,101.6,0,0,40,0,57.83,57.83,57.83,36.39,0.63,0.0,0,0,0,0,0.0
3,EQUILIBRIO,21.7,21.7,21.7,0.0,15.92,1243.0,102.1,0,0,40,0,57.83,57.83,57.83,36.54,0.63,0.0,0,0,0,0,0.0
4,EQUILIBRIO,21.77,21.77,21.77,0.0,15.92,1247.0,102.4,0,0,40,0,57.83,57.83,57.83,36.65,0.63,0.0,0,0,0,0,0.0
5,EQUILIBRIO,21.82,21.82,21.82,0.0,15.92,1250.0,102.7,0,0,40,0,57.83,57.83,57.83,36.73,0.64,0.0,0,0,0,0,0.0
6,EQUILIBRIO,21.85,21.85,21.85,0.0,15.92,1252.0,102.8,0,0,40,0,57.83,57.83,57.83,36.78,0.64,0.0,0,0,0,0,0.0
7,EQUILIBRIO,21.88,21.88,21.88,0.0,15.92,1254.0,103.0,0,0,40,0,57.83,57.83,57.83,36.82,0.64,0.0,0,0,0,0,0.0
8,EQUILIBRIO,21.9,21.9,21.9,0.0,15.92,1255.0,103.0,0,0,40,0,57.83,57.83,57.83,36.84,0.64,0.0,0,0,0,0,0.0
9,EQUILIBRIO,21.91,21.91,21.91,0.0,15.92,1255.0,103.1,0,0,40,0,57.83,57.83,57.83,36.86,0.64,0.0,0,0,0,0,0.0
10,EQUILIBRIO,21.92,21.92,21.92,0.0,15.92,1256.0,103.1,0,0,40,0,57.83,57.83,57.83,36.88,0.64,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,21.59,9.92,21.92,12.01,15.92,1237.0,101.6,0,1,38,1,51.67,57.83,64.44,36.38,0.63,17.8,0,-0.0,0,1,12.01
12,FRENADA_ORIGEN,21.23,0.0,21.93,21.93,15.92,1216.0,99.9,1,1,38,0,36.72,57.83,82.78,35.84,0.62,27.4,0.0,-0.0,1,1,21.93
