segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,20.97,20.97,20.97,0.0,19.89,1502.0,98.7,0,50,0,0,45.27,45.27,45.27,34.95,0.77,24.8,0.1,0,0,50,0.0
2,EQUILIBRIO,20.77,20.77,20.77,0.0,19.89,1488.0,97.8,0,50,0,0,45.27,45.27,45.27,34.66,0.77,41.8,0.2,0,0,50,0.0
3,EQUILIBRIO,20.64,20.64,20.64,0.0,19.89,1478.0,97.1,0,50,0,0,45.27,45.27,45.27,34.46,0.76,53.6,0.3,0,0,50,0.0
4,EQUILIBRIO,20.55,20.55,20.55,0.0,19.89,1471.0,96.7,0,50,0,0,45.27,45.27,45.27,34.32,0.76,61.8,0.5,0,0,50,0.0
5,EQUILIBRIO,20.48,20.48,20.48,0.0,19.89,1467.0,96.4,0,50,0,0,45.27,45.27,45.27,34.22,0.76,67.6,0.7,0,0,50,0.0
6,EQUILIBRIO,20.43,20.43,20.43,0.0,19.89,1463.0,96.2,0,50,0,0,45.27,45.27,45.27,34.15,0.75,71.6,0.9,0,0,50,0.0
7,EQUILIBRIO,20.4,20.4,20.4,0.0,19.89,1461.0,96.0,0,50,0,0,45.27,45.27,45.27,34.1,0.75,74.4,1.1,0,0,50,0.0
8,EQUILIBRIO,20.38,20.38,20.38,0.0,19.89,1459.0,95.9,0,50,0,0,45.27,45.27,45.27,34.06,0.75,76.5,1.3,0,0,50,0.0
9,EQUILIBRIO,20.36,20.36,20.36,0.0,19.89,1458.0,95.8,0,50,0,0,45.27,45.27,45.27,34.04,0.75,77.9,1.5,0,0,50,0.0
10,EQUILIBRIO,20.35,20.35,20.35,0.0,19.89,1457.0,95.8,0,50,0,0,45.27,45.27,45.27,34.02,0.75,78.9,1.7,0,0,50,0.0
11,FRENADA_ORIGEN,19.99,5.35,20.34,14.99,19.89,1432.0,94.1,0,49,0,1,37.82,45.27,53.51,33.49,0.74,96.7,2.0,-0.0,0,50,14.99
12,FRENADA_ORIGEN,19.76,0.0,20.33,20.33,19.89,1416.0,93.0,1,49,0,0,22.81,45.27,73.23,33.15,0.73,107.1,2.3,-0.0,1,50,20.33
13,FRENADA_ORIGEN,19.61,0.0,20.33,20.33,19.89,1405.0,92.3,1,49,0,0,11.69,45.27,93.56,32.92,0.73,118.1,2.7,-20.0,1,50,20.33
14,FRENADA_ORIGEN,19.42,0.0,20.33,20.33,19.89,1391.0,91.4,1,49,0,0,5.06,45.27,113.89,32.63,0.72,129.6,3.2,-9.1,1,50,20.33
15,FRENADA_ORIGEN,19.18,0.0,20.33,20.33,19.89,1374.0,90.2,2,48,0,0,3.1,45.27,134.21,32.27,0.71,140.5,3.6,-5.8,2,50,20.33
16,FRENADA_ORIGEN,19.0,0.0,20.32,20.32,19.89,1360.0,89.4,2,48,0,0,3.1,45.27,154.54,31.99,0.71,151.0,4.2,-4.9,2,50,20.33
17,ONDA_ACTIVA,18.87,0.17,20.32,20.15,19.89,1351.0,88.8,1,48,0,1,4.44,45.27,173.49,31.8,0.7,161.3,4.7,-4.9,2,50,20.33
18,DISOLVIENDO,18.76,1.33,20.32,18.99,19.89,1343.0,88.3,0,49,0,1,5.27,45.27,189.94,31.64,0.7,171.4,5.3,-5.7,2,50,20.33
19,DISOLVIENDO,18.67,1.49,20.32,18.83,19.89,1337.0,87.9,0,49,0,1,6.1,45.27,203.89,31.51,0.7,181.2,5.9,-6.7,2,50,20.33
20,DISOLVIENDO,18.61,2.33,20.32,17.99,19.89,1333.0,87.6,0,48,1,1,7.0,45.27,215.37,31.42,0.69,190.9,6.5,-7.7,2,50,20.33
21,DISOLVIENDO,18.57,2.58,20.32,17.74,19.89,1330.0,87.4,0,48,1,1,7.46,45.27,224.41,31.35,0.69,200.4,7.2,-8.7,2,50,20.33
22,DISOLVIENDO,18.54,3.18,20.32,17.14,19.89,1328.0,87.3,0,48,1,1,8.45,45.27,231.11,31.32,0.69,209.7,7.8,-9.7,2,50,20.33
23,DISOLVIENDO,18.54,3.5,20.32,16.82,19.89,1328.0,87.2,0,48,1,1,8.66,45.27,235.62,31.31,0.69,218.8,8.4,-17.1,2,50,20.33
24,DISOLVIENDO,18.54,3.94,20.32,16.38,19.89,1328.0,87.3,0,48,1,1,9.72,45.27,238.15,31.32,0.69,227.9,9.1,-18.4,2,50,20.33
25,DISOLVIENDO,18.56,4.3,20.32,16.02,19.89,1329.0,87.3,0,48,1,1,9.74,45.27,238.99,31.34,0.69,236.7,9.7,-25.0,2,50,20.33
26,DISOLVIENDO,18.59,4.62,21.42,16.8,19.89,1331.0,87.5,0,48,1,1,10.79,45.27,238.43,31.38,0.69,245.4,10.3,-26.3,2,50,20.33
27,DISOLVIENDO,18.62,5.04,22.38,17.34,19.89,1333.0,87.6,0,48,1,1,10.74,45.27,236.78,31.42,0.69,254.0,11.0,-32.1,2,50,20.33
28,DISOLVIENDO,18.65,5.25,23.08,17.83,19.89,1336.0,87.8,0,48,1,1,11.58,45.27,234.32,31.47,0.7,262.4,11.6,-33.2,2,50,20.33
29,DISOLVIENDO,18.68,5.73,23.58,17.84,19.89,1338.0,87.9,0,48,1,1,11.7,45.27,231.27,31.52,0.7,270.7,12.2,-34.0,2,50,20.33
30,DISOLVIENDO,18.72,5.84,23.92,18.08,19.89,1341.0,88.1,0,48,1,1,12.34,45.27,227.81,31.58,0.7,278.8,12.8,-39.2,2,50,20.33
31,DISOLVIENDO,18.75,6.38,24.15,17.77,19.89,1343.0,88.2,0,48,1,1,12.63,45.27,224.08,31.63,0.7,286.9,13.4,-39.7,2,50,20.33
32,DISOLVIENDO,18.79,6.41,24.3,17.88,19.89,1346.0,88.4,0,47,2,1,13.08,45.27,220.17,31.68,0.7,294.7,13.9,-44.2,2,50,20.33
33,DISOLVIENDO,18.82,6.85,24.39,17.55,19.89,1348.0,88.6,0,47,2,1,13.56,45.27,216.13,31.73,0.7,302.5,14.5,-48.1,2,50,20.33
34,DISOLVIENDO,18.86,6.97,24.45,17.48,19.89,1350.0,88.7,0,47,2,1,13.82,45.27,212.02,31.78,0.7,310.1,15.1,-48.4,2,50,20.33
35,DISOLVIENDO,18.89,7.31,24.48,17.17,19.89,1353.0,88.9,0,47,2,1,14.51,45.27,207.87,31.83,0.7,317.6,15.6,-51.8,2,50,20.33
