segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,21.82,21.82,21.82,0.0,17.9,1406.0,102.7,0,0,45,0,50.85,50.85,50.85,24.32,0.48,0.0,0,0,0,0,0.0
2,EQUILIBRIO,22.23,22.23,22.23,0.0,17.9,1433.0,104.6,0,0,45,0,50.85,50.85,50.85,24.73,0.49,0.0,0,0,0,0,0.0
3,EQUILIBRIO,22.53,22.53,22.53,0.0,17.9,1452.0,106.0,0,0,45,0,50.85,50.85,50.85,25.03,0.49,0.0,0,0,0,0,0.0
4,EQUILIBRIO,22.74,22.74,22.74,0.0,17.9,1466.0,107.0,0,0,45,0,50.85,50.85,50.85,25.24,0.5,0.0,0,0,0,0,0.0
5,EQUILIBRIO,22.89,22.89,22.89,0.0,17.9,1475.0,107.7,0,0,45,0,50.85,50.85,50.85,25.39,0.5,0.0,0,0,0,0,0.0
6,EQUILIBRIO,22.99,22.99,22.99,0.0,17.9,1482.0,108.2,0,0,45,0,50.85,50.85,50.85,25.49,0.5,0.0,0,0,0,0,0.0
7,EQUILIBRIO,23.06,23.06,23.06,0.0,17.9,1487.0,108.5,0,0,45,0,50.85,50.85,50.85,25.56,0.5,0.0,0,0,0,0,0.0
8,EQUILIBRIO,23.11,23.11,23.11,0.0,17.9,1490.0,108.8,0,0,45,0,50.85,50.85,50.85,25.61,0.5,0.0,0,0,0,0,0.0
9,EQUILIBRIO,23.15,23.15,23.15,0.0,17.9,1492.0,108.9,0,0,45,0,50.85,50.85,50.85,25.65,0.5,0.0,0,0,0,0,0.0
10,EQUILIBRIO,23.17,23.17,23.17,0.0,17.9,1493.0,109.0,0,0,45,0,50.85,50.85,50.85,25.67,0.5,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,22.89,11.17,23.18,12.02,17.9,1475.0,107.7,0,0,44,1,44.7,50.85,57.46,25.39,0.5,20.2,0,0,0,0,12.02
12,FRENADA_ORIGEN,22.54,0.0,23.2,23.2,17.9,1453.0,106.1,1,1,43,0,29.73,50.85,76.04,25.04,0.49,30.5,0,-0.0,1,1,23.2
13,FRENADA_ORIGEN,22.41,0.0,23.2,23.2,17.9,1444.0,105.4,1,1,43,0,14.63,50.85,99.24,24.91,0.49,41.6,0,-0.0,1,1,23.2
14,FRENADA_ORIGEN,22.23,0.0,23.21,23.21,17.9,1433.0,104.6,1,1,43,0,4.04,50.85,122.44,24.73,0.49,53.9,0,-8.1,1,1,23.21
15,FRENADA_ORIGEN,22.01,0.0,23.21,23.21,17.9,1419.0,103.6,1,2,42,0,-2.06,50.85,145.65,24.51,0.48,66.6,0,-2.1,1,2,23.21
16,ONDA_ACTIVA,21.81,0.0,23.21,23.21,17.9,1406.0,102.6,1,1,42,1,-2.18,50.85,167.49,24.31,0.48,78.8,0,-1.7,1,2,23.21
17,ONDA_ACTIVA,21.64,0.0,23.22,23.22,17.9,1395.0,101.9,1,2,41,1,1.69,50.85,186.83,24.14,0.47,91.8,0,-3.4,1,2,23.22
18,DISOLVIENDO,21.45,0.0,23.22,23.22,17.9,1383.0,100.9,1,1,42,1,2.8,50.85,203.68,23.95,0.47,103.9,0,-5.7,1,2,23.22
19,ONDA_ACTIVA,21.37,1.01,23.22,22.21,17.9,1377.0,100.5,0,3,41,1,4.87,50.85,218.05,23.87,0.47,117.0,0,-7.6,1,3,23.22
20,DISOLVIENDO,21.28,2.51,23.22,20.71,17.9,1372.0,100.2,0,2,42,1,4.41,50.85,229.99,23.78,0.47,129.1,0,-9.1,1,3,23.22
21,DISOLVIENDO,21.24,2.74,23.22,20.48,17.9,1369.0,100.0,0,3,41,1,5.7,50.85,239.59,23.74,0.47,141.0,0.0,-10.3,1,3,23.22
22,DISOLVIENDO,21.24,4.05,23.22,19.17,17.9,1369.0,99.9,0,3,41,1,6.84,50.85,246.98,23.74,0.47,152.0,0.0,-17.4,1,3,23.22
23,DISOLVIENDO,21.26,4.67,23.22,18.55,17.9,1370.0,100.1,0,4,40,1,7.23,50.85,252.39,23.76,0.47,162.5,0.0,-18.7,1,4,23.22
24,DISOLVIENDO,21.31,5.59,23.22,17.63,17.9,1373.0,100.3,0,4,40,1,9.0,50.85,256.07,23.81,0.47,172.6,0.0,-24.8,1,4,23.22
25,DISOLVIENDO,21.37,6.48,23.22,16.74,17.9,1377.0,100.5,0,5,39,1,8.92,50.85,258.33,23.87,0.47,182.0,0.0,-26.1,1,5,23.22
26,DISOLVIENDO,21.44,7.11,23.22,16.11,17.9,1382.0,100.9,0,4,40,1,10.17,50.85,259.48,23.94,0.47,191.1,0.0,-31.3,1,5,23.22
27,DISOLVIENDO,21.52,8.24,23.23,14.99,17.9,1387.0,101.3,0,4,40,1,10.75,50.85,259.77,24.02,0.47,199.4,0.0,-35.9,1,5,23.22
28,DISOLVIENDO,21.6,8.62,23.76,15.14,17.9,1392.0,101.7,0,5,39,1,11.51,50.85,259.46,24.1,0.47,207.5,0.0,-36.8,1,5,23.22
29,DISOLVIENDO,21.69,9.59,24.13,14.53,17.9,1398.0,102.1,0,5,39,1,12.86,50.85,258.7,24.19,0.48,214.9,0.0,-40.8,1,5,23.22
30,DISOLVIENDO,21.78,10.18,24.38,14.2,17.9,1404.0,102.5,0,6,38,1,13.09,50.85,257.65,24.28,0.48,221.9,0.0,-44.5,1,6,23.22
31,DISOLVIENDO,21.86,10.88,24.55,13.67,17.9,1409.0,102.9,0,6,38,1,14.28,50.85,256.39,24.36,0.48,228.3,0.0,0,1,6,23.22
32,DISOLVIENDO,21.94,11.83,24.66,12.83,17.9,1414.0,103.3,0,6,38,1,15.05,50.85,254.99,24.44,0.48,234.1,0.0,0,1,6,23.22
33,DISOLVIENDO,22.02,12.24,24.74,12.51,17.9,1420.0,103.6,0,7,37,1,15.67,50.85,253.5,24.52,0.48,239.6,0.0,0,1,7,23.22
34,DISOLVIENDO,22.1,13.02,24.79,11.77,17.9,1424.0,104.0,0,6,38,1,16.95,50.85,251.95,24.6,0.48,244.5,0.0,0,1,7,23.22
35,DISOLVIENDO,22.17,13.7,24.82,11.13,17.9,1429.0,104.3,0,6,38,1,17.56,50.85,250.36,24.67,0.49,249.1,0.0,0,1,7,23.22
36,DISOLVIENDO,22.23,14.16,24.84,10.69,17.9,1433.0,104.6,0,7,36,2,18.23,50.85,248.75,24.73,0.49,253.2,0.0,0,1,7,23.22
37,DISOLVIENDO,22.29,14.86,24.86,10.0,17.9,1437.0,104.9,0,7,36,2,19.37,50.85,247.11,24.79,0.49,256.8,0.0,0,1,7,23.22
38,DISOLVIENDO,22.34,15.43,24.87,9.43,17.9,1440.0,105.1,0,7,36,2,20.17,50.85,245.47,24.84,0.49,260.2,0.0,0,1,7,23.22
