segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,21.93,21.93,21.93,0.0,15.92,1256.0,103.2,0,0,40,0,57.83,57.83,57.83,24.43,0.42,0.0,0,0,0,0,0.0
2,EQUILIBRIO,22.43,22.43,22.43,0.0,15.92,1285.0,105.5,0,0,40,0,57.83,57.83,57.83,24.93,0.43,0.0,0,0,0,0,0.0
3,EQUILIBRIO,22.79,22.79,22.79,0.0,15.92,1306.0,107.2,0,0,40,0,57.83,57.83,57.83,25.29,0.44,0.0,0,0,0,0,0.0
4,EQUILIBRIO,23.04,23.04,23.04,0.0,15.92,1320.0,108.4,0,0,40,0,57.83,57.83,57.83,25.54,0.44,0.0,0,0,0,0,0.0
5,EQUILIBRIO,23.22,23.22,23.22,0.0,15.92,1330.0,109.3,0,0,40,0,57.83,57.83,57.83,25.72,0.44,0.0,0,0,0,0,0.0
6,EQUILIBRIO,23.34,23.34,23.34,0.0,15.92,1338.0,109.9,0,0,40,0,57.83,57.83,57.83,25.84,0.45,0.0,0,0,0,0,0.0
7,EQUILIBRIO,23.43,23.43,23.43,0.0,15.92,1342.0,110.3,0,0,40,0,57.83,57.83,57.83,25.93,0.45,0.0,0,0,0,0,0.0
8,EQUILIBRIO,23.49,23.49,23.49,0.0,15.92,1346.0,110.5,0,0,40,0,57.83,57.83,57.83,25.99,0.45,0.0,0,0,0,0,0.0
9,EQUILIBRIO,23.53,23.53,23.53,0.0,15.92,1348.0,110.7,0,0,40,0,57.83,57.83,57.83,26.03,0.45,0.0,0,0,0,0,0.0
10,EQUILIBRIO,23.56,23.56,23.56,0.0,15.92,1350.0,110.8,0,0,40,0,57.83,57.83,57.83,26.06,0.45,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,23.36,15.56,23.57,8.02,15.92,1338.0,109.9,0,0,39,1,53.64,57.83,62.24,25.86,0.45,15.6,0,0,0,0,8.02
12,FRENADA_ORIGEN,23.1,7.56,23.59,16.03,15.92,1324.0,108.7,0,0,39,1,43.03,57.83,74.67,25.6,0.44,29.9,0,-0.0,0,0,16.03
13,FRENADA_ORIGEN,22.79,0.0,23.6,23.6,15.92,1306.0,107.2,1,0,39,0,28.11,57.83,95.1,25.29,0.44,40.0,0,-0.0,1,0,23.6
14,FRENADA_ORIGEN,22.63,0.0,23.6,23.6,15.92,1297.0,106.5,1,1,38,0,14.53,57.83,118.7,25.13,0.43,50.7,0,-0.0,1,1,23.6
15,FRENADA_ORIGEN,22.43,0.0,23.61,23.61,15.92,1285.0,105.6,1,1,38,0,5.44,57.83,142.3,24.93,0.43,62.4,0,-7.5,1,1,23.61
16,DISOLVIENDO,22.24,2.5,23.61,21.11,15.92,1274.0,104.7,0,2,37,1,2.23,57.83,164.53,24.74,0.43,74.0,0,-4.3,1,2,23.61
17,DISOLVIENDO,22.09,1.41,23.61,22.2,15.92,1266.0,104.0,0,2,37,1,4.78,57.83,184.27,24.59,0.43,85.3,0,-5.0,1,2,23.61
18,DISOLVIENDO,21.99,3.2,23.61,20.41,15.92,1260.0,103.5,0,2,37,1,7.48,57.83,201.51,24.49,0.42,96.0,0,-6.2,1,2,23.61
19,DISOLVIENDO,21.94,4.67,23.61,18.94,15.92,1257.0,103.3,0,2,37,1,7.0,57.83,216.28,24.44,0.42,105.5,0,-7.3,1,2,23.61
20,DISOLVIENDO,21.93,5.41,23.61,18.21,15.92,1256.0,103.2,0,2,37,1,8.62,57.83,228.61,24.43,0.42,114.4,0,-8.3,1,2,23.61
21,DISOLVIENDO,21.94,6.89,23.61,16.72,15.92,1257.0,103.3,0,3,36,1,10.32,57.83,238.6,24.44,0.42,122.7,0,-9.1,1,3,23.61
22,DISOLVIENDO,21.99,7.78,23.61,15.84,15.92,1260.0,103.5,0,3,36,1,10.54,57.83,246.39,24.49,0.42,130.3,0,-15.6,1,3,23.61
23,DISOLVIENDO,22.05,8.68,23.61,14.94,15.92,1263.0,103.8,0,4,35,1,12.14,57.83,252.19,24.55,0.42,137.4,0,-21.3,1,4,23.61
24,DISOLVIENDO,22.13,10.07,23.61,13.54,15.92,1268.0,104.1,0,4,35,1,13.31,57.83,256.27,24.63,0.43,143.6,0,-22.4,1,4,23.61
25,DISOLVIENDO,22.22,10.62,23.61,12.99,15.92,1273.0,104.6,0,4,35,1,13.87,57.83,258.92,24.72,0.43,149.4,0,-27.9,1,4,23.61
26,DISOLVIENDO,22.32,11.56,23.61,12.06,15.92,1279.0,105.0,0,4,35,1,15.41,57.83,260.46,24.82,0.43,154.6,0,0,1,4,23.61
27,DISOLVIENDO,22.41,12.81,23.61,10.81,15.92,1284.0,105.5,0,4,35,1,16.69,57.83,261.15,24.91,0.43,159.2,0,0,1,4,23.61
28,DISOLVIENDO,22.51,13.26,23.76,10.5,15.92,1290.0,105.9,0,4,35,1,17.22,57.83,261.22,25.01,0.43,163.4,0,0,1,4,23.61
29,DISOLVIENDO,22.6,14.06,24.13,10.07,15.92,1295.0,106.3,0,4,35,1,18.49,57.83,260.85,25.1,0.43,167.0,0,0,1,4,23.61
30,DISOLVIENDO,22.68,15.06,24.39,9.33,15.92,1300.0,106.7,0,5,34,1,20.17,57.83,260.19,25.18,0.44,170.1,0,0,1,5,23.61
31,DISOLVIENDO,22.76,15.6,24.56,8.96,15.92,1304.0,107.1,0,5,34,1,20.71,57.83,259.32,25.26,0.44,172.9,0,0,1,5,23.61
32,DISOLVIENDO,22.82,16.14,24.67,8.54,15.92,1308.0,107.4,0,5,34,1,21.5,57.83,258.3,25.32,0.44,175.4,0,0,1,5,23.61
33,DISOLVIENDO,22.88,16.81,24.75,7.94,15.92,1311.0,107.7,0,5,34,1,22.62,57.83,257.2,25.38,0.44,177.4,0,0,1,5,23.61
34,DISOLVIENDO,22.93,17.5,24.8,7.3,15.92,1314.0,107.9,0,4,35,1,23.89,57.83,256.03,25.43,0.44,179.2,0,0,1,5,23.61
35,DISOLVIENDO,22.98,17.84,24.84,6.99,15.92,1317.0,108.1,0,5,34,1,24.82,57.83,254.83,25.48,0.44,180.9,0,0,1,5,23.61
