segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,21.76,21.76,21.76,0.0,15.92,1247.0,102.4,0,0,40,0,57.83,57.83,57.83,29.12,0.5,0.0,0,0,0,0,0.0
2,EQUILIBRIO,22.14,22.14,22.14,0.0,15.92,1268.0,104.2,0,0,40,0,57.83,57.83,57.83,29.56,0.51,0.0,0,0,0,0,0.0
3,EQUILIBRIO,22.4,22.4,22.4,0.0,15.92,1284.0,105.4,0,0,40,0,57.83,57.83,57.83,29.88,0.52,0.0,0,0,0,0,0.0
4,EQUILIBRIO,22.59,22.59,22.59,0.0,15.92,1294.0,106.3,0,0,40,0,57.83,57.83,57.83,30.11,0.52,0.0,0,0,0,0,0.0
5,EQUILIBRIO,22.73,22.73,22.73,0.0,15.92,1302.0,106.9,0,0,40,0,57.83,57.83,57.83,30.27,0.52,0.0,0,0,0,0,0.0
6,EQUILIBRIO,22.82,22.82,22.82,0.0,15.92,1307.0,107.4,0,0,40,0,57.83,57.83,57.83,30.38,0.53,0.0,0,0,0,0,0.0
7,EQUILIBRIO,22.88,22.88,22.88,0.0,15.92,1311.0,107.7,0,0,40,0,57.83,57.83,57.83,30.46,0.53,0.0,0,0,0,0,0.0
8,EQUILIBRIO,22.93,22.93,22.93,0.0,15.92,1314.0,107.9,0,0,40,0,57.83,57.83,57.83,30.51,0.53,0.0,0,0,0,0,0.0
9,EQUILIBRIO,22.96,22.96,22.96,0.0,15.92,1315.0,108.0,0,0,40,0,57.83,57.83,57.83,30.55,0.53,0.0,0,0,0,0,0.0
10,EQUILIBRIO,22.98,22.98,22.98,0.0,15.92,1317.0,108.1,0,0,40,0,57.83,57.83,57.83,30.57,0.53,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,22.58,7.98,22.99,15.01,15.92,1294.0,106.2,0,0,39,1,50.11,57.83,66.09,30.09,0.52,256.0,0,-0.0,0,0,15.01
12,FRENADA_ORIGEN,22.26,0.0,23.0,23.0,15.92,1275.0,104.8,1,1,38,0,32.78,57.83,87.4,29.71,0.51,399.7,0,-0.0,1,1,23.0
13,FRENADA_ORIGEN,22.11,0.0,23.01,23.01,15.92,1267.0,104.1,1,1,38,0,18.26,57.83,110.4,29.53,0.51,511.4,0,-0.0,1,1,23.01
14,FRENADA_ORIGEN,21.92,0.0,23.01,23.01,15.92,1256.0,103.2,1,2,37,0,8.24,57.83,133.42,29.31,0.51,629.1,0,-11.9,1,2,23.01
15,FRENADA_ORIGEN,21.69,0.0,23.02,23.02,15.92,1243.0,102.1,1,2,37,0,2.72,57.83,156.43,29.02,0.5,754.5,0,-5.6,1,2,23.02
16,FRENADA_ORIGEN,21.43,0.0,23.02,23.02,15.92,1228.0,100.8,2,1,37,0,1.65,57.83,179.45,28.71,0.5,876.1,0,-4.0,2,2,23.02
17,ONDA_ACTIVA,21.27,0.0,23.02,23.02,15.92,1219.0,100.1,1,2,36,1,3.03,57.83,201.1,28.52,0.49,999.9,0,-4.1,2,2,23.02
18,ONDA_ACTIVA,21.12,1.06,23.02,21.96,15.92,1210.0,99.4,0,2,37,1,5.11,57.83,220.25,28.35,0.49,1124.0,0.1,-5.2,2,2,23.02
19,DISOLVIENDO,21.03,1.84,23.02,21.18,15.92,1205.0,99.0,0,3,36,1,5.22,57.83,236.9,28.24,0.49,1240.7,0.5,-6.3,2,3,23.02
20,DISOLVIENDO,20.98,2.59,23.02,20.43,15.92,1202.0,98.7,0,3,36,1,7.14,57.83,251.08,28.17,0.49,1353.1,1.0,-7.4,2,3,23.02
21,DISOLVIENDO,20.95,4.01,23.02,19.02,15.92,1200.0,98.6,0,4,35,1,7.4,57.83,262.82,28.14,0.49,1461.2,1.6,-8.3,2,4,23.02
22,DISOLVIENDO,20.95,4.21,23.02,18.81,15.92,1200.0,98.6,0,4,35,1,8.34,57.83,272.22,28.14,0.49,1564.9,2.2,-9.2,2,4,23.02
23,DISOLVIENDO,20.98,5.21,23.02,17.82,15.92,1202.0,98.7,0,4,35,1,9.86,57.83,279.42,28.17,0.49,1665.3,2.8,-16.1,2,4,23.02
24,DISOLVIENDO,21.02,5.87,23.02,17.15,15.92,1204.0,98.9,0,5,34,1,9.94,57.83,284.64,28.23,0.49,1760.7,3.3,-17.3,2,5,23.02
25,DISOLVIENDO,21.08,6.47,23.02,16.55,15.92,1208.0,99.2,0,4,35,1,11.37,57.83,288.13,28.3,0.49,1852.6,3.7,-23.4,2,5,23.02
26,DISOLVIENDO,21.15,7.61,23.02,15.41,15.92,1212.0,99.6,0,5,34,1,12.0,57.83,290.2,28.39,0.49,1940.1,4.0,-24.5,2,5,23.02
27,DISOLVIENDO,21.23,7.88,23.02,15.15,15.92,1217.0,99.9,0,5,34,1,12.66,57.83,291.16,28.48,0.49,2022.6,4.1,-29.9,2,5,23.02
28,DISOLVIENDO,21.32,8.67,23.22,14.55,15.92,1221.0,100.3,0,5,34,1,14.32,57.83,291.27,28.58,0.49,2101.7,4.1,-34.7,2,5,23.02
29,DISOLVIENDO,21.4,9.49,23.75,14.26,15.92,1226.0,100.7,0,6,33,1,14.5,57.83,290.77,28.68,0.5,2175.2,4.1,-35.6,2,6,23.02
30,DISOLVIENDO,21.49,9.9,24.11,14.21,15.92,1231.0,101.1,0,6,33,1,15.42,57.83,289.83,28.79,0.5,2244.9,4.1,-39.9,2,6,23.02
31,DISOLVIENDO,21.57,10.75,24.37,13.62,15.92,1236.0,101.5,0,6,33,1,17.11,57.83,288.6,28.88,0.5,2310.4,4.1,0,2,6,23.02
32,DISOLVIENDO,21.65,11.37,24.54,13.17,15.92,1240.0,101.9,0,7,32,1,17.19,57.83,287.16,28.98,0.5,2370.3,4.1,0,2,7,23.02
