segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,coches_parados,coches_atasco,coches_frenando,coches_normal,coches_acelerando,coches_crucero,gap_min,gap_medio,gap_max,accel_media,coches_acelerando_count,coches_frenando_count,max_stopped_acumulado,max_v_diff_acumulado
1,ESTABILIZANDO,1.25,1.25,1.25,0.0,0,27,0,0,0,0,88.08,88.08,88.08,1.25,27,0,0,0
2,ESTABILIZANDO,2.5,2.5,2.5,0.0,0,27,0,0,0,0,88.08,88.08,88.08,1.25,27,0,0,0
3,ESTABILIZANDO,3.75,3.75,3.75,0.0,0,27,0,0,0,0,88.08,88.08,88.08,1.25,27,0,0,0
4,ESTABILIZANDO,5.0,5.0,5.0,0.0,0,27,0,0,0,0,88.08,88.08,88.08,1.25,27,0,0,0
5,ESTABILIZANDO,6.25,6.25,6.25,0.0,0,27,0,0,0,0,88.08,88.08,88.08,1.25,27,0,0,0
6,ESTABILIZANDO,7.5,7.5,7.5,0.0,0,0,0,0,27,0,88.08,88.08,88.08,1.25,27,0,0,0
7,FLUJO_SINCRO,9.92,9.92,9.92,0.0,0,0,0,0,27,0,88.08,88.08,88.08,2.4,27,0,0,0
8,FLUJO_SINCRO,12.27,12.27,12.27,0.0,0,0,0,0,27,0,88.08,88.08,88.08,2.3,27,0,0,0.0
9,FLUJO_SINCRO,14.49,14.49,14.49,0.0,0,0,0,0,27,0,88.08,88.08,88.08,2.14,27,0,0,0.0
10,FLUJO_SINCRO,16.52,16.52,16.52,0.0,0,0,0,0,27,0,88.08,88.08,88.08,1.93,27,0,0,0.0
11,FRENADA_ORIGEN,17.79,4.52,18.31,13.79,0,1,0,1,25,0,80.59,88.08,95.69,1.13,26,1,0,13.79
12,FRENADA_ORIGEN,19.01,0.0,19.82,19.82,1,0,0,1,25,0,63.28,88.08,114.22,1.24,25,1,1,19.82
13,FRENADA_ORIGEN,20.08,0.0,21.04,21.04,1,0,0,2,24,0,46.25,88.08,134.74,0.93,25,1,1,21.04
14,FRENADA_ORIGEN,20.85,0.0,21.99,21.99,1,0,1,25,0,0,31.18,88.08,156.32,0.64,25,1,1,21.99
15,FRENADA_ORIGEN,21.35,0.0,22.7,22.7,1,0,1,25,0,0,19.06,88.08,178.72,0.39,24,2,1,22.7
16,DISOLVIENDO,21.75,2.5,23.22,20.72,0,1,1,25,0,0,11.64,88.08,200.35,0.34,25,2,1,22.7
17,DISOLVIENDO,22.04,5.0,23.58,18.59,0,2,1,24,0,0,8.84,88.08,219.9,0.25,24,3,1,22.7
18,DISOLVIENDO,22.27,6.25,23.84,17.59,0,2,1,24,0,0,9.11,88.08,237.27,0.2,25,2,1,22.7
19,DISOLVIENDO,22.45,7.37,24.02,16.65,0,1,0,3,1,22,11.15,88.08,252.36,0.17,25,2,1,22.7
20,DISOLVIENDO,22.62,9.04,24.14,15.1,0,0,0,3,2,22,14.17,88.08,265.17,0.16,24,3,1,22.7
21,DISOLVIENDO,22.78,10.95,24.22,13.28,0,0,0,3,2,22,17.02,88.08,275.74,0.16,24,3,1,22.7
22,DISOLVIENDO,22.94,12.4,24.28,11.88,0,0,0,3,2,22,16.84,88.08,284.17,0.16,25,2,1,22.7
23,DISOLVIENDO,23.1,13.26,24.32,11.06,0,0,0,2,3,22,18.0,88.08,290.65,0.16,24,3,1,22.7
24,DISOLVIENDO,23.25,14.45,24.34,9.89,0,0,0,2,3,22,19.97,88.08,295.45,0.15,24,3,1,22.7
25,DISOLVIENDO,23.4,15.77,24.36,8.59,0,0,0,2,3,22,22.35,88.08,298.84,0.14,24,3,1,22.7
26,DISOLVIENDO,23.53,17.07,24.37,7.3,0,0,0,3,2,22,24.86,88.08,301.11,0.12,25,2,1,22.7
27,DISOLVIENDO,23.64,18.1,24.38,6.28,0,0,0,4,1,22,27.24,88.08,302.55,0.11,24,3,1,22.7
28,DISOLVIENDO,23.74,18.6,24.38,5.79,0,0,0,6,0,21,27.72,88.08,303.38,0.09,24,3,1,22.7
