segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,coches_parados,coches_atasco,coches_frenando,coches_normal,coches_acelerando,coches_crucero,gap_min,gap_medio,gap_max,accel_media,coches_acelerando_count,coches_frenando_count,max_stopped_acumulado,max_v_diff_acumulado
1,ESTABILIZANDO,1.0,1.0,1.0,0.0,0,25,0,0,0,0,95.53,95.53,95.53,1.0,25,0,0,0
2,ESTABILIZANDO,2.0,2.0,2.0,0.0,0,25,0,0,0,0,95.53,95.53,95.53,1.0,25,0,0,0
3,ESTABILIZANDO,3.0,3.0,3.0,0.0,0,25,0,0,0,0,95.53,95.53,95.53,1.0,25,0,0,0
4,ESTABILIZANDO,4.0,4.0,4.0,0.0,0,25,0,0,0,0,95.53,95.53,95.53,1.0,25,0,0,0
5,ESTABILIZANDO,5.0,5.0,5.0,0.0,0,25,0,0,0,0,95.53,95.53,95.53,1.0,25,0,0,0
6,ESTABILIZANDO,6.0,6.0,6.0,0.0,0,25,0,0,0,0,95.53,95.53,95.53,1.0,25,0,0,0
7,FLUJO_SINCRO,7.93,7.93,7.93,0.0,0,0,0,0,25,0,95.53,95.53,95.53,1.91,25,0,0,0.0
8,FLUJO_SINCRO,9.79,9.79,9.79,0.0,0,0,0,0,25,0,95.53,95.53,95.53,1.82,25,0,0,0.0
9,FLUJO_SINCRO,11.55,11.55,11.55,0.0,0,0,0,0,25,0,95.53,95.53,95.53,1.7,25,0,0,0.0
10,FLUJO_SINCRO,13.16,13.16,13.16,0.0,0,0,0,0,25,0,95.53,95.53,95.53,1.53,25,0,0,0.0
11,FRENADA_ORIGEN,14.19,5.16,14.57,9.41,0,1,0,1,23,0,90.39,95.53,100.73,0.93,24,1,0,9.41
12,FRENADA_ORIGEN,15.1,0.0,15.76,15.76,1,0,0,1,23,0,77.03,95.53,114.59,1.0,24,0,1,15.76
13,FRENADA_ORIGEN,15.97,0.0,16.73,16.73,1,0,0,24,0,0,62.29,95.53,130.91,0.77,23,1,1,16.73
14,ONDA_ACTIVA,16.63,0.2,17.48,17.28,1,0,0,24,0,0,48.18,95.53,148.04,0.63,24,1,1,17.28
15,DISOLVIENDO,17.16,2.2,18.04,15.84,0,1,0,24,0,0,36.48,95.53,164.55,0.47,24,1,1,17.28
16,DISOLVIENDO,17.56,4.2,18.45,14.25,0,1,0,24,0,0,28.05,95.53,179.52,0.34,23,2,1,17.28
17,DISOLVIENDO,17.85,6.19,18.74,12.55,0,0,0,24,1,0,22.73,95.53,192.85,0.25,23,2,1,17.28
18,DISOLVIENDO,18.07,8.15,18.94,10.79,0,0,0,24,1,0,20.14,95.53,204.43,0.2,23,2,1,17.28
19,DISOLVIENDO,18.25,9.72,19.09,9.37,0,0,0,3,1,21,19.7,95.53,214.25,0.17,24,1,1,17.28
20,DISOLVIENDO,18.41,10.22,19.18,8.96,0,0,0,3,1,21,20.82,95.53,222.31,0.15,23,2,1,17.28
21,DISOLVIENDO,18.54,11.05,19.25,8.2,0,0,0,3,1,21,22.99,95.53,228.71,0.13,23,2,1,17.28
22,DISOLVIENDO,18.66,12.05,19.3,7.25,0,0,0,2,2,21,25.79,95.53,233.59,0.11,23,2,1,17.28
23,DISOLVIENDO,18.77,13.09,19.33,6.23,0,0,0,2,2,21,28.91,95.53,237.16,0.1,23,2,1,17.28
24,DISOLVIENDO,18.86,14.1,19.35,5.24,0,0,0,4,0,21,32.11,95.53,239.65,0.08,23,2,1,17.28
25,DISOLVIENDO,18.94,15.01,19.36,4.35,0,0,0,4,0,21,35.22,95.53,241.29,0.07,23,2,1,17.28
26,DISOLVIENDO,19.0,15.6,19.37,3.77,0,0,0,4,0,21,36.52,95.53,242.28,0.06,23,2,1,17.28
27,DISOLVIENDO,19.05,15.84,19.38,3.54,0,0,0,3,0,22,36.96,95.53,242.81,0.05,23,2,1,17.28
28,DISOLVIENDO,19.1,16.1,19.38,3.28,0,0,0,3,0,22,37.71,95.53,243.0,0.04,22,3,1,17.28
29,DISOLVIENDO,19.13,16.36,19.5,3.13,0,0,0,3,0,22,38.66,95.53,242.97,0.03,22,3,1,17.28
