segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,car_mean_velocity,truck_mean_velocity,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,max_parados,max_en_atasco,max_v_diff,num_cars,num_trucks,truck_pct
0,LIBRE,19.178064557766305,17.038626313378003,21.33377096924064,4.295144655862636,21.302579620816083,17.053549494716528,15.917230401910068,1098.9420200232184,85.23584247896136,0,0,20,20,62.400684092484425,62.825,63.25203423706,26.691451931445435,0.42485399015432446,0,0,4.295144655862636,20,20,0.5
0,LIBRE,19.626641037215308,17.38092642609502,22.050532935902286,4.6696065098072665,21.717345031371313,17.535937043059302,15.917230401910068,1124.6463626577813,87.22951572095693,0,0,32,8,58.22115553389676,62.825,67.60779443251045,27.260625297980134,0.43391365376808805,0,0,4.6696065098072665,20,20,0.5
2,LIBRE,19.94632686664203,17.65341315203155,22.577076506413032,4.923663354381482,21.964262599163884,17.928391134120172,15.917230401910068,1142.9650094693402,88.65034162952013,0,0,36,4,54.22450071213029,62.825,72.04944174363106,27.67842465017207,0.4405638623186959,0,0,4.923663354381482,20,20,0.5
3,LIBRE,20.164375926432555,17.8694020366192,22.954830255432665,5.085428218813465,22.086632621853568,18.242119231011543,15.917230401910068,1155.4596631143208,89.61944856192247,0,0,40,0,50.479814207448044,62.825,76.50465027197379,27.974905734185437,0.4452830200427447,0,0,5.085428218813465,20,20,0.5
4,LIBRE,20.304269644412486,18.040354516906724,23.22030400580611,5.179949488899386,22.11928845865776,18.48925083016721,15.917230401910068,1163.4758570614397,90.24119841961105,0,0,39,1,47.028872377016796,62.825,80.92945582186178,28.176582351954288,0.44849315323444944,0,0,5.179949488899386,20,20,0.5
4,LIBRE,20.385166205698912,18.175764048862963,23.403119128198508,5.227355079335545,22.08875211583368,18.68158029556414,15.917230401910068,1168.1113941984256,90.60073869199516,0,0,36,4,43.893821396514795,62.825,85.30018558031281,28.305561279589945,0.4505461405426175,0,0,5.227355079335545,20,20,0.5
5,LIBRE,20.422204148467877,18.283295560814704,23.52598507212756,5.242689511312857,22.01462399349974,18.82978430343602,15.917230401910068,1170.2337434856245,90.76535177096834,0,0,32,8,41.08275664141138,62.825,89.6063583725745,28.379650224326884,0.4517254313462297,0,0,5.242689511312857,20,20,0.5
6,LIBRE,20.42713866901911,18.36903657852981,23.605615209325524,5.236578630795716,21.911222819676812,18.943054518361414,15.917230401910068,1170.5165015275577,90.78728297341827,0,0,28,12,38.59342292117708,62.825,93.84524819349997,28.41290229860947,0.4522547122739271,0,0,5.242689511312857,20,20,0.5
7,LIBRE,20.40901569283323,18.437772893295616,23.653922486311174,5.216149593015558,21.789005481212296,19.02902590445416,15.917230401910068,1169.4780182124891,90.70673641259212,0,0,28,12,36.41564207371903,62.825,98.01809609737688,28.41627216894677,0.4523083512765104,0,0,5.242689511312857,20,20,0.5
8,LIBRE,20.37475709034161,18.4932445270581,23.679156203670928,5.185911676612829,21.655633771130375,19.09388040955284,15.917230401910068,1167.5149307637055,90.55447595707382,0,0,28,12,34.533055073305604,62.825,102.12765102538651,28.39822719272982,0.4520211252324683,0,0,5.242689511312857,20,20,0.5
9,ATASCO,20.329626641333306,18.53836474285978,23.686848445294878,5.148483702435097,21.516719944987184,19.142533337679424,15.917230401910068,1164.928864445681,90.35389618370358,0,5,23,12,32.92458906658703,62.825,106.17666326546248,28.365259975753162,0.45149637844414103,0,5,5.242689511312857,20,20,0.5
10,ATASCO,19.973072874492185,11.457435282330618,23.68054741913364,12.223112136803021,20.778914514908227,19.167231234076144,15.917230401910068,1144.4976099987564,88.76921277552083,0,5,22,13,31.56585714546145,62.825,110.16700796403268,28.01488068301122,0.44591931051350925,0,5,12.223112136803021,20,20,0.5
