segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,22.03,22.03,22.03,0.0,13.93,1104.0,103.6,0,0,0,35,66.81,66.81,66.81,24.53,0.37,0.0,0,0,0,0,0.0
2,EQUILIBRIO,22.6,22.6,22.6,0.0,13.93,1133.0,106.3,0,0,0,35,66.81,66.81,66.81,25.1,0.38,0.0,0,0,0,0,0.0
3,EQUILIBRIO,23.01,23.01,23.01,0.0,13.93,1154.0,108.3,0,0,0,35,66.81,66.81,66.81,25.51,0.38,0.0,0,0,0,0,0.0
4,EQUILIBRIO,23.3,23.3,23.3,0.0,13.93,1168.0,109.7,0,0,0,35,66.81,66.81,66.81,25.8,0.39,0.0,0,0,0,0,0.0
5,EQUILIBRIO,23.51,23.51,23.51,0.0,13.93,1179.0,110.6,0,0,0,35,66.81,66.81,66.81,26.01,0.39,0.0,0,0,0,0,0.0
6,EQUILIBRIO,23.65,23.65,23.65,0.0,13.93,1186.0,111.3,0,0,0,35,66.81,66.81,66.81,26.15,0.39,0.0,0,0,0,0,0.0
7,EQUILIBRIO,23.75,23.75,23.75,0.0,13.93,1191.0,111.8,0,0,0,35,66.81,66.81,66.81,26.25,0.39,0.0,0,0,0,0,0.0
8,EQUILIBRIO,23.81,23.81,23.81,0.0,13.93,1194.0,112.1,0,0,0,35,66.81,66.81,66.81,26.31,0.39,0.0,0,0,0,0,0.0
9,EQUILIBRIO,23.86,23.86,23.86,0.0,13.93,1196.0,112.3,0,0,0,35,66.81,66.81,66.81,26.36,0.39,0.0,0,0,0,0,0.0
10,EQUILIBRIO,23.89,23.89,23.89,0.0,13.93,1198.0,112.4,0,0,0,35,66.81,66.81,66.81,26.39,0.4,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,23.54,11.89,23.91,12.02,13.93,1180.0,110.8,0,0,1,34,60.48,66.81,73.42,26.04,0.39,18.6,0,0,0,0,12.02
12,FRENADA_ORIGEN,23.11,0.0,23.93,23.93,13.93,1159.0,108.7,1,0,2,32,44.41,66.81,92.04,25.61,0.38,28.5,0,-0.0,1,0,23.93
13,FRENADA_ORIGEN,22.96,0.0,23.94,23.94,13.93,1151.0,108.1,1,0,2,32,27.36,66.81,115.97,25.46,0.38,38.1,0,-0.0,1,0,23.94
