segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,21.61,21.61,21.61,0.0,17.9,1393.0,101.7,0,0,45,0,50.85,50.85,50.85,28.93,0.57,0.0,0,0,0,0,0.0
2,EQUILIBRIO,21.86,21.86,21.86,0.0,17.9,1409.0,102.9,0,0,45,0,50.85,50.85,50.85,29.23,0.57,0.0,0,0,0,0,0.0
3,EQUILIBRIO,22.04,22.04,22.04,0.0,17.9,1421.0,103.7,0,0,45,0,50.85,50.85,50.85,29.45,0.58,0.0,0,0,0,0,0.0
4,EQUILIBRIO,22.17,22.17,22.17,0.0,17.9,1429.0,104.3,0,0,45,0,50.85,50.85,50.85,29.61,0.58,0.0,0,0,0,0,0.0
5,EQUILIBRIO,22.26,22.26,22.26,0.0,17.9,1435.0,104.8,0,0,45,0,50.85,50.85,50.85,29.72,0.58,0.0,0,0,0,0,0.0
6,EQUILIBRIO,22.33,22.33,22.33,0.0,17.9,1439.0,105.1,0,0,45,0,50.85,50.85,50.85,29.79,0.59,0.0,0,0,0,0,0.0
7,EQUILIBRIO,22.37,22.37,22.37,0.0,17.9,1442.0,105.3,0,0,45,0,50.85,50.85,50.85,29.84,0.59,0.0,0,0,0,0,0.0
8,EQUILIBRIO,22.4,22.4,22.4,0.0,17.9,1444.0,105.4,0,0,45,0,50.85,50.85,50.85,29.88,0.59,0.0,0,0,0,0,0.0
9,EQUILIBRIO,22.42,22.42,22.42,0.0,17.9,1445.0,105.5,0,0,45,0,50.85,50.85,50.85,29.91,0.59,0.0,0,0,0,0,0.0
10,EQUILIBRIO,22.44,22.44,22.44,0.0,17.9,1446.0,105.6,0,0,45,0,50.85,50.85,50.85,29.93,0.59,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,21.99,4.44,22.45,18.01,17.9,1418.0,103.5,0,0,44,1,41.77,50.85,60.76,29.39,0.58,17.9,0,-0.0,0,0,18.01
12,FRENADA_ORIGEN,21.78,0.0,22.46,22.46,17.9,1404.0,102.5,1,1,43,0,24.38,50.85,82.94,29.13,0.57,28.2,0,-0.0,1,1,22.46
13,FRENADA_ORIGEN,21.63,0.0,22.46,22.46,17.9,1394.0,101.8,1,2,42,0,11.24,50.85,105.4,28.96,0.57,39.4,0,-0.0,1,2,22.46
14,FRENADA_ORIGEN,21.44,0.0,22.46,22.46,17.9,1382.0,100.9,1,2,42,0,2.59,50.85,127.86,28.73,0.56,51.5,0,-6.8,1,2,22.46
15,FRENADA_ORIGEN,21.2,0.0,22.47,22.47,17.9,1366.0,99.8,1,3,41,0,-1.56,50.85,150.33,28.44,0.56,63.5,0.0,-2.5,1,3,22.47
16,FRENADA_ORIGEN,20.97,0.0,22.47,22.47,17.9,1351.0,98.7,2,2,41,0,-1.85,50.85,172.8,28.16,0.55,75.5,0.1,-1.9,2,3,22.47
17,FRENADA_ORIGEN,20.74,0.0,22.47,22.47,17.9,1337.0,97.6,2,3,40,0,-1.85,50.85,195.26,27.88,0.55,87.5,0.2,-1.6,2,3,22.47
18,ONDA_ACTIVA,20.56,0.0,22.47,22.47,17.9,1326.0,96.8,1,3,40,1,-0.48,50.85,216.36,27.68,0.54,99.3,0.3,-2.0,2,3,22.47
19,ONDA_ACTIVA,20.39,0.0,22.47,22.47,17.9,1314.0,95.9,2,3,39,1,3.4,50.85,234.95,27.47,0.54,111.0,0.5,-3.4,2,3,22.47
20,ONDA_ACTIVA,20.26,0.42,22.47,22.05,17.9,1306.0,95.3,1,3,40,1,3.98,50.85,251.06,27.31,0.54,122.6,0.7,-5.0,2,3,22.47
