segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,26.32,26.32,26.32,0.0,13.93,1320.0,103.2,0,0,0,35,66.81,66.81,66.81,23.06,0.35,0.0,0,0,0,0,0.0
2,EQUILIBRIO,26.97,26.97,26.97,0.0,13.93,1352.0,105.8,0,0,0,35,66.81,66.81,66.81,23.57,0.35,0.0,0,0,0,0,0.0
3,EQUILIBRIO,27.46,27.46,27.46,0.0,13.93,1377.0,107.7,0,0,0,35,66.81,66.81,66.81,23.97,0.36,0.0,0,0,0,0,0.0
4,EQUILIBRIO,27.84,27.84,27.84,0.0,13.93,1395.0,109.2,0,0,0,35,66.81,66.81,66.81,24.27,0.36,0.0,0,0,0,0,0.0
5,EQUILIBRIO,28.11,28.11,28.11,0.0,13.93,1409.0,110.3,0,0,0,35,66.81,66.81,66.81,24.49,0.37,0.0,0,0,0,0,0.0
6,EQUILIBRIO,28.32,28.32,28.32,0.0,13.93,1420.0,111.1,0,0,0,35,66.81,66.81,66.81,24.66,0.37,0.0,0,0,0,0,0.0
7,EQUILIBRIO,28.47,28.47,28.47,0.0,13.93,1427.0,111.7,0,0,0,35,66.81,66.81,66.81,24.78,0.37,0.0,0,0,0,0,0.0
8,EQUILIBRIO,28.58,28.58,28.58,0.0,13.93,1433.0,112.1,0,0,0,35,66.81,66.81,66.81,24.87,0.37,0.0,0,0,0,0,0.0
9,EQUILIBRIO,28.67,28.67,28.67,0.0,13.93,1437.0,112.4,0,0,0,35,66.81,66.81,66.81,24.93,0.37,0.0,0,0,0,0,0.0
10,EQUILIBRIO,28.72,28.72,28.72,0.0,13.93,1440.0,112.6,0,0,0,35,66.81,66.81,66.81,24.98,0.37,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,28.3,13.72,28.77,15.04,13.93,1419.0,111.0,0,0,1,34,59.01,66.81,75.08,24.64,0.37,29.7,0,0,0,0,15.04
