segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,17.38,17.38,17.38,0.0,15.92,996.0,102.2,0,0,40,0,57.83,57.83,57.83,30.07,0.52,0.0,0,0,0,0,0.0
2,EQUILIBRIO,17.66,17.66,17.66,0.0,15.92,1012.0,103.9,0,0,40,0,57.83,57.83,57.83,30.49,0.53,0.0,0,0,0,0,0.0
3,EQUILIBRIO,17.85,17.85,17.85,0.0,15.92,1023.0,105.0,0,0,40,0,57.83,57.83,57.83,30.78,0.53,0.0,0,0,0,0,0.0
4,EQUILIBRIO,17.99,17.99,17.99,0.0,15.92,1031.0,105.9,0,0,40,0,57.83,57.83,57.83,30.99,0.54,0.0,0,0,0,0,0.0
5,EQUILIBRIO,18.09,18.09,18.09,0.0,15.92,1037.0,106.4,0,0,40,0,57.83,57.83,57.83,31.14,0.54,0.0,0,0,0,0,0.0
6,EQUILIBRIO,18.16,18.16,18.16,0.0,15.92,1041.0,106.8,0,0,40,0,57.83,57.83,57.83,31.24,0.54,0.0,0,0,0,0,0.0
7,EQUILIBRIO,18.21,18.21,18.21,0.0,15.92,1043.0,107.1,0,0,40,0,57.83,57.83,57.83,31.32,0.54,0.0,0,0,0,0,0.0
8,EQUILIBRIO,18.24,18.24,18.24,0.0,15.92,1045.0,107.3,0,0,40,0,57.83,57.83,57.83,31.37,0.54,0.0,0,0,0,0,0.0
9,EQUILIBRIO,18.27,18.27,18.27,0.0,15.92,1047.0,107.4,0,0,40,0,57.83,57.83,57.83,31.4,0.54,0.0,0,0,0,0,0.0
10,EQUILIBRIO,18.28,18.28,18.28,0.0,15.92,1048.0,107.5,0,0,40,0,57.83,57.83,57.83,31.42,0.54,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,18.03,8.28,18.29,10.01,15.92,1033.0,106.0,0,0,39,1,52.57,57.83,63.34,31.04,0.54,11.1,0,-0.0,0,0,10.01
12,FRENADA_ORIGEN,17.75,0.0,18.3,18.3,15.92,1017.0,104.4,1,0,39,0,39.37,57.83,78.64,30.62,0.53,17.7,0,-0.0,1,0,18.3
13,FRENADA_ORIGEN,17.64,0.0,18.31,18.31,15.92,1011.0,103.8,1,1,38,0,26.7,57.83,96.94,30.47,0.53,23.2,0,-0.0,1,1,18.31
