second,avg_speed,speed_variance,min_speed,max_speed,throughput_per_min,total_throughput,near_collisions,hard_brakes,min_gap,num_cars,num_trucks
0,1.34,0.09,0.8,1.5,60,1,0,0,59.42,27,8
2,2.67,0.34,1.59,2.99,0,1,0,0,58.35,27,8
3,3.98,0.75,2.39,4.48,0,1,0,0,56.59,27,8
4,5.29,1.3,3.18,5.96,0,1,0,0,54.18,27,8
4,6.56,1.98,3.96,7.43,0,1,0,0,51.16,27,8
5,7.8,2.74,4.74,8.89,0,1,0,0,47.61,27,8
6,9.0,3.56,5.51,10.33,0,1,0,0,43.66,27,8
7,10.14,4.45,6.28,11.74,0,1,0,0,39.47,27,8
8,11.21,5.4,7.04,13.12,0,1,0,0,35.26,27,8
9,12.22,6.48,7.78,14.46,60,2,0,0,31.3,27,8
10,13.15,7.71,8.52,15.75,0,2,0,0,27.83,27,8
11,14.01,9.07,9.25,16.98,0,2,0,0,25.02,27,8
12,14.8,10.49,9.96,18.18,0,2,0,0,22.96,27,8
13,15.52,11.87,10.67,19.32,0,2,0,0,21.63,27,8
14,16.18,13.14,11.36,20.4,60,3,0,0,20.94,27,8
15,16.78,14.24,11.65,21.41,0,3,0,0,20.76,27,8
16,17.31,15.12,11.99,22.34,0,3,0,0,20.76,27,8
17,17.79,15.74,12.4,23.17,60,4,0,0,20.76,27,8
19,18.21,16.08,12.87,23.87,0,4,0,0,20.76,27,8
20,18.59,16.15,13.38,24.41,0,4,0,0,20.76,27,8
21,18.91,15.93,13.92,24.86,60,5,0,0,20.76,27,8
22,19.2,15.45,14.47,25.37,0,5,0,0,20.76,27,8
23,19.44,14.71,15.03,25.75,0,5,0,0,20.76,27,8
24,19.65,13.76,15.43,25.95,0,5,0,0,20.76,27,8
25,19.84,12.64,15.83,26.22,60,6,0,0,20.76,27,8
26,19.99,11.41,16.16,26.45,0,6,0,0,20.76,27,8
27,20.13,10.12,16.32,26.55,60,7,0,0,20.76,27,8
28,20.24,8.84,16.55,26.49,0,7,0,0,20.76,27,8
29,20.35,7.62,16.84,26.27,0,7,0,0,20.76,27,8
30,20.45,6.49,17.11,25.89,60,8,0,0,20.76,27,8
31,20.54,5.49,17.25,25.86,0,8,0,0,20.76,27,8
32,20.63,4.63,17.46,25.9,0,8,0,0,20.76,27,8
33,20.73,3.92,17.73,25.88,0,8,0,0,20.76,27,8
34,20.83,3.35,18.04,25.79,0,8,0,0,20.76,27,8
35,20.94,2.92,18.19,25.63,0,8,0,0,20.76,27,8
36,21.05,2.61,18.29,25.41,0,8,0,0,20.76,27,8
37,21.17,2.39,18.41,25.11,0,8,0,0,20.76,27,8
38,21.29,2.24,18.49,24.76,0,8,0,0,20.76,27,8
39,21.42,2.15,18.62,24.37,0,8,0,0,20.76,27,8
40,21.55,2.1,18.8,23.94,0,8,0,0,20.76,27,8
41,21.69,2.07,18.89,24.0,60,9,0,0,20.76,27,8
