second,avg_speed,speed_variance,min_speed,max_speed,throughput_per_min,total_throughput,near_collisions,hard_brakes,min_gap,num_cars,num_trucks
0,1.16,0.12,0.8,1.5,60,1,0,0,59.42,18,17
2,2.31,0.48,1.59,2.99,0,1,0,0,58.35,18,17
3,3.45,1.06,2.39,4.46,0,1,0,0,56.6,18,17
4,4.57,1.82,3.18,5.93,0,1,0,0,54.2,18,17
4,5.67,2.71,3.96,7.37,0,1,0,0,51.23,18,17
5,6.72,3.64,4.74,8.79,0,1,0,0,47.76,18,17
6,7.72,4.53,5.51,10.18,0,1,0,0,43.94,18,17
7,8.66,5.29,6.27,11.53,0,1,0,0,39.96,18,17
8,9.5,5.88,7.02,12.84,0,1,0,0,36.05,18,17
9,10.26,6.32,7.76,14.1,60,2,0,0,32.45,18,17
10,10.94,6.66,8.49,15.29,0,2,0,0,29.38,18,17
11,11.54,6.89,9.21,16.39,0,2,0,0,26.97,18,17
12,12.09,6.97,9.91,17.39,0,2,0,0,25.27,18,17
13,12.58,6.8,10.59,18.38,0,2,0,0,24.24,18,17
14,13.04,6.37,11.26,19.26,0,2,0,0,23.79,18,17
15,13.46,5.71,11.66,20.03,0,2,0,0,23.76,18,17
16,13.86,4.9,11.98,20.64,0,2,0,0,23.76,18,17
17,14.25,4.01,12.36,21.05,0,2,0,0,23.76,18,17
19,14.63,3.14,12.8,21.25,60,3,0,0,23.76,18,17
20,15.01,2.38,13.28,21.21,0,3,0,0,23.76,18,17
21,15.39,1.78,13.77,20.95,0,3,0,0,23.76,18,17
22,15.77,1.35,14.2,20.52,60,4,0,0,23.76,18,17
23,16.17,1.08,14.39,19.99,0,4,0,0,23.76,18,17
24,16.56,0.94,14.65,19.43,0,4,0,0,23.76,18,17
25,16.96,0.89,14.97,18.9,60,5,0,0,23.76,18,17
26,17.36,0.9,15.34,19.07,0,5,0,0,23.76,18,17
27,17.75,0.93,15.66,19.54,60,6,0,0,23.76,18,17
28,18.13,0.96,15.85,19.97,0,6,0,0,23.76,18,17
29,18.5,0.98,16.11,20.35,0,6,0,0,23.76,18,17
30,18.85,0.97,16.42,20.69,0,6,0,0,23.76,18,17
31,19.19,0.95,16.77,20.99,0,6,0,0,23.76,18,17
32,19.51,0.91,17.13,21.27,0,6,0,0,23.76,18,17
33,19.8,0.85,17.51,21.51,0,6,0,0,23.76,18,17
34,20.08,0.8,17.89,21.72,0,6,0,0,23.76,18,17
35,20.34,0.74,18.26,21.92,60,7,0,0,23.76,18,17
36,20.58,0.68,18.62,22.09,0,7,0,0,23.76,18,17
37,20.79,0.62,18.97,22.25,60,8,0,0,23.76,18,17
38,20.99,0.57,19.29,22.4,0,8,0,0,23.76,18,17
39,21.18,0.53,19.59,22.53,0,8,0,0,23.76,18,17
40,21.35,0.5,19.83,22.65,60,9,0,0,23.76,18,17
41,21.5,0.47,20.01,22.77,0,9,0,0,23.76,18,17
42,21.64,0.45,20.18,22.87,60,10,0,0,23.76,18,17
43,21.76,0.43,20.33,22.97,0,10,0,0,23.76,18,17
44,21.88,0.41,20.47,23.06,60,11,0,0,23.76,18,17
45,21.98,0.4,20.59,23.14,0,11,0,0,23.76,18,17
46,22.08,0.39,20.71,23.22,0,11,0,0,23.76,18,17
47,22.16,0.39,20.82,23.29,0,11,0,0,23.76,18,17
48,22.24,0.38,20.92,23.35,0,11,0,0,23.76,18,17
49,22.31,0.38,21.01,23.41,0,11,0,0,23.76,18,17
50,22.37,0.37,21.09,23.47,60,12,0,0,23.76,18,17
51,22.43,0.37,21.17,23.51,0,12,0,0,23.76,18,17
52,22.48,0.37,21.24,23.56,0,12,0,0,23.76,18,17
53,22.53,0.37,21.31,23.6,60,13,0,0,23.76,18,17
54,22.57,0.37,21.37,23.63,0,13,0,0,23.76,18,17
55,22.6,0.36,21.43,23.67,0,13,0,0,23.76,18,17
56,22.64,0.36,21.48,23.7,0,13,0,0,23.76,18,17
57,22.67,0.36,21.53,23.72,60,14,0,0,23.76,18,17
58,22.7,0.36,21.58,23.74,0,14,0,0,23.76,18,17
59,22.72,0.36,21.62,23.76,0,14,0,0,23.76,18,17
60,22.74,0.36,21.67,23.78,0,14,0,0,23.76,18,17
61,22.56,1.68,16.02,23.8,60,15,0,10,23.76,18,17
62,22.32,5.4,10.02,23.81,0,15,0,20,23.76,18,17
63,22.05,11.58,4.02,23.82,0,15,0,30,22.54,18,17
64,21.81,17.65,0.0,23.83,60,16,0,40,10.27,18,17
65,21.66,19.79,0.0,23.84,0,16,3,50,-0.15,18,17
66,21.53,21.19,0.0,23.84,0,16,8,60,-4.24,18,17
67,21.46,20.78,0.0,23.85,60,17,8,70,-4.24,18,17
68,21.4,20.48,0.0,23.85,0,17,8,80,-4.24,18,17
69,21.39,18.48,1.5,23.85,0,17,8,80,-4.24,18,17
70,21.4,16.64,3.0,23.86,60,18,8,80,-4.24,18,17
71,21.42,14.93,4.5,23.86,0,18,8,80,-4.24,18,17
72,21.45,13.33,6.0,23.86,60,19,8,80,-4.24,18,17
73,21.5,11.82,7.5,23.85,0,19,8,80,-4.24,18,17
74,21.55,10.41,8.99,23.85,0,19,8,80,-4.24,18,17
75,21.62,9.12,10.48,23.85,0,19,8,80,-4.24,18,17
75,21.69,7.96,11.97,23.85,60,20,8,80,-4.24,18,17
76,21.76,6.95,13.44,23.85,0,20,8,80,-4.24,18,17
77,21.83,6.12,14.9,24.57,0,20,8,80,-4.24,18,17
78,21.91,5.47,15.64,25.69,60,21,8,80,-4.24,18,17
79,21.98,5.0,15.91,26.74,0,21,8,80,-4.24,18,17
80,22.05,4.72,16.26,27.71,0,21,8,80,-4.24,18,17
81,22.13,4.6,16.68,28.62,0,21,8,80,-4.24,18,17
82,22.2,4.63,17.14,29.44,60,22,8,80,-4.24,18,17
83,22.27,4.78,17.63,30.19,0,22,8,80,-4.24,18,17
84,22.35,5.03,18.14,30.86,60,23,8,80,-4.24,18,17
85,22.42,5.34,18.28,31.46,0,23,8,80,-4.24,18,17
86,22.49,5.69,18.32,32.0,0,23,8,80,-4.24,18,17
87,22.56,6.05,18.41,32.47,0,23,8,80,-4.24,18,17
88,22.62,6.4,18.41,32.89,60,24,8,80,-4.24,18,17
89,22.69,6.73,18.47,33.25,0,24,8,80,-4.24,18,17
90,22.75,7.02,18.54,33.56,0,24,8,80,-4.24,18,17
91,22.81,7.27,18.55,33.83,0,24,8,80,-4.24,18,17
92,22.87,7.47,18.61,34.07,60,25,8,80,-4.24,18,17
93,22.93,7.62,18.65,34.27,0,25,8,80,-4.24,18,17
94,22.98,7.73,18.67,34.44,0,25,8,80,-4.24,18,17
95,23.04,7.79,18.74,34.59,0,25,8,80,-4.24,18,17
96,23.09,7.81,18.86,34.72,60,26,8,80,-4.24,18,17
97,23.13,7.81,19.0,34.83,0,26,8,80,-4.24,18,17
98,23.18,7.77,19.18,34.92,0,26,8,80,-4.24,18,17
99,23.22,7.7,19.39,34.99,0,26,8,80,-4.24,18,17
100,23.25,7.58,19.61,35.0,60,27,8,80,-4.24,18,17
101,23.29,7.44,19.84,35.0,0,27,8,80,-4.24,18,17
102,23.32,7.29,20.08,35.0,0,27,8,80,-4.24,18,17
103,23.35,7.14,20.33,35.0,0,27,8,80,-4.24,18,17
104,23.38,6.98,20.57,35.0,60,28,8,80,-4.24,18,17
105,23.41,6.81,20.79,35.0,0,28,8,80,-4.24,18,17
106,23.43,6.65,20.82,35.0,0,28,8,80,-4.24,18,17
107,23.45,6.48,20.87,35.0,0,28,8,80,-4.24,18,17
108,23.47,6.31,20.93,35.0,60,29,8,80,-4.24,18,17
109,23.49,6.14,21.01,35.0,0,29,8,80,-4.24,18,17
110,23.5,5.97,21.1,35.0,60,30,8,80,-4.24,18,17
111,23.52,5.81,21.19,35.0,0,30,8,80,-4.24,18,17
112,23.53,5.65,21.29,35.0,60,31,8,80,-4.24,18,17
113,23.54,5.5,21.4,35.0,0,31,8,80,-4.24,18,17
114,23.55,5.35,21.51,35.0,0,31,8,80,-4.24,18,17
115,23.55,5.21,21.62,35.0,0,31,8,80,-4.24,18,17
116,23.56,5.09,21.73,35.0,120,33,8,80,-4.24,18,17
117,23.56,4.97,21.83,35.0,0,33,8,80,-4.24,18,17
118,23.56,4.86,21.94,35.0,0,33,8,80,-4.24,18,17
119,23.56,4.77,21.98,35.0,0,33,8,80,-4.24,18,17
120,23.57,4.69,22.02,35.0,60,34,8,80,-4.24,18,17
121,23.57,4.62,22.06,35.0,0,34,8,80,-4.24,18,17
122,23.57,4.57,22.11,35.0,0,34,8,80,-4.24,18,17
123,23.57,4.52,22.16,35.0,60,35,8,80,-4.24,18,17
