second,avg_speed,speed_variance,min_speed,max_speed,throughput_per_min,total_throughput,near_collisions,hard_brakes,min_gap,num_cars,num_trucks
0,1.5,0.0,1.5,1.5,60,1,0,0,67.31,35,0
2,2.98,0.0,2.98,2.99,0,1,0,0,67.3,35,0
3,4.46,0.0,4.44,4.48,0,1,0,0,67.28,35,0
4,5.92,0.0,5.86,5.96,0,1,0,0,67.22,35,0
4,7.35,0.0,7.25,7.42,0,1,0,0,67.11,35,0
5,8.76,0.01,8.6,8.87,0,1,0,0,66.92,35,0
6,10.13,0.01,9.89,10.31,0,1,0,0,66.63,35,0
7,11.47,0.02,11.13,11.72,0,1,0,0,66.21,35,0
8,12.76,0.04,12.32,13.11,0,1,0,0,65.64,35,0
9,14.0,0.07,13.44,14.46,60,2,0,0,64.92,35,0
10,15.2,0.1,14.51,15.77,0,2,0,0,64.04,35,0
11,16.33,0.15,15.52,17.04,0,2,0,0,63.02,35,0
12,17.41,0.2,16.48,18.24,0,2,0,0,61.87,35,0
13,18.43,0.26,17.39,19.38,0,2,0,0,60.63,35,0
14,19.38,0.32,18.25,20.45,60,3,0,0,59.33,35,0
15,20.26,0.38,19.06,21.42,0,3,0,0,58.02,35,0
16,21.07,0.45,19.83,22.31,0,3,0,0,56.73,35,0
17,21.82,0.5,20.55,23.09,60,4,0,0,55.52,35,0
19,22.49,0.56,21.19,23.89,0,4,0,0,54.4,35,0
20,23.11,0.61,21.71,24.61,0,4,0,0,53.39,35,0
21,23.66,0.65,22.18,25.25,0,4,0,0,52.5,35,0
22,24.16,0.69,22.59,25.81,60,5,0,0,51.74,35,0
23,24.59,0.72,22.97,26.28,0,5,0,0,51.1,35,0
24,24.98,0.75,23.3,26.67,60,6,0,0,50.58,35,0
25,25.33,0.78,23.6,27.02,0,6,0,0,50.14,35,0
26,25.63,0.8,23.86,27.38,0,6,0,0,49.27,35,0
27,25.89,0.81,24.1,27.68,60,7,0,0,48.37,35,0
28,26.12,0.82,24.31,27.92,0,7,0,0,47.58,35,0
29,26.32,0.83,24.5,28.12,0,7,0,0,46.89,35,0
30,26.5,0.83,24.67,28.28,60,8,0,0,46.29,35,0
31,26.65,0.83,24.83,28.46,0,8,0,0,45.77,35,0
32,26.78,0.83,24.97,28.63,0,8,0,0,45.31,35,0
33,26.89,0.82,25.1,28.78,60,9,0,0,44.92,35,0
34,26.98,0.82,25.22,28.89,0,9,0,0,44.57,35,0
35,27.06,0.81,25.33,28.99,60,10,0,0,44.26,35,0
36,27.13,0.8,25.44,29.06,0,10,0,0,43.99,35,0
37,27.19,0.79,25.53,29.11,0,10,0,0,43.74,35,0
38,27.24,0.78,25.63,29.14,60,11,0,0,43.51,35,0
39,27.29,0.76,25.71,29.16,0,11,0,0,43.3,35,0
40,27.32,0.75,25.78,29.17,60,12,0,0,43.11,35,0
41,27.35,0.74,25.83,29.16,0,12,0,0,42.93,35,0
42,27.38,0.72,25.86,29.15,0,12,0,0,42.76,35,0
43,27.4,0.71,25.9,29.12,0,12,0,0,42.61,35,0
44,27.42,0.7,25.93,29.1,60,13,0,0,42.46,35,0
45,27.43,0.68,25.97,29.06,0,13,0,0,42.31,35,0
46,27.44,0.67,26.01,29.03,60,14,0,0,42.18,35,0
47,27.45,0.65,26.04,28.99,0,14,0,0,42.05,35,0
48,27.46,0.64,26.08,28.95,60,15,0,0,41.94,35,0
49,27.47,0.63,26.11,28.9,0,15,0,0,41.82,35,0
50,27.47,0.61,26.13,28.86,0,15,0,0,41.72,35,0
51,27.48,0.6,26.16,28.82,60,16,0,0,41.63,35,0
52,27.48,0.59,26.19,28.77,0,16,0,0,41.54,35,0
53,27.48,0.57,26.22,28.73,60,17,0,0,41.45,35,0
54,27.48,0.56,26.23,28.69,0,17,0,0,41.38,35,0
55,27.48,0.55,26.25,28.69,0,17,0,0,41.31,35,0
56,27.48,0.54,26.27,28.69,60,18,0,0,41.25,35,0
57,27.48,0.53,26.29,28.69,0,18,0,0,41.2,35,0
58,27.48,0.52,26.3,28.69,60,19,0,0,41.15,35,0
59,27.48,0.51,26.31,28.68,0,19,0,0,41.11,35,0
60,27.48,0.5,26.32,28.67,0,19,0,0,41.07,35,0
61,27.28,1.76,20.81,28.66,0,19,0,10,41.04,35,0
62,27.03,5.26,14.81,28.65,60,20,0,20,41.02,35,0
63,26.73,11.31,8.81,28.64,0,20,0,30,41.0,35,0
64,26.39,20.01,2.81,28.63,60,21,0,40,36.69,35,0
65,26.1,26.48,0.0,28.61,60,22,0,50,21.01,35,0
66,25.87,30.05,0.0,28.59,0,22,0,60,7.81,35,0
67,25.6,34.89,0.0,28.58,0,22,5,70,-2.38,35,0
68,25.41,37.49,0.0,28.56,60,23,7,80,-4.06,35,0
69,25.33,35.92,1.5,28.54,0,23,7,80,-4.06,35,0
