second,avg_speed,speed_variance,min_speed,max_speed,throughput_per_min,total_throughput,near_collisions,hard_brakes,min_gap,num_cars,num_trucks
0,1.5,0.0,1.5,1.5,60,1,0,0,67.31,35,0
2,2.99,0.0,2.98,2.99,0,1,0,0,67.31,35,0
3,4.46,0.0,4.46,4.46,0,1,0,0,67.3,35,0
4,5.92,0.0,5.91,5.93,0,1,0,0,67.3,35,0
4,7.36,0.0,7.34,7.37,0,1,0,0,67.29,35,0
5,8.77,0.0,8.74,8.79,0,1,0,0,67.27,35,0
6,10.15,0.0,10.1,10.17,0,1,0,0,67.23,35,0
7,11.49,0.0,11.43,11.53,0,1,0,0,67.19,35,0
8,12.79,0.0,12.71,12.84,0,1,0,0,67.13,35,0
9,14.05,0.0,13.93,14.11,60,2,0,0,67.05,35,0
10,15.25,0.0,15.11,15.33,0,2,0,0,66.95,35,0
11,16.4,0.0,16.22,16.49,0,2,0,0,66.84,35,0
12,17.48,0.0,17.28,17.59,0,2,0,0,66.71,35,0
13,18.51,0.01,18.27,18.63,0,2,0,0,66.57,35,0
14,19.47,0.01,19.21,19.6,60,3,0,0,66.43,35,0
15,20.37,0.01,20.08,20.51,0,3,0,0,66.29,35,0
16,21.19,0.01,20.88,21.35,0,3,0,0,66.15,35,0
17,21.95,0.01,21.63,22.13,60,4,0,0,66.03,35,0
19,22.65,0.02,22.32,22.84,0,4,0,0,65.93,35,0
20,23.29,0.02,22.95,23.49,0,4,0,0,65.74,35,0
21,23.86,0.02,23.53,24.08,60,5,0,0,65.55,35,0
22,24.37,0.02,24.05,24.61,0,5,0,0,65.36,35,0
23,24.84,0.02,24.52,25.08,0,5,0,0,65.17,35,0
24,25.25,0.02,24.92,25.5,60,6,0,0,64.99,35,0
25,25.61,0.03,25.29,25.87,0,6,0,0,64.82,35,0
26,25.94,0.03,25.6,26.2,0,6,0,0,64.66,35,0
27,26.22,0.03,25.88,26.49,60,7,0,0,64.51,35,0
28,26.47,0.03,26.13,26.74,0,7,0,0,64.38,35,0
29,26.69,0.03,26.35,26.97,0,7,0,0,64.27,35,0
30,26.89,0.03,26.55,27.16,60,8,0,0,64.18,35,0
31,27.05,0.03,26.73,27.33,0,8,0,0,64.11,35,0
