second,avg_speed,speed_variance,min_speed,max_speed,throughput_per_min,total_throughput,near_collisions,hard_brakes,min_gap,num_cars,num_trucks
0,1.5,0.0,1.5,1.5,60,1,0,0,67.31,35,0
2,2.99,0.0,2.98,2.99,0,1,0,0,67.3,35,0
3,4.46,0.0,4.44,4.48,0,1,0,0,67.29,35,0
4,5.92,0.0,5.88,5.95,0,1,0,0,67.25,35,0
4,7.36,0.0,7.28,7.41,0,1,0,0,67.17,35,0
5,8.77,0.0,8.64,8.86,0,1,0,0,67.03,35,0
6,10.15,0.01,9.95,10.29,0,1,0,0,66.83,35,0
7,11.49,0.01,11.22,11.7,0,1,0,0,66.53,35,0
8,12.79,0.02,12.42,13.07,0,1,0,0,66.13,35,0
9,14.04,0.04,13.57,14.42,60,2,0,0,65.61,35,0
10,15.24,0.05,14.66,15.72,0,2,0,0,64.98,35,0
11,16.39,0.08,15.69,16.99,0,2,0,0,64.25,35,0
12,17.48,0.11,16.66,18.2,0,2,0,0,63.41,35,0
13,18.5,0.14,17.58,19.35,0,2,0,0,62.5,35,0
14,19.47,0.18,18.43,20.43,60,3,0,0,61.55,35,0
15,20.36,0.21,19.24,21.45,0,3,0,0,60.57,35,0
16,21.19,0.25,19.98,22.39,0,3,0,0,59.61,35,0
17,21.95,0.29,20.68,23.24,60,4,0,0,58.68,35,0
19,22.64,0.32,21.32,24.02,0,4,0,0,57.81,35,0
20,23.28,0.35,21.92,24.7,0,4,0,0,57.02,35,0
21,23.84,0.37,22.46,25.31,60,5,0,0,56.32,35,0
22,24.36,0.39,22.97,25.83,0,5,0,0,55.71,35,0
23,24.81,0.4,23.42,26.27,0,5,0,0,55.19,35,0
24,25.22,0.41,23.84,26.64,0,5,0,0,54.76,35,0
25,25.58,0.42,24.22,26.94,60,6,0,0,54.4,35,0
26,25.89,0.42,24.56,27.17,0,6,0,0,54.12,35,0
27,26.17,0.41,24.87,27.36,60,7,0,0,53.9,35,0
28,26.41,0.4,25.15,27.6,0,7,0,0,53.28,35,0
29,26.62,0.39,25.4,27.8,0,7,0,0,52.61,35,0
30,26.81,0.38,25.62,27.94,60,8,0,0,51.68,35,0
31,26.97,0.37,25.83,28.05,0,8,0,0,50.79,35,0
32,27.11,0.35,26.01,28.12,60,9,0,0,49.95,35,0
33,27.23,0.34,26.16,28.24,0,9,0,0,49.17,35,0
34,27.33,0.32,26.29,28.33,0,9,0,0,48.44,35,0
35,27.42,0.31,26.41,28.4,60,10,0,0,47.78,35,0
36,27.49,0.29,26.53,28.47,0,10,0,0,47.19,35,0
37,27.56,0.27,26.63,28.53,60,11,0,0,46.65,35,0
38,27.62,0.26,26.73,28.58,0,11,0,0,46.18,35,0
39,27.67,0.24,26.82,28.62,0,11,0,0,45.77,35,0
40,27.71,0.22,26.91,28.65,60,12,0,0,45.41,35,0
41,27.74,0.21,26.99,28.67,0,12,0,0,45.11,35,0
42,27.77,0.2,27.04,28.68,60,13,0,0,44.86,35,0
43,27.8,0.18,27.1,28.68,0,13,0,0,44.65,35,0
44,27.82,0.17,27.16,28.67,0,13,0,0,44.48,35,0
45,27.84,0.16,27.2,28.66,60,14,0,0,44.35,35,0
46,27.86,0.15,27.23,28.64,0,14,0,0,44.25,35,0
47,27.87,0.14,27.26,28.62,0,14,0,0,44.18,35,0
48,27.89,0.13,27.3,28.6,60,15,0,0,44.13,35,0
49,27.9,0.12,27.33,28.57,0,15,0,0,44.11,35,0
50,27.91,0.11,27.34,28.54,0,15,0,0,44.1,35,0
51,27.92,0.1,27.36,28.51,60,16,0,0,44.1,35,0
52,27.92,0.1,27.38,28.5,0,16,0,0,44.1,35,0
53,27.93,0.09,27.4,28.5,0,16,0,0,44.1,35,0
54,27.94,0.08,27.42,28.49,60,17,0,0,44.1,35,0
55,27.94,0.08,27.44,28.47,0,17,0,0,44.1,35,0
56,27.95,0.07,27.46,28.46,60,18,0,0,44.1,35,0
57,27.95,0.07,27.47,28.44,0,18,0,0,44.1,35,0
58,27.95,0.07,27.49,28.43,0,18,0,0,44.1,35,0
59,27.96,0.06,27.5,28.41,60,19,0,0,44.1,35,0
60,27.96,0.06,27.5,28.39,0,19,0,0,44.1,35,0
61,27.76,1.24,21.53,28.37,60,20,0,10,44.1,35,0
62,27.5,4.76,15.53,28.36,0,20,0,20,42.41,35,0
63,27.2,10.76,9.53,28.36,60,21,0,30,32.5,35,0
64,26.88,19.32,3.53,28.35,0,21,0,40,19.58,35,0
65,26.6,26.65,0.0,28.34,60,22,0,50,4.3,35,0
66,26.43,28.78,0.0,28.33,0,22,5,60,-3.95,35,0
67,26.36,28.61,0.0,28.33,0,22,5,70,-3.95,35,0
68,26.31,28.3,0.0,28.32,60,23,5,80,-3.95,35,0
69,26.31,25.72,1.5,28.32,0,23,5,80,-3.95,35,0
70,26.32,23.23,3.0,28.31,60,24,5,80,-3.95,35,0
71,26.35,20.85,4.5,28.31,0,24,5,80,-3.95,35,0
72,26.38,18.59,6.0,28.3,0,24,5,80,-3.95,35,0
73,26.42,16.47,7.5,28.3,60,25,5,80,-3.95,35,0
74,26.47,14.5,8.99,28.29,0,25,5,80,-3.95,35,0
75,26.53,12.71,10.48,28.29,0,25,5,80,-3.95,35,0
75,26.59,11.1,11.97,28.28,60,26,5,80,-3.95,35,0
76,26.65,9.68,13.45,28.28,0,26,5,80,-3.95,35,0
77,26.72,8.46,14.91,28.43,0,26,5,80,-3.95,35,0
78,26.79,7.43,16.36,29.32,60,27,5,80,-3.95,35,0
79,26.86,6.59,17.78,30.15,0,27,5,80,-3.95,35,0
80,26.93,5.92,19.17,30.9,0,27,5,80,-3.95,35,0
81,27.0,5.41,20.53,31.57,60,28,5,80,-3.95,35,0
82,27.07,5.05,21.85,32.18,0,28,5,80,-3.95,35,0
83,27.14,4.81,22.22,32.72,0,28,5,80,-3.95,35,0
84,27.21,4.67,22.38,33.2,60,29,5,80,-3.95,35,0
85,27.27,4.64,22.44,33.62,0,29,5,80,-3.95,35,0
86,27.34,4.67,22.55,33.99,0,29,5,80,-3.95,35,0
87,27.4,4.77,22.71,34.32,60,30,5,80,-3.95,35,0
88,27.46,4.91,22.85,34.6,0,30,5,80,-3.95,35,0
89,27.52,5.08,22.92,34.84,60,31,5,80,-3.95,35,0
90,27.58,5.25,23.05,35.0,0,31,5,80,-3.95,35,0
