segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,10,28,28,10,0.36,0.36,0.36,0.0,1,1,60,0,0,38,0,54.14,55.98,0,0,0.36,0.36,0.36
2,ESTABILIZANDO,10,28,28,10,0.72,0.72,0.72,0.0,0,1,0,0,0,38,0,54.14,55.98,0,0,0.36,0.36,0.36
3,ESTABILIZANDO,10,28,28,10,1.08,1.08,1.08,0.0,0,1,0,0,0,0,0,54.14,55.98,0,0,0.36,0.36,0.36
4,ESTABILIZANDO,10,28,28,10,1.44,1.44,1.44,0.0,0,1,0,0,0,0,0,54.14,55.98,0,0,0.36,0.36,0.36
5,ESTABILIZANDO,10,28,28,10,1.8,1.8,1.8,0.0,0,1,0,0,0,0,0,54.14,55.98,0,0,0.36,0.36,0.36
6,ESTABILIZANDO,10,28,28,10,2.16,2.16,2.16,0.0,0,1,0,0,0,0,0,54.14,55.98,0,0,0.36,0.36,0.36
7,ESTABILIZANDO,10,28,28,10,2.52,2.52,2.52,0.0,0,1,0,0,0,0,0,54.14,55.98,0,0,0.36,0.36,0.36
8,FRENANDO,10,28,28,10,3.591,0.0,3.699,0.349,0,1,0,0,1,1,37,51.13,55.98,0,10,0.816,1.176,-12.0
9,FRENANDO,10,28,28,10,4.715,0.0,4.87,0.602,0,1,0,0,1,1,37,46.85,55.98,0,20,0.801,1.168,-12.0
10,FRENANDO,10,28,28,10,5.822,0.0,6.033,0.92,0,1,0,0,1,1,37,41.54,55.98,0,30,0.782,1.158,-12.0
11,FRENANDO,10,28,28,10,6.906,0.0,7.184,1.306,0,1,0,0,1,1,37,35.36,55.98,0,40,0.757,1.145,-12.0
12,FRENANDO,10,28,28,10,7.961,0.0,8.32,1.773,0,1,0,0,1,1,36,28.61,55.98,0,50,0.723,1.129,-12.0
13,RECUPERANDO,10,28,28,10,9.012,1.196,9.439,1.833,0,1,0,0,0,0,37,22.37,55.98,0,50,1.035,1.196,-0.194
14,RECUPERANDO,10,28,28,10,10.026,2.392,10.536,1.999,0,1,0,0,0,0,37,17.54,55.98,0,50,0.998,1.197,-0.392
15,RECUPERANDO,10,28,28,10,11.004,3.589,11.606,2.269,0,1,0,0,0,0,37,14.29,55.98,0,50,0.962,1.197,-0.356
16,RECUPERANDO,10,28,28,10,11.945,4.785,12.645,2.587,0,1,0,0,0,0,36,12.55,55.98,0,50,0.923,1.196,-0.121
17,RECUPERANDO,10,28,28,10,12.846,5.947,13.647,2.886,1,2,60,0,0,0,36,12.1,55.98,0,50,0.882,1.194,0.008
18,RECUPERANDO,10,28,28,10,13.703,6.307,14.611,3.141,0,2,0,0,0,0,36,12.61,55.98,0,50,0.836,1.19,-0.238
19,RECUPERANDO,10,28,28,10,14.511,6.918,15.555,3.364,0,2,0,0,0,0,36,13.81,55.98,0,50,0.785,1.184,-0.338
20,RECUPERANDO,10,28,28,10,15.267,7.707,16.457,3.567,0,2,0,0,0,0,36,15.48,55.98,0,50,0.732,1.174,-0.287
21,RECUPERANDO,10,28,28,10,15.969,8.614,17.31,3.753,1,3,60,0,0,0,35,17.47,55.98,0,50,0.678,1.16,-0.195
22,RECUPERANDO,10,28,28,10,16.617,9.594,18.111,3.921,0,3,0,0,0,0,32,19.66,55.98,0,50,0.624,1.14,-0.375
23,RECUPERANDO,10,28,28,10,17.212,10.618,18.855,4.063,0,3,0,0,0,0,28,20.11,55.98,0,50,0.571,1.114,-0.412
24,RECUPERANDO,10,28,28,10,17.755,11.284,19.539,4.169,0,3,0,0,0,0,24,20.21,55.98,0,50,0.521,1.082,-0.323
25,RECUPERANDO,10,28,28,10,18.249,11.849,20.161,4.226,1,4,60,0,0,0,19,20.88,55.98,0,50,0.473,1.059,-0.158
26,RECUPERANDO,10,28,28,10,18.696,12.535,20.721,4.228,0,4,0,0,0,0,6,21.97,55.98,0,50,0.427,1.052,-0.163
27,RECUPERANDO,10,28,28,10,19.099,13.302,21.219,4.178,0,4,0,0,0,0,3,23.3,55.98,0,50,0.383,1.035,-0.164
28,RECUPERANDO,10,28,28,10,19.46,13.981,21.656,4.085,0,4,0,0,0,0,3,23.22,55.98,0,50,0.342,1.009,-0.121
29,RECUPERANDO,10,28,28,10,19.781,14.432,22.037,3.963,1,5,60,0,0,0,4,23.59,55.98,0,50,0.304,0.973,-0.064
30,RECUPERANDO,10,28,28,10,20.066,14.989,22.364,3.825,0,5,0,0,0,0,4,24.28,55.98,0,50,0.269,0.928,-0.078
31,RECUPERANDO,10,28,28,10,20.316,15.62,22.641,3.685,0,5,0,0,0,0,4,25.22,55.98,0,50,0.237,0.874,-0.069
32,RECUPERANDO,10,28,28,10,20.536,15.965,22.874,3.552,0,5,0,0,0,0,4,26.32,55.98,0,50,0.207,0.811,-0.042
33,RECUPERANDO,10,28,28,10,20.728,16.212,23.066,3.433,1,6,60,0,0,0,4,27.51,55.98,0,50,0.18,0.748,-0.048
34,RECUPERANDO,10,28,28,10,20.894,16.52,23.222,3.332,0,6,0,0,0,0,3,28.75,55.98,0,50,0.155,0.701,-0.079
