segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,car_mean_velocity,car_velocity_variance,truck_mean_velocity,truck_velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,max_gap,avg_gap,std_gap,median_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,30,0,30,0,0.75,0.75,0.75,0.0,0.75,0.0,0,0,1,1,60,0,0,30,30,78.78,78.78,78.78,0.0,78.78,0,0,0.75,0.75,0.75
2,ESTABILIZANDO,30,0,30,0,1.5,1.5,1.5,0.0,1.5,0.0,0,0,0,1,0,0,0,0,30,78.78,78.78,78.78,0.0,78.78,0,0,0.75,0.75,0.75
3,ESTABILIZANDO,30,0,30,0,2.25,2.25,2.25,0.0,2.25,0.0,0,0,0,1,0,0,0,0,30,78.78,78.78,78.78,0.0,78.78,0,0,0.75,0.75,0.75
4,ESTABILIZANDO,30,0,30,0,3.0,3.0,3.0,0.0,3.0,0.0,0,0,0,1,0,0,0,0,30,78.78,78.78,78.78,0.0,78.78,0,0,0.75,0.75,0.75
5,ESTABILIZANDO,30,0,30,0,3.75,3.75,3.75,0.0,3.75,0.0,0,0,0,1,0,0,0,0,30,78.78,78.78,78.78,0.0,78.78,0,0,0.75,0.75,0.75
6,ESTABILIZANDO,30,0,30,0,4.5,4.5,4.5,0.0,4.5,0.0,0,0,0,1,0,0,0,0,30,78.78,78.78,78.78,0.0,78.78,0,0,0.75,0.75,0.75
7,ESTABILIZANDO,30,0,30,0,5.25,5.25,5.25,0.0,5.25,0.0,0,0,0,1,0,0,0,0,30,78.78,78.78,78.78,0.0,78.78,0,0,0.75,0.75,0.75
8,ESTABILIZANDO,30,0,30,0,6.0,6.0,6.0,0.0,6.0,0.0,0,0,0,1,0,0,0,0,30,78.78,78.78,78.78,0.0,78.78,0,0,0.75,0.75,0.75
9,ESTABILIZANDO,30,0,30,0,6.75,6.75,6.75,0.0,6.75,0.0,0,0,0,1,0,0,0,0,30,78.78,78.78,78.78,0.0,78.78,0,0,0.75,0.75,0.75
10,ESTABILIZANDO,30,0,30,0,7.5,7.5,7.5,0.0,7.5,0.0,0,0,0,1,0,0,0,0,30,78.78,78.78,78.78,0.0,78.78,0,0,0.75,0.75,0.75
