segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,car_mean_velocity,car_velocity_variance,truck_mean_velocity,truck_velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,max_gap,avg_gap,std_gap,median_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,23,7,7,23,0.668,0.4,0.75,0.022,0.75,0.0,0.4,0.0,1,1,60,0,0,30,23,71.58,78.97,77.14,3.05,78.78,0,0,0.668,0.75,0.4
2,ESTABILIZANDO,23,7,7,23,1.337,0.8,1.5,0.088,1.5,0.0,0.8,0.0,0,1,0,0,0,7,23,71.04,79.51,77.14,3.32,78.78,0,0,0.668,0.75,0.4
3,ESTABILIZANDO,23,7,7,23,2.005,1.2,2.25,0.197,2.25,0.0,1.2,0.0,0,1,0,0,0,0,23,70.15,80.4,77.14,3.79,78.78,0,0,0.668,0.75,0.4
4,ESTABILIZANDO,23,7,7,23,2.673,1.6,3.0,0.351,3.0,0.0,1.6,0.0,0,1,0,0,0,0,23,68.91,81.65,77.14,4.48,78.78,0,0,0.668,0.75,0.4
5,ESTABILIZANDO,23,7,7,23,3.342,2.0,3.75,0.548,3.75,0.0,2.0,0.0,0,1,0,0,0,0,23,67.31,83.24,77.14,5.41,78.78,0,0,0.668,0.75,0.4
6,ESTABILIZANDO,23,7,7,23,4.01,2.4,4.5,0.789,4.5,0.0,2.4,0.0,0,1,0,0,0,0,23,65.37,85.18,77.14,6.57,78.78,0,0,0.668,0.75,0.4
7,ESTABILIZANDO,23,7,7,23,4.678,2.8,5.25,1.074,5.25,0.0,2.8,0.0,0,1,0,0,0,0,23,63.08,87.47,77.14,7.96,78.78,0,0,0.668,0.75,0.4
8,ESTABILIZANDO,23,7,7,23,5.347,3.2,6.0,1.402,6.0,0.0,3.2,0.0,0,1,0,0,0,0,23,60.44,90.12,77.14,9.59,78.78,0,0,0.668,0.75,0.4
9,ESTABILIZANDO,23,7,7,23,6.015,3.6,6.75,1.775,6.75,0.0,3.6,0.0,0,1,0,0,0,0,23,57.44,93.11,77.14,11.45,78.78,0,0,0.668,0.75,0.4
10,ESTABILIZANDO,23,7,7,23,6.683,4.0,7.5,2.191,7.5,0.0,4.0,0.0,0,1,0,0,0,0,23,54.1,96.45,77.14,13.54,78.78,0,0,0.668,0.75,0.4
11,FRENANDO,23,7,7,23,7.605,0.0,8.928,4.909,8.461,3.265,4.793,0.0,0,1,0,0,1,1,29,50.37,100.3,77.14,15.65,78.76,0,10,0.881,1.417,-8.0
