segundo,estado,avg_velocity,min_velocity,max_velocity,v_diff,vehicles_cruising,vehicles_braking,vehicles_stopped,min_gap,avg_gap
1,ESTABILIZANDO,1.25,1.25,1.25,0.0,0,0,0,88.08,88.08
2,ESTABILIZANDO,2.5,2.5,2.5,0.0,0,0,0,88.08,88.08
3,ESTABILIZANDO,3.75,3.75,3.75,0.0,0,0,0,88.08,88.08
4,ESTABILIZANDO,5.0,5.0,5.0,0.0,0,0,0,88.08,88.08
5,ESTABILIZANDO,6.25,6.25,6.25,0.0,0,0,0,88.08,88.08
6,ESTABILIZANDO,7.5,7.5,7.5,0.0,0,0,0,88.08,88.08
7,FLUJO_SINCRO,9.76,9.76,9.76,0.0,0,0,0,88.08,88.08
8,FLUJO_SINCRO,11.88,11.88,11.88,0.0,0,0,0,88.08,88.08
9,FLUJO_SINCRO,13.85,13.85,13.85,0.0,0,0,0,88.08,88.08
10,FLUJO_SINCRO,15.66,15.66,15.66,0.0,0,0,0,88.08,88.08
11,FRENADA_ORIGEN,16.78,3.66,17.29,13.64,0,1,0,80.67,88.08
12,FRENADA_ORIGEN,18.0,0.0,18.76,18.76,0,0,1,64.01,88.08
13,FRENADA_ORIGEN,19.16,0.0,20.06,20.06,0,1,1,47.62,88.08
14,FRENADA_ORIGEN,20.13,0.0,21.21,21.21,0,1,1,32.84,88.08
15,FRENADA_ORIGEN,20.92,0.0,22.22,22.22,0,1,1,20.66,88.08
16,DISOLVIENDO,21.66,2.49,23.1,20.6,0,2,0,12.87,88.08
17,DISOLVIENDO,22.3,4.96,23.85,18.89,0,1,0,9.63,88.08
18,DISOLVIENDO,22.86,6.48,24.5,18.02,0,1,0,9.5,88.08
19,DISOLVIENDO,23.36,7.39,25.06,17.67,0,1,0,11.21,88.08
20,DISOLVIENDO,23.81,8.82,25.54,16.71,0,2,0,13.93,88.08
21,DISOLVIENDO,24.2,10.47,25.94,15.47,0,1,0,17.19,88.08
22,DISOLVIENDO,24.55,12.18,26.28,14.1,0,1,0,17.52,88.08
23,DISOLVIENDO,24.87,12.74,26.58,13.84,0,1,0,18.16,88.08
24,DISOLVIENDO,25.15,13.61,26.82,13.21,0,0,0,19.71,88.08
25,DISOLVIENDO,25.41,14.67,27.03,12.36,0,0,0,21.81,88.08
26,DISOLVIENDO,25.64,15.81,27.21,11.39,0,0,0,24.23,88.08
27,DISOLVIENDO,25.85,16.83,27.35,10.53,0,0,0,25.59,88.08
28,DISOLVIENDO,26.03,17.25,27.48,10.22,0,0,0,26.11,88.08
29,DISOLVIENDO,26.2,17.84,27.58,9.75,0,0,0,27.18,88.08
30,DISOLVIENDO,26.35,18.51,27.67,9.17,0,0,0,28.61,88.08
31,DISOLVIENDO,26.49,19.21,27.75,8.54,0,0,0,30.26,88.08
32,DISOLVIENDO,26.61,19.91,27.81,7.9,0,0,0,32.04,88.08
33,DISOLVIENDO,26.72,20.31,27.86,7.54,0,0,0,33.35,88.08
34,DISOLVIENDO,26.82,20.61,27.9,7.29,0,0,0,33.82,88.08
35,DISOLVIENDO,26.9,20.97,27.94,6.97,0,0,0,34.57,88.08
36,DISOLVIENDO,26.98,21.35,28.2,6.85,0,0,0,35.52,88.08
37,DISOLVIENDO,27.05,21.75,28.45,6.71,0,0,0,36.6,88.08
38,DISOLVIENDO,27.11,22.14,28.66,6.53,0,0,0,37.76,88.08
39,DISOLVIENDO,27.17,22.51,28.84,6.33,0,0,0,38.96,88.08
40,DISOLVIENDO,27.22,22.68,28.99,6.32,0,0,0,40.18,88.08
41,DISOLVIENDO,27.26,22.84,29.12,6.28,1,0,0,40.73,88.08
42,DISOLVIENDO,27.3,23.03,29.23,6.2,1,0,0,41.18,88.08
43,DISOLVIENDO,27.34,23.22,29.32,6.09,1,0,0,41.74,88.08
44,DISOLVIENDO,27.37,23.42,29.39,5.97,1,0,0,42.38,88.08
45,DISOLVIENDO,27.4,23.62,29.45,5.83,1,0,0,43.07,88.08
46,DISOLVIENDO,27.43,23.82,29.51,5.69,1,0,0,43.81,88.08
47,DISOLVIENDO,27.45,24.01,29.55,5.54,1,0,0,44.56,88.08
48,DISOLVIENDO,27.47,24.14,29.59,5.44,1,0,0,45.33,88.08
49,DISOLVIENDO,27.49,24.22,29.62,5.4,1,0,0,46.11,88.08
50,DISOLVIENDO,27.51,24.3,29.64,5.34,1,0,0,46.77,88.08
51,DISOLVIENDO,27.53,24.4,29.67,5.27,1,0,0,47.04,88.08
52,DISOLVIENDO,27.54,24.49,29.68,5.19,1,0,0,47.37,88.08
53,DISOLVIENDO,27.55,24.59,29.7,5.11,1,0,0,47.74,88.08
54,DISOLVIENDO,27.57,24.69,29.71,5.02,1,0,0,48.15,88.08
55,DISOLVIENDO,27.58,24.78,29.72,4.93,1,0,0,48.58,88.08
56,DISOLVIENDO,27.59,24.88,29.72,4.84,1,0,0,49.04,88.08
57,DISOLVIENDO,27.6,24.98,29.73,4.75,1,0,0,49.51,88.08
58,DISOLVIENDO,27.61,25.07,29.73,4.66,1,0,0,50.0,88.08
59,DISOLVIENDO,27.62,25.11,29.74,4.62,1,0,0,50.49,88.08
60,DISOLVIENDO,27.63,25.15,29.74,4.59,1,0,0,50.99,88.08
61,DISOLVIENDO,27.64,25.19,29.74,4.55,1,0,0,51.5,88.08
62,DISOLVIENDO,27.64,25.24,29.74,4.5,1,0,0,51.77,88.08
63,DISOLVIENDO,27.65,25.29,29.74,4.46,1,0,0,51.96,88.08
64,DISOLVIENDO,27.66,25.34,29.74,4.41,1,0,0,52.18,88.08
65,DISOLVIENDO,27.66,25.39,29.74,4.36,1,0,0,52.43,88.08
66,DISOLVIENDO,27.67,25.44,29.74,4.3,1,0,0,52.7,88.08
67,DISOLVIENDO,27.68,25.49,29.74,4.25,1,0,0,52.98,88.08
68,DISOLVIENDO,27.68,25.54,29.74,4.2,1,0,0,53.29,88.08
69,DISOLVIENDO,27.69,25.59,29.74,4.14,1,0,0,53.6,88.08
70,DISOLVIENDO,27.69,25.65,29.74,4.09,1,0,0,53.92,88.08
71,DISOLVIENDO,27.7,25.68,29.73,4.05,1,0,0,54.25,88.08
72,DISOLVIENDO,27.7,25.7,29.73,4.03,1,0,0,54.59,88.08
73,DISOLVIENDO,27.71,25.72,29.73,4.01,1,0,0,54.94,88.08
74,DISOLVIENDO,27.71,25.75,29.73,3.98,1,0,0,55.29,88.08
75,DISOLVIENDO,27.72,25.77,29.73,3.95,1,0,0,55.48,88.08
76,DISOLVIENDO,27.72,25.8,29.72,3.92,1,0,0,55.61,88.08
77,DISOLVIENDO,27.73,25.83,29.72,3.89,1,0,0,55.76,88.08
78,DISOLVIENDO,27.73,25.86,29.72,3.86,1,0,0,55.93,88.08
79,DISOLVIENDO,27.73,25.89,29.71,3.83,1,0,0,56.11,88.08
80,DISOLVIENDO,27.74,25.92,29.71,3.79,2,0,0,56.3,88.08
81,DISOLVIENDO,27.74,25.95,29.71,3.76,2,0,0,56.51,88.08
82,DISOLVIENDO,27.75,25.98,29.71,3.72,2,0,0,56.73,88.08
83,DISOLVIENDO,27.75,26.01,29.7,3.69,2,0,0,56.96,88.08
84,DISOLVIENDO,27.75,26.05,29.7,3.65,2,0,0,57.19,88.08
85,DISOLVIENDO,27.76,26.07,29.7,3.63,2,0,0,57.43,88.08
86,DISOLVIENDO,27.76,26.08,29.69,3.61,2,0,0,57.68,88.08
87,DISOLVIENDO,27.76,26.09,29.69,3.6,2,0,0,57.94,88.08
88,DISOLVIENDO,27.77,26.11,29.69,3.58,2,0,0,58.19,88.08
