segundo,estado,avg_velocity,min_velocity,max_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,min_gap,avg_gap
1,ESTABILIZANDO,0.75,0.75,0.75,0,0,30,78.78,78.78
2,ESTABILIZANDO,1.5,1.5,1.5,0,0,0,78.78,78.78
3,ESTABILIZANDO,2.25,2.25,2.25,0,0,0,78.78,78.78
4,ESTABILIZANDO,3.0,3.0,3.0,0,0,0,78.78,78.78
5,ESTABILIZANDO,3.75,3.75,3.75,0,0,0,78.78,78.78
6,ESTABILIZANDO,4.5,4.5,4.5,0,0,0,78.78,78.78
7,ESTABILIZANDO,5.25,5.25,5.25,0,0,0,78.78,78.78
8,ESTABILIZANDO,6.0,6.0,6.0,0,0,0,78.78,78.78
9,ESTABILIZANDO,6.75,6.75,6.75,0,0,0,78.78,78.78
10,ESTABILIZANDO,7.5,7.5,7.5,0,0,0,78.78,78.78
11,FRENANDO,8.62,0.0,8.92,0,1,1,73.68,78.78
12,FRENANDO,9.95,0.0,10.31,0,1,1,64.29,78.78
13,RECUPERANDO,11.25,0.15,11.68,0,0,1,54.1,78.78
14,RECUPERANDO,12.54,1.65,13.0,0,0,0,44.46,78.78
15,RECUPERANDO,13.78,3.14,14.28,0,0,0,36.29,78.78
16,RECUPERANDO,14.95,4.64,15.51,0,0,0,29.89,78.78
17,RECUPERANDO,16.07,6.14,16.69,0,0,0,25.39,78.78
18,RECUPERANDO,17.11,7.63,17.79,0,0,0,22.72,78.78
19,RECUPERANDO,18.09,9.12,18.83,0,0,0,21.67,78.78
20,RECUPERANDO,19.0,9.85,19.8,0,0,0,21.92,78.78
21,RECUPERANDO,19.83,10.43,20.69,0,0,0,23.19,78.78
22,RECUPERANDO,20.59,11.22,21.5,0,0,0,25.21,78.78
23,RECUPERANDO,21.28,12.17,22.24,0,0,0,27.79,78.78
24,RECUPERANDO,21.91,13.21,22.89,0,0,0,30.77,78.78
25,RECUPERANDO,22.46,14.32,23.48,0,0,0,30.78,78.78
26,RECUPERANDO,22.96,14.78,23.99,0,0,0,31.11,78.78
27,RECUPERANDO,23.4,15.31,24.45,0,0,0,32.14,78.78
28,RECUPERANDO,23.8,15.97,24.84,0,0,0,33.69,78.78
29,RECUPERANDO,24.14,16.72,25.18,0,0,0,35.64,78.78
30,RECUPERANDO,24.45,17.54,25.47,0,0,0,37.19,78.78
31,RECUPERANDO,24.72,17.93,25.72,0,0,0,37.39,78.78
32,RECUPERANDO,24.96,18.32,25.94,0,0,0,38.1,78.78
33,RECUPERANDO,25.17,18.81,26.12,0,0,0,39.21,78.78
34,RECUPERANDO,25.36,19.35,26.35,0,0,0,40.61,78.78
35,RECUPERANDO,25.52,19.94,26.87,0,0,0,42.23,78.78
36,RECUPERANDO,25.66,20.19,27.31,0,0,0,42.47,78.78
37,RECUPERANDO,25.79,20.47,27.68,0,0,0,43.0,78.78
38,RECUPERANDO,25.9,20.81,27.99,0,0,0,43.81,78.78
39,RECUPERANDO,26.0,21.19,28.25,0,0,0,44.82,78.78
40,RECUPERANDO,26.09,21.59,28.46,0,0,0,45.98,78.78
41,RECUPERANDO,26.16,21.78,28.63,0,0,0,46.79,78.78
42,RECUPERANDO,26.23,21.97,28.77,0,0,0,47.13,78.78
43,RECUPERANDO,26.29,22.19,28.89,0,0,0,47.67,78.78
44,RECUPERANDO,26.34,22.44,28.98,0,0,0,48.35,78.78
45,RECUPERANDO,26.39,22.7,29.05,1,0,0,49.14,78.78
46,RECUPERANDO,26.43,22.9,29.11,1,0,0,50.01,78.78
47,RECUPERANDO,26.47,23.01,29.15,1,0,0,50.71,78.78
48,RECUPERANDO,26.51,23.15,29.18,1,0,0,51.0,78.78
49,RECUPERANDO,26.54,23.29,29.21,1,0,0,51.4,78.78
50,RECUPERANDO,26.56,23.45,29.23,1,0,0,51.89,78.78
51,RECUPERANDO,26.59,23.62,29.24,1,0,0,52.44,78.78
52,RECUPERANDO,26.61,23.77,29.24,1,0,0,53.04,78.78
53,RECUPERANDO,26.63,23.84,29.25,1,0,0,53.68,78.78
54,RECUPERANDO,26.65,23.92,29.25,1,0,0,54.15,78.78
55,RECUPERANDO,26.66,24.01,29.24,1,0,0,54.39,78.78
56,RECUPERANDO,26.68,24.11,29.24,1,0,0,54.69,78.78
57,RECUPERANDO,26.69,24.21,29.23,1,0,0,55.05,78.78
58,RECUPERANDO,26.7,24.31,29.22,1,0,0,55.44,78.78
59,RECUPERANDO,26.72,24.4,29.21,1,0,0,55.85,78.78
60,RECUPERANDO,26.73,24.45,29.2,1,0,0,56.29,78.78
61,RECUPERANDO,26.74,24.5,29.19,1,0,0,56.75,78.78
62,RECUPERANDO,26.75,24.55,29.18,1,0,0,57.03,78.78
63,RECUPERANDO,26.75,24.61,29.16,1,0,0,57.22,78.78
64,RECUPERANDO,26.76,24.67,29.15,1,0,0,57.45,78.78
65,RECUPERANDO,26.77,24.74,29.13,1,0,0,57.7,78.78
66,RECUPERANDO,26.78,24.8,29.12,1,0,0,57.98,78.78
67,RECUPERANDO,26.78,24.86,29.1,1,0,0,58.27,78.78
68,RECUPERANDO,26.79,24.89,29.09,1,0,0,58.58,78.78
69,RECUPERANDO,26.8,24.92,29.07,1,0,0,58.91,78.78
70,RECUPERANDO,26.8,24.95,29.05,1,0,0,59.23,78.78
71,RECUPERANDO,26.81,24.99,29.04,1,0,0,59.36,78.78
72,RECUPERANDO,26.81,25.03,29.02,1,0,0,59.51,78.78
73,RECUPERANDO,26.82,25.07,29.0,0,0,0,59.68,78.78
74,RECUPERANDO,26.82,25.11,28.98,0,0,0,59.88,78.78
75,RECUPERANDO,26.83,25.16,28.96,0,0,0,60.08,78.78
76,RECUPERANDO,26.83,25.19,28.94,0,0,0,60.3,78.78
77,RECUPERANDO,26.84,25.2,28.92,0,0,0,60.53,78.78
78,RECUPERANDO,26.84,25.23,28.9,0,0,0,60.77,78.78
79,RECUPERANDO,26.85,25.25,28.88,0,0,0,61.02,78.78
80,RECUPERANDO,26.85,25.27,28.86,0,0,0,61.14,78.78
81,RECUPERANDO,26.86,25.3,28.84,0,0,0,61.25,78.78
82,RECUPERANDO,26.86,25.33,28.82,0,0,0,61.37,78.78
83,RECUPERANDO,26.86,25.36,28.8,0,0,0,61.51,78.78
84,RECUPERANDO,26.87,25.39,28.77,0,0,0,61.67,78.78
85,RECUPERANDO,26.87,25.41,28.75,0,0,0,61.83,78.78
86,RECUPERANDO,26.87,25.43,28.73,0,0,0,62.01,78.78
87,RECUPERANDO,26.88,25.44,28.71,0,0,0,62.19,78.78
88,RECUPERANDO,26.88,25.46,28.68,0,0,0,62.38,78.78
89,RECUPERANDO,26.88,25.47,28.66,0,0,0,62.54,78.78
